#Updated on 4-05-13
fourier_analysis	PUriye_viSleRaNa
degree_of_freedom	svAwaMwraya-koti
derived_force	vyuwpanna_bala
derived_unit	vyuwpanna_mAwrAka
destructive_interference	vinASI_vyawikaraNa
detector	saMsUcaka
device	yukwi
diatomic	xvi-paramANuka
differential_calculus	avakala_gaNiwa
differential_coefficient	avakala_guNAMka
diffusion	visaraNa
dimensional_equation	vimIya_samIkaraNa
dimensional_formulae	vimIya_sUwrA
direction	xiSA
directional_aspect	xiSAwmaka_xqRtikoNa
directly_proportional	anukramAnupAwI
discipline	viRaya
displacement	visWApana
displacement_vector	visWApana_saxiSa
dissipative_force	kRayakArI_bala
distinct	suspaRta
distributive_law	viwaraNa_kA_niyama
disturbance	vikRoBa
domain	praBAvakRewrA
downward	aXegAmI/aXemuKI
drag	karRaNa
ductile	AGAwavaXrya
dynamic_friction	gawika_GarRaNa
dynamics	gawikI
echo	prawiXvani
eclipse	grahaNa
efficiency	xakRawA
efflux	bahiHsrAva
ejected_gas	niRkAsiwa_gEsa
elastic	prawyAsWa
elastic_force	prawyAsWa_bala
elastic_hysteresis	prawyAsWa_SEWilya
electrodynamics	vExyuwagawikI/vixyuw-gawikI
electromagnet	vExyuwa_cuMbaka
electromagnetic_wave	vExyuwa_cuMbakIya_waraMgeM
elementary_particles	mUla_kaNa
elevator	liPrata
ellipse	xIrGavqwwa
elliptical	xIrGavqwwIya
elongation	prasara_koNa
elongation	prasara_koNa_xErGyavqxXi
emission	uwsarjana
emissivity	uwsarjakawA
emitted	uwsarjiwa/nirgawa
empirical_law	AnuBavika_niyama
endothermic	URmASoRI
energyisothermal	samawApIya
epicycle	aXcikra
epochal	yugAMwarIya
equality	samawulyawA
equational_bulge	BUmaXyavarwI_uBAra
equilibrium	sAmyAvasWA
equilibrium	saMwulana/sAmyAvasWA
equilibrium_line	sAmya_reKA
equipartition	samaviBAjana
equivalence	wulyawA
equivalent	wulyAMka
escape_speed	palAyana_cAla
evacuated	nirvAwiwa
exact_expression	yaWArWa_vyaMjaka
exchange	vinimaya
existence	aswiwva
exothermic	URmAkRepI
expansioncoefficient_of_volume	Ayawana_prasAra_guNAMka
expansionsurroundings_(of_the	prawiveSa
experimental_sample	parIkRaNa_nixarSa/prAxarSaxXa
expression	vyaMjaka
exterior_planets	bAhya_graha
fallacy	BrAmakawA
fermi-dirac_statistics	paParmI-diroYka_sAMKyikI
first_harmonic	praWama_guNAvqwwi
first_law_of	URmAgawikI_kA_praWama_niyama
floatation	plavana
fluid	warala
fluid_dynamics	waralagawikI
fly_wheel	gawipAlaka_cakra
foci	nABi
forced_oscillations	praNoxiwa_xolana
forward	agravarwI
fossil_fuel	jIvASmI_IMXana
frame_of_reference	nirxeSa-waMwrA
framework	DAzcA
free_body_diagram	bala_nirxeSaka_AreKa
free_fall	mukwa_pawana
frequency	Avqwwi
friction	GarRaNa
fulcrum	AlaMba
function	paPalana
function_of_time	samaya_kA_paPalana
fundamental_force	mUla_bala
fundamental_mode	mUla_viXa
fundamental_unit	mUla_mAwrAka
galactic_cluster	maMxAkinIya_gucCe
galaxy	AkASagaMgA
gauge_pressure	geSa_xAba
general_theory_of_relativity	ApekRikawA_kA_vyApaka_sixXAMwa
generalisation	vyApakIkaraNa
genetic_engineering	AnuvaMSika_aBiyAMwrikI
geocentric	BUveMPaxrI
geostationary	BUsWEwika
geosynchronous	BUsamakAlika
geothermal_energy	BUwApIya_uParjA
graphical_method	AleKI_viXi
gravitation	guruwvAkarRaNa
gravitational_mass	guruwvIya_xravyamAna
gravitational_potential	guruwvIya_viBava
gravity_waves	guruwva_waraMgeM
groove	KAzcA
half_integer	arXapUrNAMka
harmonic_number	guNAvqwwi_saMKyA
harmonic_oscillation	AvarwI_xolana
harmonic_series	guNAvqwwi_SreNI
'head_and_tail'_rule	'SIrRa_evaM_pucCa'_niyama
heat	URmA
heat_insulator	URmAroXI
heliocentric	sUrya-keMxrIya
hemisphere	arXagolIya
high_energy_collision	ucca_UrjA_saMGaxaô_xaë
horizontal	kREwija
hydraulic	cala_xravIya
hyperbola	awiparivalaya
hypothesis	parikalpanA
ideal_gas	AxarSa_gEsa
idealised_reversible_process	AxarSIkqwa_uwkramaNIya_prakrama
identical	samarUpa
identity	wAxamya
impact	AGAwa
impending_motion	samupasWiwa_gawi
impulse	Avega
inaccurate	asArWaka
inclined_plane	Anawa_wala
inclined_plane	nawa_samawala
indestructible	avinASI
inelastic	aprawyAsWa
inertia	jadZawva
inertial_frame	jadZawvIya_PZrema
inertial_mass	jadZawvIya_xravyamAna
inextensible	aviwAnya
inferior_planets	aMwargraha
infinitesimal	anaMwa_sUkRma
infinitesimally_small	anaMwaH_sUkRma
infinity	anaMwa
instant	kRaNika/kRaNa
instantaneous	wAwkRaNika
instantaneous_acceleration	wAwkRaNika_wvaraNa
instanteneous_velocity	wAwkRaNika_vega
inter-dispersed	aMwarparikRipwa
inter-stellar_space	aMwara-wArakIya_AkASa
interaction	anyonya_kriyA
interatomic	aMwaraparamANvika
interesting_feature	rocaka_lakRaNa
interference	vyawikaraNa
intermolecular	aMwarANvika
internal_energy	AMwarika_UrjA
internal_force	AMwarika_bala
internal_structure	AMwarika_saMracanA
interplay	pArasparika_kriyA
interstellar_space	aMwarAwArakIya
intrinsic	AMwarika
inverse	vyuwkrama
inversely_proportional	vyuwkramAnupAwI
ionosphere	AyanamaMdala
irrotational	aGUrNI
isochoric	samaAyawanika
isolated	vilagiwa/viyukwa/pqWaka
isolated_system	viyukwa_nikAya
isotherm	samawApa_reKA
isotropy	samaxESikawA
jupiter	bqhaspawi
kelvin_scale	vePalvina_mApakrama
kinematic	SuxXa_gawika
kinematics	SuxXa_gawikI
kinetic_energy	gawija_UrjA
kinetic_friction	gawija_GarRaNa
kinetic_reaction	gawika_prawikriyA
kinetic_theory	aNugawi_sixXAMwa
kirchhoff's_law	kiraKopaPa_kA_niyama
lamina	patala
lamp_black	xIpa_kajjala
latitude	akRAMSa
lattice	jAlaka/lEtisaxXa
law_of_cosine	kojyA-niyama
law_of_sine	jyA-niyama
least_count_error	alpawmAMka_wrutiyAz
lever_arm	uwwolaka-BujA
like_charges	sajAwIya_AveSa
limiting_process	sImAMwa_prakriyA
limiting_value	sImAMwa_mAna
line_of_contact	saMparvaPa_reKA
linear	rEKika
longitudinal_wave	anuxErGya_waraMga
lubricant	snehaka
lubrication	snehana
machanics_of_fluids	warala_yAMwrikI
macromolecule	vqhaxaNu
macroscopic	sWUla
magnetic_field	cuMbakIya_kRewrA
magnitude	parimANa
manifestation	AvirBAva
mars	maMgala
mass_defect	xravyamAna-kRawi
mass-energy_equivalence	xravyamAna-UrjA_wulyawA
massive_boson	sWUla_bosoYna
matter_wave	xravya_waraMgeM
maxwell-boltzamann	mEksavEla-boltSamAna_sAMKyikI
mean	mAXya
mean_free_path	Osawamukwa_paWa
measurement	mApana
mechanical_energy	yAMwrika_UrjA
mechanical_equilibrium	yAMwrika_sAmyawA
mechanics	yAMwrikI
medium	mAXyama
melting_point	galanAMka
mercury	buX
merry_go_round	cavraPaxolA_;gola_cavraPaxXa
microscope	sUkRmaxarSI
microscopic	sUkRma/sUkRmaxarSanIya/sUkRmaxarSIya
microscopic_constituent	sUkRma_saMGataka
microscopic_domain	sUkRma_praBAva_kRewrA
microwaves	sUkRma_waraMgeM
mode	viXa
modelling	prawirUpaNa
moderator	maMxaka
modulation	mAdulana
molar	aNuka
molar_specific_heat	molIya_viSiRta_URmA
molecular	ANvika
moment	AGUrNa
moment_of_inertia	jadZawvAGUrNa
momentum	saMvega
monatomic	eka-paramANuka
multiples	guNaja/apavarwyaxXa
muscular_force	peSIya_bala
net	neta
neutral	uxAsIna
neutron_induced_fission	nyUtroYna-preriwa_viKaMdana
nodes	nispaMxa
non-conservative	asaMrakRI
non-zero	SUnyewara
normally	aBilaMbavaw
nuclear_fission	nABikIya_viKaMdana
nuclear_fusion	nABikIya_saMlayana
nuclear_power_reactor	ANvika_Sakwi_riektara
nuclear_process	nABikIya_prakriyA
nuclear_weapon	ANvika_SaswrA
nucleus	nABika
numerically	AMkika_rUpa_se
observation	prekRaNa
observer	prekRaka
odd_number	viRama_aMka
one_dimensional_motion	eka-vimIya_gawi
operational	kriyAwmaka
optics	prakASikI
orbit	kakRA
orbit	kakRA
orbital_period	kakRIya_avaXi
orientation	aBivinyAsa
origin	mUla_XaJabaxu
oscillation	xolana
overlapping	awivyApana
pair	yugma
parabola	paravalaya
parallax	laMbana/pErelEksa
parallelogram_law_of_vectorprqhkqzt	saxiSoM_kA_yoga_saMbaMXI
parity	samawA
path_length	paWa_laMbAI
perimeter	parimApa
period	kAla
periodic_motion	AvarwI_gawi
periodicity	AvarwiwA
perpendicularly	laMbavaw
phase_angle	kalA-koNa
phase_transition	prAvasWA_saMvraPamaNa
phases_(solid/liquid/gas)	prAvasWAez
phenomena	pariGatanA
photo_electric_effect	prakASa_vExyuwa_praBAva
physical_quantity	BOwika_rASi
physicist	BOwikavix
picturisation	ciwrAMkana
plane	samawala
planetary	grahIya
plastic_region	suGatya_kRewrA
pluto	plUto
pollen_grain	parAga_kaNa
polyatomic	bahu-paramANuka
polygon	bahuBuja
portable	subAhya
position_vector	sWiwi_saxiSa
potential_energy	sWiwija_UrjA
power	GAwAMka
precision	pariSuxXawA
prediction	pUrvAnumAna
prefix	pUrvalagna
product	uwpAxa
productprojectile	prakRepya
products_of_combustion	xahana_uwpAxa
productvector-product_or_cross	saxiSa_guNanapaPala
progressive_wave	pragAmI_waraMga
projection	prakRepa
pseduo-force	Caxma_bala
pulse	spaMxa
pyrometer	uwwApamApI
qualitative	guNAwmaka
quantitative	mAwrAwmaka
quantum	kvAMtama
quantum_mechanical	kvAMtama_yAMwrikIya
quasi-static	sWEwikakalpa
radial	wrijyIya
radial_(component)	wrijya_;GatakaxXa
radiation	vikiraNa
radiation	vikiraNa
radioactive	viGatanABika/rediyoEktiva
radius_of_gyration	pariBramaNa_wrijyA
rainbow	inxraXanuRa
random_errors	yAxqcCika_wrutiyAz
range	parAsa
reactant	aBikAraka
reaction_time	prawikriyA_kAla
rearrangement	punarvyavasWA
reception	saMgrahaNa
recoil	prawikRepa/prawikRipwa
recoil	prawikRepa
recoilless_emission	prawikRepahIna_uwsarjana
rectilinear_motion	sarala_reKIya_gawi
reduction	nyUnIkaraNa
reference_(particle)	saMxarBa_;kaNaxXa
reflection	parAvarwana
reflectivity	parAvarwakawA
refrigerator	praSIwaka
repulsive_force	prawikarRaNa_bala
reservoir_(of_heat)	URmASaya
resistance	prawiroXa
resolution	viBexana
resonance	anunAxa
restoring_force	prawyAnayana_bala
revolution	parikramA/parivraPamaNa
rhythm	laya/wAla
right_hand_rule	xakRiNAvarwI_niyama
rigid_body	xqDZa_vaswu
rigid_body	xqDZa_piMda
rigid_rotator	xqDZa-GUrNI
rolling_friction	lotanika_GarRaNa
root_mean_square_speed	varga-mAXyamUla_cAla
rotation	GUrNana
rotational_kinetic_energy	GUrNIya_gawija_UrjA
satellite	upagraha
scalar	axiSa
scalar_product_or_dot	axiSa_guNanapaPala
scattered	prakIraNa
scattering	prakIrNana
second_harmonic	xviwIya_guNAvqwwi
seismic_wave	BUvaMPapI_waraMgeM
semi_major_axis	arXaxIrGa_akRa
semi-crystalline_solid	aMSa_kristalIya_Tosa
semi-static	arXa_sWira
separation	pqWakana
shearing_strain	aparUpaNa_vikqwi
significant_figures	sArWaka_aMka
simple_harmonic_motion	sarala_Avarwa_gawi
simultaneous	samakAlika
sink_(of_heat)	aBigama
sinusoidal_function	jyAvakrIya_paPalana
sliding_friction	sarpI_GarRaNa
slope	pravaNawA
smooth	niRkoNa
solar_constant	sOra_uPaRmAMka
solar_energy	sOra_UrjA
solar_system	sOra_parivAra
space	xiksWAna
space_and_time	xikkAla
special_theory_of_relativity	ApekRikawA_kA_viSiRta_sixXAMwa
specific_heat	viSiRta_URmA
speculation	parikalpanA
spin	pracavraPaNa
spring	kamAnI
spring_force	kamAnI_bala
standard_notation	mAnaka_aMkana
static_friction	sWEwika_GarRaNa
stationary_lift	sWira_liPrata
stationary_state	sWAyI_avasWA
stationary_wave	apragAmI_waraMga
statistical_mechanics	sAMKyikIya_yAMwrikI
statisticspauli_exclusion_principle	pAulI_apavarjana_sixXAMwa
stimulated_emission	uxxIpiwa_uwsarjana
stopping_distance	roXna_xUrI
stp)absorbed	avaSoRiwa
strain	vikqwi/aparUpaNaxXa
strangeness	viciwrAwA
streamline_flow	XarAreKI_pravAha
stretched_string	wAniwa_dorI
submultiples	apavarwaka
successive_interval_of_time	kramika_aMwarAla
superposition	aXyAropaNa
superposition	aXyAropaNa
surface_energy	pqRTa_uParjA
surface_tension	pqRTa_wanAva
surface_tension	pqRTa_wanAva
symmetry	samamiwi
system	nikAya
system)law_of_equipartition_of	UrjA_vePa_samaviBAjana_kA_niyama
tangent	sparSa_reKA
tangential	sparSa_reKIya
technology	prOxyogikI
telescope	xUrabIna/xUraxarSI
temperature	wApa
temperature_gradient	wApa_pravaNawA
temperatureabsolute_zero	parama_SUnya
temperaturearbitraily_chosen	svecCagqhIwa
tensile_strength	wanana_sAmarWya
tension	wanAva
tension	wanAva
terminal_velocity	aMwima_vega
terrestrial	pAXaÅWava
theorem	prameya
thermal	URmIya
thermal_capacity/heat	URmAXariwA
thermal_conduction	URmA_saMcaraNa
thermal_conductivity	URmA_cAlakawA
thermal_contact	URmIya_saMparvaPa
thermal_convection	URmA_saMvahana/saMvahana
thermal_equilibrium	URmIya_sAmyawA
thermal_expansion	URmIya_prasAra
thermal_radiation	URmA_vikiraNa
thermal_stress	URmIya_prawibala
thermocouple	wApayugma
thermodynamic	URmAgawika_wApa
thermodynamics	URmAgawikI
thermodynamicstransformation	rUpAMwaraNa
thermometerincompressibility	asaMpIdyawA
thermometry	wApamiwi
thermostat	wApasWAyI
thrust	praNoxa
tide	jvAraBAtA
time_of_flight	uddayana_kAla
time_period	Avarwa_kAla
torque	bala_AGUrNa
trajectory	prakRepa_paWa
translational	sWAnAMwarIya
transmission	pAragamana
transverse_wave	anuprasWa_waraMga
triangle_law_of_vectorf=	saxiSoM_kA_yoga_saMbaMXI-
trigonometry	wrikoNamiwi
trough	garwa
tunnelling_microscopy	suraMgana_sUkRmaxarSikA
turbulence	prakRoBa
twist	vyAvarwana_;EMTanaxXa
ultimate_strength	carama_sAmarWya
ultraviolet_light	parAbEMganI_prakASa
unification	ekIkaraNa
unified_atomic_mass_unit	ekIkqwa_parAmANvIya_xravyamAna_(saMhawi)_mAwraka
uniform_circular_motion	ekasamAna_vqwwIya_gawi
unit_vectors	ekAMka_saxiSa
universal	sArvaBOmika
universal	sArvawrika
universal_law	sArvawrika_niyama
universe	viSva
unlike_charges	vijAwIya_AveSa
upward	UXrvagAmI/uparimuKI
variable	parivarwI
variable	cara
vector	saxiSa
velocity_vector	vega_saxiSa
venus	Sukra
verification	sawyApana
vertical	UXrvAXra
vibration	vaMPapana
vibrational_energy	vaMPapanIya_UrjA
viscous_force	yAna_bala
viscous_force	yAnawA
vocal_cords	vAvPa-waMwu
volcano	jvAlAmuKI
wave_function	waraMga_paPalana
wave_theory	waraMga_sixXAMwa
wavelength	waraMgaxErGya
weight	BAra
weightlessness	BArahInawA
wein's_displacement_law	vIna-visWApana_niyama
yield_point	parABava_biMxu
yield_strength	parABava_sAmarWya
young's_modulus	yaMga_guNAMka/yaMga_prawyAsWawA_guNAMka
zig_zag	teDZA-meDZA
