#Source :: Extracted this dictionary from agriculture1_wiktionary.txt and agriculture2_wiktionary.txt
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun#2#RM' by default
#Added  :: By Roja Lakshmi (06-11-14)
#######################################
aromatic_plants	sugaMXiwa_pOXe#sugaMXiwa_pOXe#noun#2#RM
anaerobic_decomposition	avAyu_apaGatana#avAyu_apaGatana#noun#2#RM
anaerobic_respiration	anAksI_Svasana#anAksI_Svasana#noun#2#RM
analysis_of_covariance	sahavicaraNa_viSleRaNa,#sahavicaraNa_viSleRaNa,#noun#2#RM
analysis_of_data	AMkadZoM_kA_viSleRaNa#AMkadZoM_kA_viSleRaNa#noun#2#RM
analysis_of_variance	vicaraNa_viSleRaNa#vicaraNa_viSleRaNa#noun#2#RM
analytical_statistics	viSleRaNAwmaka_sAMKyikI#viSleRaNAwmaka_sAMKyikI#noun#2#RM
analytical_technique	viSleRaNAwmaka_praviXi#viSleRaNAwmaka_praviXi#noun#2#RM
anarchistic_tendencies	arAjaka_pravqwwiyAM#arAjaka_pravqwwiyAM#noun#2#RM
angular_arrangement	koNIya_vinyAsa#koNIya_vinyAsa#noun#2#RM
angular_leaf_spot	koNIya_parNaxAga#koNIya_parNaxAga#noun#2#RM
animal_breeding	paSu_prajanana#paSu_prajanana#noun#2#RM
animal_carcase	paSu_Rava#paSu_Rava#noun#2#RM
animal_nutrition	paSu_poSaNa#paSu_poSaNa#noun#2#RM
animal_tankage	paSu_garwAvaReSa#paSu_garwAvaReSa#noun#2#RM
anion_solubilization	qNAyana_vilayana#qNAyana_vilayana#noun#2#RM
annual_return	vArSika_vivaraNI#vArSika_vivaraNI#noun#2#RM
annual_ring	vArSika_vilaya#vArSika_vilaya#noun#2#RM
annual_shoot	vArSika_praroha#vArSika_praroha#noun#2#RM
annual_tender	vArSika_komala_pOXA#vArSika_komala_pOXA#noun#2#RM
annual_yield	vArSika_upaja#vArSika_upaja#noun#2#RM
ant_hill_earth	vAlmIki_mittI#vAlmIki_mittI#noun#2#RM
antagonism_of_ion	Ayana_viroXawA#Ayana_viroXawA#noun#2#RM
antagonistic_microorganism	viroXI_sUkRmajIva#viroXI_sUkRmajIva#noun#2#RM
antagonistic_capacity	viroXI_kRamawA#viroXI_kRamawA#noun#2#RM
antagonistic_fungi	viroXI_kavaka#viroXI_kavaka#noun#2#RM
anterior_presentation	agra_garBapraswuwi#agra_garBapraswuwi#noun#2#RM
anthropic_soil	kqwrima_mqxA#kqwrima_mqxA#noun#2#RM
anti_bacterial	prawijIvANuka#prawijIvANuka#noun#2#RM
anti_cyclone	prawicakravAwa#prawicakravAwa#noun#2#RM
anti_foaming_agent	PenaroXI_kAraka#PenaroXI_kAraka#noun#2#RM
anti_freezing	himanaroXI#himanaroXI#noun#2#RM
anti_friction	prawiGarSaNa_beyariMga#prawiGarSaNa_beyariMga#noun#2#RM
antibactetial_agent	jIvANuroXI_kAraka#jIvANuroXI_kAraka#noun#2#RM
apical_angle	SiKAgra_koNa#SiKAgra_koNa#noun#2#RM
apical_bud	SIrRasWa_kalikA#SIrRasWa_kalikA#noun#2#RM
apical_cell	SiKAgra_koSikA#SiKAgra_koSikA#noun#2#RM
apical_cleavage	SIrRasWa_vixalana#SIrRasWa_vixalana#noun#2#RM
apical_dominance	SiKAgra_praBAviwA#SiKAgra_praBAviwA#noun#2#RM
apical_growth	SIrRa_vqxXi/agra_vqxXi#SIrRa_vqxXi/agra_vqxXi#noun#2#RM
apple_blotch	seba_kA_xAga#seba_kA_xAga#noun#2#RM
apple_fruit_weevil	seba_kA_Guna#seba_kA_Guna#noun#2#RM
apple_rust	seba_kitta#seba_kitta#noun#2#RM
applied_economics	anuprayukwa_arWaSAsZwra#anuprayukwa_arWaSAsZwra#noun#2#RM
applied_force	prayukwa_bala#prayukwa_bala#noun#2#RM
appraised_value	AMkAgayAmUlya#AMkAgayAmUlya#noun#2#RM
approach_grafting	milAna_ropaNa#milAna_ropaNa#noun#2#RM
approved_variety	svIkqwa_kisma#svIkqwa_kisma#noun#2#RM
aquatic_plant	jalIyapOXA#jalIyapOXA#noun#2#RM
aqueous_extractants	jalIya_niSkarSaka#jalIya_niSkarSaka#noun#2#RM
aqueous_solution	jalIya_Gola#jalIya_Gola#noun#2#RM
aqueous_tissue	jalIya_uwaka#jalIya_uwaka#noun#2#RM
arable_land	kqSya_BUmi#kqSya_BUmi#noun#2#RM
arbitrary_correction	svecCa_saMSuxXi#svecCa_saMSuxXi#noun#2#RM
arbitrary_origin	svecCa_mUlabiMxu#svecCa_mUlabiMxu#noun#2#RM
arbitrary_value	ecCika_mAna#ecCika_mAna#noun#2#RM
arbitrated_exchange_rate	aMwarpaNana_vinimaya_xara#aMwarpaNana_vinimaya_xara#noun#2#RM
arbour_or_pergola_system	maMdala_praNAlI#maMdala_praNAlI#noun#2#RM
arc_process	Arka_viXi#Arka_viXi#noun#2#RM
area_under_crop	sasyagawa_kRewra#sasyagawa_kRewra#noun#2#RM
area_under_cultivation	kqRigawa_kRewra/jowaBUmi#kqRigawa_kRewra/jowaBUmi#noun#2#RM
area_under_irrigation	siMciwa_kRewra#siMciwa_kRewra#noun#2#RM
arid_climate	SuRka_jalavAyu#SuRka_jalavAyu#noun#2#RM
arid_legumes	SuRka_PaliyAM#SuRka_PaliyAM#noun#2#RM
arid_soil	SuRka_mqxA#SuRka_mqxA#noun#2#RM
arm_disease_of_grape	aMgUra_kA_mqwaSAKa_roga#aMgUra_kA_mqwaSAKa_roga#noun#2#RM
articles_of_comfort	suKakara_vaswueM#suKakara_vaswueM#noun#2#RM
articular_facet	saMXi_sirA#saMXi_sirA#noun#2#RM
artificial_compaction	kqwrima_saMhawawA#kqwrima_saMhawawA#noun#2#RM
artificial_compost	kqwrima_kamposta#kqwrima_kamposta#noun#2#RM
artificial_drainage	kqwrima_jala_nikAsa#kqwrima_jala_nikAsa#noun#2#RM
artificial_epiphatolic	kqwrima_roga_sqjana#kqwrima_roga_sqjana#noun#2#RM
artificial_farm_manure	kqwrima_PArma_KAxa#kqwrima_PArma_KAxa#noun#2#RM
artificial_fertilizer	kqwrima_urvaraka#kqwrima_urvaraka#noun#2#RM
artificial_hybridization	kqwrima_saMkaraNa#kqwrima_saMkaraNa#noun#2#RM
artificial_inoculation	kqwrima_niveRana#kqwrima_niveRana#noun#2#RM
artificial_insemination	kqwrima_vIrya_secana#kqwrima_vIrya_secana#noun#2#RM
artificial_manure	kqwrima_KAxa#kqwrima_KAxa#noun#2#RM
artificial_mulch	kqwrima_palavAra#kqwrima_palavAra#noun#2#RM
artificial_parthenogenesis	kqwrima_aniSekajanana#kqwrima_aniSekajanana#noun#2#RM
artificial_pollination	kqwrima_parAgaNa#kqwrima_parAgaNa#noun#2#RM
artificial_selection	kqwrima_varaNa#kqwrima_varaNa#noun#2#RM
artificial_silk	kqwrima_reSama#kqwrima_reSama#noun#2#RM
ascending_order	ArohI_krama#ArohI_krama#noun#2#RM
asexual_reproduction	alEMgika_janana#alEMgika_janana#noun#2#RM
ash_colour	matamElA_raMga#matamElA_raMga#noun#2#RM
ash_gourd	peTA/BUrA_kaxxU#peTA/BUrA_kaxxU#noun#2#RM
ash_metabolism	rAKa_upApacaya#rAKa_upApacaya#noun#2#RM
aspergillus_niger	kAlI_PaPUMxa#kAlI_PaPUMxa#noun#2#RM
association_coeficient	sAhacarya_guNAMka#sAhacarya_guNAMka#noun#2#RM
association_of_attribute	guNa_sAhacarya#guNa_sAhacarya#noun#2#RM
associative_action	saMyogika_kriyA#saMyogika_kriyA#noun#2#RM
associative_digestibility	saMyogika_pacanIyawA#saMyogika_pacanIyawA#noun#2#RM
associative_effect	saMsargI_praBAva#saMsargI_praBAva#noun#2#RM
associative_phenomena	saMsargI_xqRya#saMsargI_xqRya#noun#2#RM
assorting_effect	pqWakkaraNa_praBAva#pqWakkaraNa_praBAva#noun#2#RM
assured_mean	kalpiwa_mAXya#kalpiwa_mAXya#noun#2#RM
aster_spotted_wilt	estara_kA_cakawwexAra_mlAni#estara_kA_cakawwexAra_mlAni#noun#2#RM
aster_wilt	estara_pIwaroga#estara_pIwaroga#noun#2#RM
at_par	samAna#samAna#noun#2#RM
audio_visual_aids	xqRya_Sravya_sAXana#xqRya_Sravya_sAXana#noun#2#RM
aural_aid	karNIya_sAXana#karNIya_sAXana#noun#2#RM
auto_alloploid	sva_parAgaNiwa#sva_parAgaNiwa#noun#2#RM
auto_allopolyploid	sva_parabahuguNiwawA#sva_parabahuguNiwawA#noun#2#RM
autocatalytic_reaction	svowprerakaprawikriyA#svowprerakaprawikriyA#noun#2#RM
autochthonous_bacteria	svasWAnika_jIvANu#svasWAnika_jIvANu#noun#2#RM
axial_flower	akRIya_puRpa/akRIya_PUla#akRIya_puRpa/akRIya_PUla#noun#2#RM
backgrond_information	pqSTaBUmi_sUcanA#pqSTaBUmi_sUcanA#noun#2#RM
barren_land	baMjara_BUmi#baMjara_BUmi#noun#2#RM
basal_pit	AXAra_garwa#AXAra_garwa#noun#2#RM
basement_rocks	AXAra_SElasaMXa#AXAra_SElasaMXa#noun#2#RM
basin_irrigation	xroNI-siMcAI#xroNI-siMcAI#noun#2#RM
bee_fly	Bramara_makKI#Bramara_makKI#noun#2#RM
bengal_curantus	kaMrOxA#kaMrOxA#noun#2#RM
benthic_animal	niwalasWa_prANI#niwalasWa_prANI#noun#2#RM
bisholi's_weed	ajavAyana#ajavAyana#noun#2#RM
black_blum	jAmuna#jAmuna#noun#2#RM
black_cumin	jIrA#jIrA#noun#2#RM
black_gram	udZaxa#udZaxa#noun#2#RM
black_pepper	kAlI_mirca#kAlI_mirca#noun#2#RM
blooming_stage	PUlalagane_kA_samaya#PUlalagane_kA_samaya#noun#2#RM
bottle_gourd	lOkI#lOkI#noun#2#RM
branch_harvesting	sapawra_SAKA_katAI#sapawra_SAKA_katAI#noun#2#RM
breeder_seed	prajanaka_bIja#prajanaka_bIja#noun#2#RM
breeder_seed_production	prajanaka_bIja_uwpAxana#prajanaka_bIja_uwpAxana#noun#2#RM
bud_graft	kalama_lagAnA/kalI_caDZAnA#kalama_lagAnA/kalI_caDZAnA#noun#2#RM
capacity_building	kRamawA_nirmANa#kRamawA_nirmANa#noun#2#RM
cast_off	CodZanA#CodZanA#noun#2#RM
causal_agent	rogakAraka#rogakAraka#noun#2#RM
cell_culture	koSika_saMvarXana#koSika_saMvarXana#noun#2#RM
certified_seed	pramANiwa_bIja#pramANiwa_bIja#noun#2#RM
chain_isomerism	SrqMKalA_samAvayavawA,#SrqMKalA_samAvayavawA,#noun#2#RM
chemical_composition	rAsAyanika_saMGatana#rAsAyanika_saMGatana#noun#2#RM
chemical_manure	rAsAyanika_KAxa#rAsAyanika_KAxa#noun#2#RM
chopping_knife	saMkarwana_CurI#saMkarwana_CurI#noun#2#RM
chromosomal_bridge	guNasUwrI_yoja_ka#guNasUwrI_yoja_ka#noun#2#RM
chromosomal_fission	guNasUwra_viKaMdana#guNasUwra_viKaMdana#noun#2#RM
clay_loam	matiyArI/xumata#matiyArI/xumata#noun#2#RM
clayey_soil	cikanI_mittI#cikanI_mittI#noun#2#RM
climate_change	jalavAyu_parivarwana#jalavAyu_parivarwana#noun#2#RM
cold_water	SIwajala#SIwajala#noun#2#RM
collateral_bud	saMpArSvika_kalikA#saMpArSvika_kalikA#noun#2#RM
common_millet	canA#canA#noun#2#RM
complimentary_gene	pUraka_jIna#pUraka_jIna#noun#2#RM
congenital_disease	janmajAwa_roga#janmajAwa_roga#noun#2#RM
consultancy_sercices	parAmarSaxAwrI_sevAeM#parAmarSaxAwrI_sevAeM#noun#2#RM
contagious_disease	saMsargaja_roga/sAMsargika_roga#saMsargaja_roga/sAMsargika_roga#noun#2#RM
contton_leaf	kapAsa_varNa#kapAsa_varNa#noun#2#RM
corn_beetle	XAnya_BqMga#XAnya_BqMga#noun#2#RM
corpus_allatum	aMdABa_piMda#aMdABa_piMda#noun#2#RM
cotton_breeder	kapAsa_prajanaka#kapAsa_prajanaka#noun#2#RM
cotton_lint	rUI#rUI#noun#2#RM
cotton_seed	binOlA/kapAsa_kA_bIja#binOlA/kapAsa_kA_bIja#noun#2#RM
cotton_seed_oil	binOlA_wela#binOlA_wela#noun#2#RM
cotyledonary_node	bIjapawrIya_parvasaMXi#bIjapawrIya_parvasaMXi#noun#2#RM
counter_tillage	samawala_juwAI#samawala_juwAI#noun#2#RM
cow_pea	lobiyA#lobiyA#noun#2#RM
critical_difference	krAMwika_aMwara#krAMwika_aMwara#noun#2#RM
critical_length	krAMwika_lambAI#krAMwika_lambAI#noun#2#RM
crop_plants	PasalI_pOXe#PasalI_pOXe#noun#2#RM
crown_grafting	SIrRa-ropaNa/SIrRa_kalama#SIrRa-ropaNa/SIrRa_kalama#noun#2#RM
crown_height	SIrRa_UMcAI/Apawra_UMcAI#SIrRa_UMcAI/Apawra_UMcAI#noun#2#RM
culture_fisheries	mAwsyikI_saMvarXana#mAwsyikI_saMvarXana#noun#2#RM
custard_apple	SarIPA#SarIPA#noun#2#RM
cutting_age_knowledge	axyawana_anusaMXAna_jAnakArI#axyawana_anusaMXAna_jAnakArI#noun#2#RM
cutting_edge	uwkqRta#uwkqRta#noun#2#RM
detrimental_effect	hAnikAraka_praBAva#hAnikAraka_praBAva#noun#2#RM
die_back	SIrRAraMBIkRaya/paScakRaya#SIrRAraMBIkRaya/paScakRaya#noun#2#RM
drip_irrigation	dZipa_siMcAI/tapakAvaka_siMcAI#dZipa_siMcAI/tapakAvaka_siMcAI#noun#2#RM
dry_ginger	sOMTa#sOMTa#noun#2#RM
early_maturing	agewI_pakane_vAlI#agewI_pakane_vAlI#noun#2#RM
economical_plants	lABakara_pOXe#lABakara_pOXe#noun#2#RM
edible_pine	cilagojA#cilagojA#noun#2#RM
effected_part	grasiwa_BAga#grasiwa_BAga#noun#2#RM
elite_lines	cunI_huI_SreRTa_vaMSAvaliyAM#cunI_huI_SreRTa_vaMSAvaliyAM#noun#2#RM
eroded_clay	aparaxiwa_mqwwikA#aparaxiwa_mqwwikA#noun#2#RM
erratic_rain_fall	aniyamiwa_varRA#aniyamiwa_varRA#noun#2#RM
evaporated_milk	vARpiwa_xUXa#vARpiwa_xUXa#noun#2#RM
ex_site	mUla_sWAna_se_ala_ga#mUla_sWAna_se_ala_ga#noun#2#RM
exlcusive_right	ekamAwra_aXikAra#ekamAwra_aXikAra#noun#2#RM
exotic_material	asAmAnya_paxArWa#asAmAnya_paxArWa#noun#2#RM
experimental_field	prAyogika_Kewa/prayogAwmaka#prAyogika_Kewa/prayogAwmaka#noun#2#RM
experimental_learning	prayogAwmaka_aXyayana#prayogAwmaka_aXyayana#noun#2#RM
folk_varieties	loka_upajAwiyAM#loka_upajAwiyAM#noun#2#RM
farmer_innovators	anveRaka_kisAna#anveRaka_kisAna#noun#2#RM
fat_solvent	vasA_vilAyaka#vasA_vilAyaka#noun#2#RM
fatty_acid	vasA_umla#vasA_umla#noun#2#RM
fiber_fineness	waMwu_mahInawA#waMwu_mahInawA#noun#2#RM
fiber_quality	waMwu_kI_guNawA#waMwu_kI_guNawA#noun#2#RM
fiber_strength	waMwu_kI_majabUwI#waMwu_kI_majabUwI#noun#2#RM
finger_millet	maMduA#maMduA#noun#2#RM
fish_seed	maCalI_kA_jIrA#maCalI_kA_jIrA#noun#2#RM
fishing_vessal	maCalI_pakadZane_kI_nOkA/mawsya_powa#maCalI_pakadZane_kI_nOkA/mawsya_powa#noun#2#RM
food_crops	KAxya_PasaleM#KAxya_PasaleM#noun#2#RM
forage_crops	cArA_PasaleM#cArA_PasaleM#noun#2#RM
fortline_demonstration	agraNI_praxarSana_yA_nixarSana#agraNI_praxarSana_yA_nixarSana#noun#2#RM
frost_free_season	wuRArahIna_qwu/mOsama#wuRArahIna_qwu/mOsama#noun#2#RM
foundation_seed	AXAra_bIja#AXAra_bIja#noun#2#RM
frequency_distribution	bAraMbArawA/baMtana#bAraMbArawA/baMtana#noun#2#RM
front_line_demostraton	agrima_pakwi_praxarSana#agrima_pakwi_praxarSana#noun#2#RM
gene_pools	jEvika_guNoM_kA_BaMdAra#jEvika_guNoM_kA_BaMdAra#noun#2#RM
genetic_library	anuvaMSika_BaMdAra#anuvaMSika_BaMdAra#noun#2#RM
ginning_percentage	otAI_prawiSawa#otAI_prawiSawa#noun#2#RM
greater_cardamom	badZI_ilAyacI#badZI_ilAyacI#noun#2#RM
green_gram	mUMga#mUMga#noun#2#RM
green_house_effect	pAxapa-gqha_praBAva#pAxapa-gqha_praBAva#noun#2#RM
green_lentil	mUMga#mUMga#noun#2#RM
grey_mildew	xahiyA_roga#xahiyA_roga#noun#2#RM
growth_factor	vqxXi_Gataka#vqxXi_Gataka#noun#2#RM
hairy_caterpiler	royexAra_illI#royexAra_illI#noun#2#RM
hand_ginning_machine	caraKA_otAI_maSIna#caraKA_otAI_maSIna#noun#2#RM
heavy_clay	matiyAra/BArI_mqxA#matiyAra/BArI_mqxA#noun#2#RM
hhoary_basil	wulasI#wulasI#noun#2#RM
horse_grass	kulaWI#kulaWI#noun#2#RM
in_relation_to	ke_paripekRya_meM#ke_paripekRya_meM#noun#2#RM
in_situ	svasWAne#svasWAne#noun#2#RM
in_vitro	kqwrima_parisWiwiyoM_meM#kqwrima_parisWiwiyoM_meM#noun#2#RM
indigenous_knowledge_system	svaxeSI_jFAna_paxXawiyAM#svaxeSI_jFAna_paxXawiyAM#noun#2#RM
individual_plant_selection	eka_pOXIya_varaNa#eka_pOXIya_varaNa#noun#2#RM
infiltration_rate	aMwaH_spaMxana_xaha#aMwaH_spaMxana_xaha#noun#2#RM
insect_pest	kIta_pIdZaka/nASI_kIta#kIta_pIdZaka/nASI_kIta#noun#2#RM
integrated_circuits	samekiwa_paripaWa#samekiwa_paripaWa#noun#2#RM
integrated_farming_system	samekiwa_kqRi_praNAlI#samekiwa_kqRi_praNAlI#noun#2#RM
intellectual_goods	bOxXiwa_vaswueM#bOxXiwa_vaswueM#noun#2#RM
intensive_research	gahana_anusaMXAna#gahana_anusaMXAna#noun#2#RM
intraspecific_diversity	jAwimaya_viviXawA#jAwimaya_viviXawA#noun#2#RM
inveinal_chlorosis	SirAoM_ke_bIca_kA_BAga_pIlA_padZanA#SirAoM_ke_bIca_kA_BAga_pIlA_padZanA#noun#2#RM
irrigation_drainage_engineering	siMcAI_nikAsI_aBiyAMwrikI#siMcAI_nikAsI_aBiyAMwrikI#noun#2#RM
