#Added by Roja(11-06-12)
#Collected from WSD tam files and hindi_default_tam.txt
#Eng_Tam	Hindi_Tam
#######################################################
0	-/hE/subj/wA_hE
did_not_have_to_0	nahIM_padA
did_not_have_to_be_en	nahIM_padawA_WA
did_not_like_to_0	nA_pasanxa_nahIM_karawA_WA
did_not_use_to_0	yA_karawA_WA
do_0	wA_hE
do_have_to_0	nA_padegA
do_have_to_be_en	nA_padegA`
do_not_0	wA_hE
do_not_dare_0	nA_kI_himmahE
do_not_have_to_0	nA_hE
do_not_have_to_be_en	ne_kI_jZarUrawa_nahIM_hE
do_not_like_to_0	nA_pasanxa_nahIM_karawA_hE
does_0	wA_hE
does_dare_0	hE
does_have_to_0	nA_padegA
does_have_to_be_en	nA_padegA
does_not_0	wA_hE
does_not_dare_0	WI
does_not_have_to_0	nA_hE
does_not_have_to_be_en	ne_kI_jZarUrawa_nahIM_hE
does_not_like_to_0	nA_pasanxa_nahIM_karawA_hE
ed	WA/wA_WA/yA
ed_en	wA_WA/yA/yA_huA/yA_[huA]
en	0_cukA/yA_huA
from_ing	ne_se
get_en	0_ho_jAwA_hE/yA_jAwA_hE
gets_en	0_ho_jAwA_hE/yA_jAwA_hE
got_en	yA_gayA
had_been_en	yA_gayA_WA
had_been_ing	wA_rahA_WA
had_en	0_cukA_WA
had_got_to_be_en	0_xenA_padA
had_just_en	yA_hI_WA
had_not_been_en	yA_gayA_WA
had_not_been_ing	0_rahA_WA
had_not_en	0_cukA_WA/yA_WA
had_not_got_to_be_en	0_xenA_padA
had_not_to_be_en	nA1_padegA_WA
had_to_0	nA_padA
had_to_be_en	nA_hI_WA
has_been_en	yA_gayA_hE
has_been_ing	wA_rahA_hE
has_en	0_cukA_hE
has_got_to_be_en	yA_hI_jAnA_hE
has_never_en	0_cukA_hE
has_not_been_en	yA_gayA_hE
has_not_been_ing	wA_rahA_hE
has_not_en	0_cukA_hE
has_not_got_to_be_en	yA_jAnA_hE
has_not_to_be_en	nA1_padegA
has_to_0	nA_hE
has_to_be_en	nA_hI_hE
have_been_en	yA_gayA_hE
have_been_ing	wA_rahA_hE
have_en	0_cukA_hE/yA_hE
have_got_to_be_en	yA_hI_jAnA_hE
have_never_en	0_cukA_hE
have_not_been_en	yA_gayA_hE
have_not_been_ing	wA_rahA_hE
have_not_en	0_cukA_hE
have_not_got_to_be_en	yA_jAnA_hE
have_not_to_be_en	nA1_padegA
have_to_0	nA_hE
have_to_be_en	nA_hI_hE
have_to_keep_ing	we_rahanA_hE
having_en	0_cukane_ke_bAxa/0_ne_ke_bAxa
imper	imper
imper_0	imper
imper_not_0	imper
in_ing	ne_meM
ing	0_0_kara/kara_ke/wA_huA/we_hue/yA_huA/ye_hue
into_ing	ne_para
is_able_to_0	0_pAwA_hE
is_being_en	yA_jA_rahA_hE
is_en	hE/yA_gayA_hE/yA_hE/yA_jAwA_hE/yA_huA_hE
is_en_born	yA_hE
is_going_to_0	ne_vAlA_hE
is_ing	0_rahA_hE/0_wA_rahawA_hE/hE/yA_hE
is_never_to_be_en	yA_jAnA_hE
is_not_being_en	yA_jA_rahA_hE
is_not_en	yA_gayA_hE
is_not_going_to_0	ne_vAlA_hE
is_not_ing	0_rahA_hE
is_not_to_0	ne_vAlA_hE
is_to_0	ne_vAlA_hE
is_to_be_en	yA_jAnA_hE
is_unable_to_0	0_pAwA_hE
keep_ing	wA_rahawA_hE
keep_on_ing	wA_rahawA_hE
keeps_ing	wA_rahawA_hE
keeps_on_ing	wA_rahawA_hE
kept_ing	wA_rahA
kept_on_ing	wA_rahA
let_0	ne_xo/subj
like_to_0	nA_pasanxa_karawA_hE
liked_to_0	nA_pasanxa_karawA_WA
likes_to_0	nA_pasanxa_karawA_hE
made_0	Nic
may_0	0_sakawA_hE
may_be_en	yA_jA_sakawA_hE
may_have_been_en	yA_gayA_hogA
may_have_been_ing	wA_rahA_ho
may_have_en	yA_hogA
may_need_to_0	ne_kI_jZarUrawa_pada_sakawI_hE
may_not_0	-/0_sakawA
may_not_be_en	yA_jA_sakawA_hE
may_not_have_been_en	yA_gayA_hogA
may_not_have_been_ing	wA_rahA_ho
may_not_have_en	yA_hogA
might_0	0_sakawA_hE
might_be_en	yA_jA_sakawA_hE
might_be_ing	0_rahA_hogA
might_have_been_ing	yA_huA_ho_sakawA_hE
might_have_en	yA_hogA
might_not_0	ez
might_not_be_en	yA_jA_sake
might_not_be_ing	yA_ho
might_not_have_been_ing	0_rahA_hogA
might_not_have_en	yA_ho
must_0	nA_cAhiye
must_be_en	nA_hogA
must_be_ing	wA_rahA_hogA
must_have_been_en	yA_gayA_hogA
must_have_been_ing	0_rahA_hogA
must_have_en	yA_hogA
must_have_not_been_ing	wA_rahA_hogA
must_have_not_en	yA_hogA
must_not_0	nA_cAhiye
must_not_be_en	nA_hogA
must_not_be_ing	wA_rahA
must_not_have_been_en	yA_gayA_hogA
must_not_have_been_ing	0_rahA_hogA
must_not_have_en	yA_hogA
need_not_0	nA_kI_jZarUrawa_hE
need_to_0	nA_kI_jZarUrawa_hE
need_to_be_en	yA_jAnA_hE
needs_to_be_en	yA_jAnA_hE
never_0	0
not_en	yA_huA
not_having_en	nA_ke_kAraNa
not_ing	0_0_kara/nA/ne/wA_huA
not_to_0	nA
of_ing	ne_ke_bAre_meM
on_ing	ne_para
ought_not_to_0	nA_cAhiye
ought_not_to_be_en	yA_jAnA_cAhiye
ought_not_to_have_en	nA_cAhiye_WA
ought_to_0	nA_cAhiye
ought_to_be_en	yA_jAnA_cAhiye
ought_to_have_en	nA_cAhiye_WA
s	gA/wA_hE
shall_0	gA
shall_be_en	yA_jAyegA
shall_be_ing	wA_rahegA
shall_have_to_0	nA_hogA
shall_not_0	gA
should_0	nA_cAhiye
should_be_en	yA_jAnA_cAhiye
should_be_ing	nA_cAhiye
should_be_to_0	nA_kA_cAhiye_honA
should_have_been_en	nA_cAhiye_WA
should_have_been_ing	wA_rahanA_cAhiye_WA
should_have_en	nA_cAhiye_WA
should_like_to_0	nA_pasanxa_kara_gA
should_never_0	nA_cAhiye
should_not_0	nA_cAhiye
should_not_be_en	0_jAnA_cAhiye
should_not_be_ing	nA_cAhiye
should_not_be_to_0	nahIM_cAhiye_honA_kA_nA
should_not_have_been_en	yA_cAhiye_WA
should_not_have_been_ing	wA_rahanA_cAhiye_WA
should_not_have_en	nA_cAhiye_WA
subj	subj
to_0	-/0_kara/isake_bAxa_meM/kA/ke_karIba/ke_liye/ke_sAmane/kI_ora/ko/meM/nA/nA_ke_liye/ne/ne_kA/ne_ke_liye/ne_kI/ne_se/ne_vAlA/ora/se/waka
to_be_en	yA_huA_honA
to_be_ing	wA_huA
towards_ing	ne_ke_liye
used_to_0	yA_karawA_WA
used_to_be_en	yA_jAwA_WA
was_able_to_0	0_pAwA_wA
was_being_en	yA_jA_rahA_WA
was_en	0_gayA_WA/WA/yA_gayA_WA/yA_jAwA_WA/yA_WA
was_en_born	yA_WA
was_going_to_0	ne_vAlA_WA
was_ing	0_rahA_WA/WA/yA_WA
was_never_en	yA_gayA_WA
was_not_being_en	yA_jA_rahA_WA
was_not_en	yA_WA
was_not_going_to_0	ne_vAlA_WA
was_not_ing	0_rahA_WA
was_not_to_0	ne_vAlA_WA
was_not_to_be_en	yA_jAnA_WA
was_to_0	ne_vAlA_WA
was_to_be_en	yA_jAnA_WA
was_unable_to_0	0_pAwA_wA
were_able_to_0	0_pAwA_wA
were_being_en	yA_jA_rahA_WA
were_en	0_gayA_WA/yA/yA_gayA_WA/yA_jAwA_WA/yA_WA
were_en_born	yA_WA
were_going_to_0	ne_vAlA_WA
were_ing	0_rahA_WA/WA/yA_WA
were_not_being_en	yA_jA_rahA_WA
were_not_en	yA_WA
were_not_going_to_0	ne_vAlA_WA
were_not_ing	0_rahA_WA
were_not_to_be_en	yA_jAnA_WA
were_to_0	ne_vAlA_WA
were_to_be_en	yA_jAnA_WA
were_unable_to_0	0_pAwA_wA
will_0	gA
will_be_able_to_0	0_pAyegA
will_be_en	0_jAyegA/yA_jAyegA
will_be_ing	0_rahA_hogA
will_have_been_being_en	yA_jA_rahA_hogA
will_have_been_en	yA_huA_hogA
will_have_en	0_liyA_hogA
will_have_to_0	nA_hogA/nA_padegA
will_have_to_be_en	nA_padegA
will_keep_on_ing	wA_rahUzgA
will_need_to_0	nA_kI_jZarUrawa_hogI/nA_padegA
will_never_0	gA
will_not_0	gA
will_not_be_en	gA
will_not_be_ing	0_rahA_hogA
will_not_have_been_en	yA_huA_nahIM_hogA
will_not_have_en	0_liyA_hogA
will_not_have_to_0	nA_hogA
will_not_have_to_be_en	nA2_padegA
without_ing	yA_binA
would_0	gA/wA
would_be_en	yA_jAyegA
would_be_ing	0_rahA_hogA
would_have_been_en	yA_hogA
would_have_en	yA_howA
would_have_to_0	nA_hogA
would_have_to_be_en	nA_hogA
would_like_to_0	nA_pasanxa_kara_gA
would_never_0	gA
would_not_0	gA
would_not_be_en	yA_jAyegA
would_not_be_ing	0_rahA_hogA
would_not_have_been_en	yA_hogA
would_not_have_en	yA_howA
would_not_have_to_be_en	nA_hogA
