I	I/eka/AI/mEM/muJe
bar	tikiyA/sitakinI/rUkAvata/pattI/nyAyAlaya/maXuSAlA/kaTaGarA/KadI_lakIra/jala-pAna_gqha/daNdA/Cada/bAra/axAlawa/Ada/SarAbaGara/salAKa/SalAkA/rukAvata/ko_Coda_kara/argalA_se_banxa_kara/sitakinI_lagA/roka/prAwibanxa_lagA/nikAla_xe/manA_kara
barring	ke_alAvA/ko_Codakara
before	ke_pahale/sAmane/pahale_se_hI/pahale_se/pahale/Age/ke_Age/ke_sAmane
behind	pICadA/xera_se/pITapara/pICe_kI_Ora/pICe/pICe_se/cUwada/kUlhA/ke_pICe/ke_samarWana_me/ke_pakSa_me
below	nIce_kI_maFjila_para/nIce/nAjuka/KarAba/kama/GatiyA/gaharI/dubI_huI/ke_nIce/se_nIce/nIcevAlI
beneath	nIce_kI_Ora/nIce/ke_nIce/se_nIce/ke_yogya
besides	ke_awirikwa/isake_awirikwa/BI/ko_Codakara/ke_awirikwa_BI/isake_alAvA/ke_alAvA
between	ke_bIca/bIca_meM/bIca/ke_bIca_meM/ke_bIc
beyond	ke_alAvA/ke_Age/Age/paraloka/ke_pAra/ke_bAxa/ke_bAhara/ke_awirikwa
both	xonoM/xono/uBaya
but	yUEYhI/wo_BI/sivAya/sirPa/sAmanyawaH/Pira_BI/lekina/kevala/Codakara/balki/paranwu/kinwu/ewarAja/magara/ke_awirikwa/jabaki/para
by	upa/awirikwa/samIpa/se_hokara/pAsa_meM/pAsa/nikata/najaxIka/ke_nikata/bagala_se/bagala_meM/xvArA/waka/se/meM/ke_xvArA/ke_jarie/ke_Biwara/ke_anusAra/sAWa_meM
certain	niSciwa/viSvasanIya/viSeRa/pakkA/niyawa/nirvivAxa/kuCa/koI_BI/koI/kisI/KAsa/asanxigXa/anivArya/pakkA_viSvAsa
circa	lagaBaga
concerning	sambaxXa/ke_anusAra/ke_bAre_meM
considering	yaha_xeKawe_hue/XyAna_meM_raKa_kara
counting	eka_badA_kulIna_jana
cum	evaM
despite	bEra/ke_bAvajUxa/hone_para_BI
down	xuHKI/padA_huA/nimnagAmI/nakaxa/dAuna/banxa/nIce/xakRiNonmuKa/purI_waraha_se/nigalakara_SarIra_ke_anxara/nIce_kI_waraPa/kAgaja_para/uxAsa/hawowsAha/KarAba/rovAz/komala_pafKa/komala_bAla/mulAyama_bAla/para/nIce_waka/ke_kinAre/ke_nIce/ke_wale/wejI_se_nigala_jA/nIce_uwAra/nIce_uwara/nIce_girA/nIce_gira/jamIna_para_girA_xe/jalxI_samApwa_kara/jalxI_pI_le/jalxI_Kawama_kara/harA_xe/hAra/girA_xe/girA/Coda/bigAda
during	ke_xOrAna/meM/ke_samaya_meM/ke_samaya
each	hara/prawyeka/hara_eka/haraeka/eka-eka/eka_eka/prawyeka_ke_lie/hara_eka_lie/eka_sAWa/praweka
either	yA_wo/xonoM_meM_se_eka/xonoM/koI-eka/hara/anyawara/yaha_yA_vaha/BI/yA/xo_meM_se_koI-eka
even	BI/Ora
every	prawyeka/kula/hara_eka/hara/saBI
everybody	prawyeka_vyakwi/saBa_loga/hara_koI
everyone	saBI/saba/hara_eka/prawyeka_vyakwi/prawEka_vyakwi/prawEka/hara_koI
everything	saba_kuCa/sArA/saba/prawyeka
except	sirPa/ko_Codakara/ko_Coda_kara/SAmila_nahiM_kara/Coda_xe/Coda
excepting	CodanA
excluding	Coda_xenA
few	kuCa/xo_cAra/Wode_hI/kuCa_hI/kama/kaI/alpa/WodA
following	agalA/sahAyaka/nimnAfkiwa/nimnaliKiwa/anugAmI/AgAmI/Age_xiyA_huA/SiRya-samuxAya/hone_para
for	kyofki/ke_lie/ke_liye/kI_ora_se/ke_hisAba_se/waka
from	se/ke/ke_yahAz_se
given	AxI/viSeRa/nirXAriwa/niSciwa/xeKawe_hue/pUrvAnumAna/xe
#gone	raKA_jAnA/xivafgawa/mqwa
he	usane/unhoMne/vaha/usa/yaha
her	usakA/vaha/usakI/use/usako/yaha
hers	usa_swrI_kA/usakI
herself	svayaM/vaha_svayaM
him	vaha/usako/yaha
himself	svayaM/Apase
his	usakI/apane/usake/unake/usakA/yaha/apanI
how	kEse/kiwanA/kisa_waraha/kEsA
however	waWApi/waba_BI/PiraBI/Pira_BI/jEse_BI/hAlAzki/lekina
i	mEM/muje/mEMne
in	meM/vEyakwika/upalabXa/sawwArUDa/pracaliwa/pahane_hue/jalawI_huI/ina/in/BIwarI/anxara_kA/anwarika/anxara/BIwara/sawwArUDa_rAjanIwika_xala_kA_saxasya/praBuwva/prawi/kI_waraPa_se/ke_samaya_meM/ke_samaya/ke_anxara/se/kA
including	sammiliwa_karawe_hue/sahiwa
inside	XaMsA_huA/gupwa/BIwarI/mana_se/jela_meM/BIwara/anxara_se/anxara/aByanwara/ximAga/peta/mana/kinArA/BIwarI_BAgaa/BIwarI_BAga/Anwarika_BAga/meM/ke_anxara
into	anxara_ko/upara/meM/ke_anxara/guNiwa_karane_para
is	howA_hE/hE/howI_hE/ho/howA_hEM/howe_hEM
it	yaha/vaha/isakA/usakI/isake/isa_para/vAkyAMSa_pramuKawA_bawAnA
its	isakA/apanA/vaha/usakA/usakI/isakI/isake
itself	svayam/svayaM/apane_Apa
less	kama/WodA_sA/CotA/kama_mAqA_me
like	usI_warAha/usI_waraha/usI_prakAra/samAna/jEsA/eka-sA/eka_se/usI_DMaja_se/waraha_kA/pasanxa_kara/pasMaxa_kara/pasMaxa_ho/cAha/uciwa_laga/EsA
little	WodA/WodA_sA/woda/nAtA/kuCa/kama/CotI/CotA/mahawvahIna
many	bahuwa_se/kiwane/kaI/jiwanA/iwane/Dera_SAre/bahuwa_sAre/aneka/bahuwa_sI
me	muJa/muJako/mEM
mine	merA/surafga_kRetra/surafga_bama/surafga/KAna/jvAlAmuKI_bisPota/bArUxI_bama/BaNdAra/surafga_laga/surafga_Koxa/surafga_ban/KAna_se_prapwa_kara/KAna_Kox/KAna_Koxa/bila_KoxanAa
minus	nyUnawama/kamI/GatAva/ke_binA/GatA
more	aXika/Ora_aXika/Ora/KUba/bahuwa/aXikawara/aXikAMSa/jyAxA/aXika_mAwrA_meM/awyaXika
most	sabase_aXika/sarvAXika/bahuwa_aXika/bahuwa/aXikawama/aXikAMSa/lagaBaga/awyaXika/sabase_jyAxA
much	bahuwa/bahuwa_kAla/aXika/prAyaH/Ora/karIba-karIba/kAPI
my	merA/mere/mEM
myself	svayaM/svawaH
near	nikata/samIpa/pAsa_meM/pAsa_hI/pAsa/najaxIkI/najaxIka/mUla/milawA-julawA/lagaBaga_samIpa/lagaBaga/karIba/kiPayawaSArI/kaFjUsa/jigarI/bilkula_nayA/bAzyA/bahuwa_kuCa_sahI/AnevAlA/anwarafga/milawA_julawA/pAsa_se/pasa/nikata_se/karIba-karIba/ke_pAsa/ke_najaxIka/karIba_ho/nikata_pahuzca
neither	nA_yaha_nA_vaha/na_hI/nahIM/na/koI_BI_nahIM/inakAra/na_wo
no	nahIM/nahIM_hEM/koI_nahIM/koI/bilkula_nahIM/inakAra
nobody	koI_nahIM/mAmUlI_AxamI/koInahIM
none	nahIM_hEM/bilkula_nahIM/bilkula_BI_nahIM/inakAra/koI_nahIM/koI_BI_nahIM
nothing	kuCa_nahIM
notwithstanding	waba_BI/Pira_BI/waWApi/ke_bAvajUxa
of	kA/se/ke_bAre_meM/meM_kA/meM_se
off	suxUra/xUra/xAhinA/uxAsa/samApwa/rUKA/raxxa/oYPa/mAmulI/CuttI_kA/banxa/Bafga/bakI/alaga/se_xUra_hatakara/CUta/se_xUra/se_alaga/se/para_se
on	lagAwAra/pe/para/ora/meM/ko/ke_upara/ke_pAsa/ke_kinAre/ke_bAre_meM
one	eka_UNDEF
onto	para/pICe_padanA
opposite	viruxXa/viroXI/viparIwa/ultA/sAmane/prawikUla/Amane-sAmane/ke_sAmane
or	yA/aWavA/anyaWA
other	anya/xUsarA/xUsar/viparIwa/Ora/bAkI
others	anya
our	hamArA/hamalogo_kA/apanA/hamAre/hamArI/apane/apanI/mEM
ours	hamArA/apanA/mEM
ourselves	svayam/hama_svayam/apane_Apa_ko/svayam_ko
outside	bAhara/ke_bAhara/bAhya/bAharI/asambaxXa/kama/bAhara_kI_ora/sImA_se_bAhara/bAharI_BAga/se_pare/se_bAhara
over	samApwa/pe/nIce_girA_huA/se_aXika/Bara/xUsarI_ora/waka/varRa_se_jyAxA/bacA_huA/Kawama/bArabAra/SeRa/kriketa_kI_ovara/se_upara/para/meM/ke_upara_se/ke_upara/ke_samaya/ke_bAvajUxa/Upara/isa_ora_se_usa_ora_waka/suxUra/se_jyAxA/bIca/xaramiyAz/kaTinAiyAz_se_mukwa/prasAriwa/weja_AvAja/pAra_kara
past	piCalA/vyawiwa/vigawa/pUrvakAlika/pUrva/BUwapUrva/BUwakAlIna/bIwA/pAsa_se_ho_kara/xvArA/se/BUwakAla/awIwa/ke_pare/ke_bAxa/ke_Age/pare/se_aXika
pending	vicArAXIna/Asanna/waka
per	prawi
plus	Xana/waWA/se_aXika/Xana_kA_cinha/milAkara/Ora/isake_awirikwwa
pro	samarWaka/peSevara
re	ke_viRaya_meM
regarding	se_sambanXiwa/ke_bAre_meM
respecting	ke_bAre_meM
round	gola/Wula-Wula/vqwwAkAra_nqwya/vqww/sWUla/sAPa-suWarI/saccI/pUrNAfka/pUrNafka/pUrA/motA/meja_para_KelA_jAne_vAlA/kula/golAkAra/badI_Ora_motI_reKAoM_vAlA/badI/awyanwa_vega_se/GumAva-PirAvake_sAWa/cAro_Ora/Bara/xOrA/xEnikI/sImA/gAya_ke_jAzGa_kA_eka_hissA/gAna/cakkara/breda_kA_tukadA/bArI/Avarwana/vqwwa/xOra/pArI/GerA/bOCAra/PerA/samApwa_kara/saBI_CexoM_meM_eka_bAra_genxa_pahuzcA_xe/pUrNawA_praxAna_karanA_kara/pUrNawA_praxAna_kara/ikattA_kara/gola_banA/cikanA_kara/cakkara_lagA/batora
save	sivAya/Xana_bacA_kara_raKa/surakRiwa_raKanA/surakRiwa_raKa/sahAyawA_kara/roka/rakRA_kara/kiPAyawa_barawa/jamA_kara/hiPAjawa_kara/CutakArA_xe/baca/bacA/bacA_le/bacA_xe
saving	bacAva/bacawa
several	viBinna/prakAra/nijI/nAnA_prakAra/kaI/Binna/bahuwa/alaga-alaga/alaga/aneka
she	usane/vaha/mAxA/aOrawa/swrI/yaha
since	waba_se/se/kyofki/uparAnwa/cUfki
some	kuCa/WodA_sA/viSiRta/koI/kai/bahuwa_baDiyA/pUrNawayA/lagaBaga/kuCa_loga/kisI
somebody	koI/koI_vyakwi
someone	koI/badA_AxamI/koI_vyakwi
something	kuCa/koI_cIja/koI_bAwa/koI
than	kaba/se/kI_apekRA/kI_wulanA_meM
that	jo/isa/yaha/vaha/usa/ki/jinheM/waka/iwanA/isa_haxa_waka/uwanA/jo_ki/vahI/jinak/ji/jise
the	vaha/isa/usa/vahI/isakA/isake/uwanA/jiwanA/apanA/yaha/apanI/ina/apane/ye/isI
their	apanA/unakA_yA_inakA/vaha/unakA/yaha
theirs	vaha/unakI_AvaSyakawA/unlofgo_kA/unakA
them	unako/unakA/unake/unheM/ve/una_para/unak/unheM_unako/vaha/apane
themselves	Kuxa/svayaM
there	vahAz/vaha
these	ye/ina/yaha/inheM
they	unheM/ve_loga/ve/unhoMne/ye/unameM
this	yaha/isa/isese/iwanA/isake_lie/isakA/ise
those	ve/jo/ina/una
through	SurU_se_anwa_waka/sIXA/pUrNa/lagAwAra/KulA/eka_se_xUsare_waka/xvArA/SurU_se_AkIra_waka/se/pUrI_waraha_se/baxOlawa/acCI_waraha_se/eka_ora_se_xUsarI_ora/prawibanXa_ko_wodawe_hue/anwa_waka/meM_se/meM/ke_xvArA/ke_mAXyama_se/ke_jarie/se_waka/Suru_se_anwa_waka/ke_kAraNa
throughout	SurU_se_anwa_waka/Suru_se_anwa_waka/pUrNawayA/pUre/Bara_meM/meM/pUre_meM
thru	sIXA
till	golaka/xarAja/waka/jowa/Kewa_jowa
to	hoSa_meM/banxa_avasWA_meM/banxa/ko/kI_aora/kI_ora/waka/kI/se/ke_mukAbale_meM/meM/se_milA_kara/ke_prawi/kA/kI_apekRA/ke_karIba/ke_lie/ke_sAmane/ora/para/vAlA/ke_liye
too	BI
touching	karuNAwmaka/mArmika/marmasparSI
toward	samIpa/howe-howe/uxyawa/lage/banawA_huA/kI_waraPa/ke_prawi/ke_pAsa/ke_lie/kI_ora/ke_viRaya_meM/ke_nikata
towards	kI_waraPa_se/kI_ora/howe-howe/waraPa/meM/kI_waraPa/ke_prawi/ke_pAsa/ke_lie
under	nicalA/nIce/ke_nIce/se_kama/pAnI_ke_BIwara/meM/ke_xeKareKa_meM/ke_wahawa/ke_niyantraNa_meM/ke_nigarAnI_meM/ke_aXIna/ke_anxara/anxara/ke_wale
underneath	nIce/anxara_se/wale/nicalA_BAga/ke_nIce
unlike	se_Binna/asamAna/prawikUla/ke_viparIwa
until	waka/jaba_waka
up	wEyAra/weja/vixroha_graswa/viparIwa/UzcI/uwsAhiwa/uTAna/uTA_hUA/upara/UcAI_para/SIrRasWa/samApwa/prawyeka/praswuwa/KuSa/KulA/jalA_huA/jagA_huA/gusse_meM/garma/badA/baDI_huI/avagawa/apa/Upara/ucca/Upara_vAlA/Upara_kI_ora/UrXva/upara_kI_ora/pUrI_waraha_se/kasa_ke/Age/SIrRasWa_vyakwi/caDAva/ke_Upara/ke_upara/para/uTa/baDA/uTA/caDA
upon	ke_Upara/para/najaxIka/UzcA
us	hameM/hame/hamAre/apan/hama_ko
versus	viparIwa/viruxXa/ke_mukAbale/banAma
via	kI_rAha_se/se_hokara/ke_xvArA
was	WA/WI/We
we	hama/mEM/hameM/hamArA/hamane/hame/hamAre/hamArI/hamAr
were	hEM/WA
what	kOna-sA/kiwanA/kisa/jo_kuCa/kyA/jo/isA/jEsA
whatever	jo_kuCa_BI/kuCa_BI/jo_BI
when	jaba/yaxyapi/waba/cUzki/jisa_samaya/kaba/kyozki
where	kahAz/jisa_sWAna_para/jaba_ki/jahAz/jisase/jisameM/jisapara
which	kina/jo/jise/jinako/jinakA/jisake/jinase/jisameM/jisane/kOna-sA/jaba_ki/kyA/jisakA/jinheM/ji/kOna_sA/jahAz
whichever	jo_BI/koI_BI
who	jo/kOna/kisane
whoever	jo_koI/kOna
whom	kise/jo
whose	jisakA/jisak/kisakA
with	ke_sAWa/se_yukwa/se/milAkara/meM/ke_xiSA_meM/ke_prawi/ke_mAmale_meM/ke_kAraNa/ke_bAvajUxa/ke_pAsa/ke_sAWa_sAWa/kI_xiSA_meM/ka_bAvajUxa
within	ke_anwargawa/BIwara/mana_meM/mana_hI_mana/ke_anxara/anxara/meM/ke_BIwara/kI_sImA_ke_anxara
without	bAhara/ke_binA/Codakara/binA/ke_KilAPa/na
worth	mUlya/yogya/mUlya_kA/lAyaka/ke_barAbara_mola_kA/kA_mAlika/mahawva/kImawa
you	Apa/wumheM/Apako/ApakA/Apake/Apane/wU/wuma
your	Apa/wumhArA/ApakA/wU
yours	Apa/wumhArA/ApakA/wU
yourself	Kuxa/Apaa/wuma_Kuxa/wuma/svayaM_apane_Apa_ko/Apa_svayaM/Apane_Apa_ko/Apa_Kuxa/wuma_hI
