#Updated on 4th May 2013
#physics_word	Hindi_word_in_wx
###################################################################################
centripetal_force	aBiveMPaxra_bala/aBikeMxra_bala#aBikeMxra_bala#noun#2#RM
chain_reaction	SqMKalA_aBikriyA/SrAaM_qKalA_aBikriyA#SrAaM_qKalA_aBikriyA#noun#2#RM
characteristic_properties	aBilAkRaNika_guNa#aBilAkRaNika_guNa#noun#2#RM
charged_constituents	AveSayukwa_saMGatana/AveSiwa_avayava#AveSayukwa_saMGatana/AveSiwa_avayava#noun#2#RM
classical_physics	cirasammawa_BOwikI#cirasammawa_BOwikI#noun#2#WM
coefficient_of_linear	reKIya_prasAra_guNAMka#reKIya_prasAra_guNAMka#noun#2#RM
coefficient_of_linear_expansion	reKIya_prasAra_guNAMka#reKIya_prasAra_guNAMka#noun#1#RM
coefficient_of_performance	niRpAxana_guNAMka#niRpAxana_guNAMka#noun#1#RM
coefficient_of_volume_expansion	Ayawana_prasAra_guNAMka#Ayawana_prasAra_guNAMka#noun#1#RM
coiled_spring	kuMdaliwa_kamAnI#kuMdaliwa_kamAnI#noun#2#RM
combustion_gas	xahanaSIla_gEsa#xahanaSIla_gEsa#noun#2#RM
common_point	uBayaniRTa#uBayaniRTa#noun#2#WM
common_to_all	sarvaniRTa#sarvaniRTa#noun#1#WM
common_to_two	uBayaniRTa#uBayaniRTa#noun#1#WM
commutative_law	krama-vinimeya_niyama#krama-vinimeya_niyama#noun#2#RM
compressive_strain	saMpIdana_vikqwi#saMpIdana_vikqwi#noun#2#RM
conservation_of_momentum	saMvega_saMrakRaNa#saMvega_saMrakRaNa#noun#1#RM
conservative_force	akRayakArI_bala#akRayakArI_bala#noun#2#RM
constant_direction	niyawa_xiSA#niyawa_xiSA#noun#2#RM
constant_volume	sWira_Ayawana_wApamApI#sWira_Ayawana_wApamApI#noun#2#RM
constant_volume_thermometer	sWira_Ayawana_wApamApI#sWira_Ayawana_wApamApI#noun#3#WM
constructive_interference	saMpoRI_vyawikaraNa#saMpoRI_vyawikaraNa#noun#2#RM
contact_force	sparSIya_bala#sparSIya_bala#noun#2#RM
coordinate_system	nirxeSAMka_nikAya#nirxeSAMka_nikAya#noun#2#WM
coriolis_force	korioYlisa_bala#korioYlisa_bala#noun#2#RM
cosine_curve	kojyA_vakra#kojyA_vakra#noun#2#RM
coupled_oscillator	yugmiwa_xolaka#yugmiwa_xolaka#noun#2#RM
cross_section	anuprasWa_kAta#anuprasWa_kAta#noun#2#RM
current_carrying_conductor	vixyuwvAhI_cAlaka#vixyuwvAhI_cAlaka#noun#3#RM
damped_motion	avamaMxiwa_gawi#avamaMxiwa_gawi#noun#2#RM
data_base	AMkadZe#AMkadZe#noun#2#RM
degree_of_freedom	svAwaMwraya_koti/svAwaMwraya-koti/svAwaMwrya-koti#svAwaMwrya-koti#noun#1#RM
derived_force	vyuwpanna_bala#vyuwpanna_bala#noun#2#RM
derived_unit	vyuwpanna_mAwrAka/vyuwpanna_mAwraka#vyuwpanna_mAwraka#noun#2#RM
destructive_interference	vinASI_vyawikaraNa#vinASI_vyawikaraNa#noun#2#RM
differential_calculus	avakala_gaNiwa#avakala_gaNiwa#noun#2#WM
differential_coefficient	avakala_guNAMka#avakala_guNAMka#noun#2#RM
dimensional_equation	vimIya_samIkaraNa#vimIya_samIkaraNa#noun#2#RM
dimensional_formulae	vimIya_sUwra/vimIya_sUwrA#vimIya_sUwra#noun#2#RM
directional_aspect	xiSAwmaka_xqRtikoNa#xiSAwmaka_xqRtikoNa#noun#2#RM
directly_proportional	anukramAnupAwI#anukramAnupAwI#noun#2#RM
displacement_vector	visWApana_saxiSa#visWApana_saxiSa#noun#2#RM
dissipative_force	kRayakArI_bala#kRayakArI_bala#noun#2#RM
distributive_law	viwaraNa_kA_niyama#viwaraNa_kA_niyama#noun#2#RM
dynamic_friction	gawika_GarRaNa#gawika_GarRaNa#noun#2#RM
ejected_gas	niRkAsiwa_gEsa#niRkAsiwa_gEsa#noun#2#RM
elastic_force	prawyAsWa_bala#prawyAsWa_bala#noun#2#RM
elastic_hysteresis	prawyAsWa_SEWilya#prawyAsWa_SEWilya#noun#2#RM
electromagnetic_wave	vExyuwa_cuMbakIya_waraMgeM#vExyuwa_cuMbakIya_waraMgeM#noun#2#RM
elementary_particles	mUla_kaNa#mUla_kaNa#noun#2#RM
empirical_law	AnuBavika_niyama#AnuBavika_niyama#noun#2#WM
equational_bulge	BUmaXyavarwI_uBAra#BUmaXyavarwI_uBAra#noun#2#RM
equilibrium_line	sAmya_reKA#sAmya_reKA#noun#2#RM
escape_speed	palAyana_cAla#palAyana_cAla#noun#2#RM
exact_expression	yaWArWa_vyaMjaka#yaWArWa_vyaMjaka#noun#2#RM
expansioncoefficient_of_volume	Ayawana_prasAra_guNAMka#Ayawana_prasAra_guNAMka#noun#2#RM
experimental_sample	parIkRaNa_nixarSa/prAxarSaxXa#parIkRaNa_nixarSa#noun#2#RM
exterior_planets	bAhya_graha#bAhya_graha#noun#2#RM
fermi-dirac_statistics	paParmI-diroYka_sAMKyikI/ParmI-diroYka_sAMKyikI#ParmI-diroYka_sAMKyikI#noun#2#WM
first_harmonic	praWama_guNAvqwwi#praWama_guNAvqwwi#noun#2#RM
first_law_of_thermodynamics	URmAgawikI_kA_praWama_niyama#URmAgawikI_kA_praWama_niyama#noun#2#WM
fluid_dynamics	waralagawikI#waralagawikI#noun#2#WM
fly_wheel	gawipAlaka_cakra#gawipAlaka_cakra#noun#2#RM
force_of_gravity	guruwva_bala#guruwva_bala#noun#1#RM
forced_oscillations	praNoxiwa_xolana#praNoxiwa_xolana#noun#2#RM
fossil_fuel	jIvASmI_IMXana#jIvASmI_IMXana#noun#2#RM
frame_of_reference	nirxeSa_waMwra#nirxeSa_waMwra#noun#1#RM
free_body_diagram	bala_nirxeSaka_AreKa#bala_nirxeSaka_AreKa#noun#3#RM
free_fall	mukwa_pawana#mukwa_pawana#noun#2#WM
function_of_time	samaya_kA_paPalana/samaya_kA_Palana#samaya_kA_Palana#noun#1#RM
fundamental_force	mUla_bala#mUla_bala#noun#2#RM
fundamental_mode	mUla_viXa#mUla_viXa#noun#2#RM
fundamental_unit	mUla_mAwrAka/mUla_mAwraka#mUla_mAwraka#noun#2#RM
galactic_cluster	maMxAkinIya_gucCe#maMxAkinIya_gucCe#noun#2#RM
gauge_pressure	gejZA_xAba/geSa_xAba#geSa_xAba#gejZA_xAba#noun#2#RM
general_theory_of_relativity	ApekRikawA_kA_vyApaka_sixXAMwa#ApekRikawA_kA_vyApaka_sixXAMwa#noun#2#RM
genetic_engineering	AnuvaMSika_aBiyAMwrikI#AnuvaMSika_aBiyAMwrikI#noun#2#WM
geothermal_energy	BUwApIya_UrjA/BUwApIya_uParjA#BUwApIya_UrjA#noun#2#RM
graphical_method	AleKI_viXi#AleKI_viXi#noun#2#RM
gravitational_mass	guruwvIya_xravyamAna#guruwvIya_xravyamAna#noun#2#RM
gravitational_potential	guruwvIya_viBava#guruwvIya_viBava#noun#2#RM
gravity_waves	guruwva_waraMgeM#guruwva_waraMgeM#noun#2#RM
half_integer	arXapUrNAMka#arXapUrNAMka#noun#2#RM
harmonic_number	guNAvqwwi_saMKyA#guNAvqwwi_saMKyA#noun#2#RM
harmonic_oscillation	AvarwI_xolana#AvarwI_xolana#noun#2#RM
harmonic_series	guNAvqwwi_SreNI#guNAvqwwi_SreNI#noun#2#RM
head_and_tail_rule	SIrRa_evaM_pucCa_niyama#SIrRa_evaM_pucCa_niyama#noun#2#RM
heat_capacity	URmAXAriwA#URmAXAriwA#noun#2#RM
heat_insulator	URmAroXI#URmAroXI#noun#2#RM
high_energy_collision	ucca_UrjA_saMGatta#ucca_UrjA_saMGatta#noun#3#RM
ideal_gas	AxarSa_gEsa#AxarSa_gEsa#noun#2#RM
idealised_reversible_process	AxarSIkqwa_uwkramaNIya_prakrama#AxarSIkqwa_uwkramaNIya_prakrama#noun#3#RM
impending_motion	samupasWiwa_gawi#samupasWiwa_gawi#noun#2#RM
inclined_plane	Anawa_wala/nawa_samawala#Anawa_wala#noun#2#RM
inertial_frame	jadZawvIya_Prema/jadZawvIya_PZrema#jadZawvIya_Prema#noun#2#RM
inertial_mass	jadZawvIya_xravyamAna#jadZawvIya_xravyamAna#noun#2#RM
inferior_planets	aMwargraha/aMwagrraha#aMwagrraha#noun#2#RM
infinitesimally_small	anaMwaH_sUkRma#anaMwaH_sUkRma#noun#2#RM
instantaneous_acceleration	wAwkRaNika_wvaraNa#wAwkRaNika_wvaraNa#noun#2#RM
instanteneous_velocity	wAwkRaNika_vega#wAwkRaNika_vega#noun#2#RM
inter-stellar_space	aMwara-wArakIya_AkASa#aMwara-wArakIya_AkASa#noun#2#RM
interesting_feature	rocaka_lakRaNa#rocaka_lakRaNa#noun#2#RM
internal_energy	AMwarika_UrjA#AMwarika_UrjA#noun#2#RM
internal_force	AMwarika_bala#AMwarika_bala#noun#2#RM
internal_structure	AMwarika_saMracanA#AMwarika_saMracanA#noun#2#RM
interstellar_space	aMwarAwArakIya#aMwarAwArakIya#noun#2#RM
inversely_proportional	vyuwkramAnupAwI#vyuwkramAnupAwI#noun#2#RM
isolated_system	viyukwa_nikAya#viyukwa_nikAya#noun#2#RM
kelvin_scale	vePalvina_mApakrama/kelvina_mApakrama#kelvina_mApakrama#noun#2#RM
kinetic_energy	gawija_UrjA#gawija_UrjA#noun#2#RM
kinetic_friction	gawija_GarRaNa#gawija_GarRaNa#noun#2#RM
kinetic_reaction	gawika_prawikriyA#gawika_prawikriyA#noun#2#RM
kinetic_theory	aNugawi_sixXAMwa#aNugawi_sixXAMwa#noun#2#RM
kirchhoff's_law	kiraKopaPa_kA_niyama#kiraKopaPa_kA_niyama#noun#2#RM
lamp_black	xIpa_kajjala#xIpa_kajjala#noun#2#RM
law_of_cosine	kojyA-niyama#kojyA-niyama#noun#1#WM
law_of_equipartition_of_energy	UrjA_ke_samaviBAjana_kA_niyama#UrjA_ke_samaviBAjana_kA_niyama#noun#1#RM
law_of_sine	jyA-niyama#jyA-niyama#noun#1#WM
least_count_error	alpawmAMka_wrutiyAz#alpawmAMka_wrutiyAz#noun#3#RM
lever_arm	uwwolaka-BujA#uwwolaka-BujA#noun#2#RM
like_charges	sajAwIya_AveSa#sajAwIya_AveSa#noun#2#RM
limiting_process	sImAMwa_prakriyA#sImAMwa_prakriyA#noun#2#RM
limiting_value	sImAMwa_mAna#sImAMwa_mAna#noun#2#RM
line_of_contact	saMparvaPa_reKA/saMParva_reKA#saMParva_reKA#noun#1#RM
longitudinal_wave	anuxErGya_waraMga#anuxErGya_waraMga#noun#2#RM
machanics_of_fluids	warala_yAMwrikI#warala_yAMwrikI#noun#1#RM
magnetic_field	cuMbakIya_kRewra/cuMbakIya_kRewrA#cuMbakIya_kRewra#noun#2#RM
mass_defect	xravyamAna-kRawi#xravyamAna-kRawi#noun#2#RM
mass-energy_equivalence	xravyamAna-UrjA_wulyawA#xravyamAna-UrjA_wulyawA#noun#3#WM
massive_boson	sWUla_bosoYna#sWUla_bosoYna#noun#2#WM
maxwell-boltzamann_statistics	mEksavEla-boltjZAmAna_sAMKyikI#mEksavEla-boltjZAmAna_sAMKyikI#noun#3#RM
matter_wave	xravya_waraMgeM#xravya_waraMgeM#noun#2#RM
mean_free_path	Osawamukwa_paWa#Osawamukwa_paWa#noun#3#RM
mechanical_energy	yAMwrika_UrjA#yAMwrika_UrjA#noun#2#RM
mechanical_equilibrium	yAMwrika_sAmyawA#yAMwrika_sAmyawA#noun#2#RM
melting_point	galanAMka#galanAMka#noun#2#RM
merry_go_round	cavraPaxolA_gola_cavraPaxXa/cakraxolA(gola_cakra)#cakraxolA(gola_cakra)#noun#2#RM
microscopic_constituent	sUkRma_saMGataka#sUkRma_saMGataka#noun#2#RM
microscopic_domain	sUkRma_praBAva_kRewra/sUkRma_praBAva_kRewrA#sUkRma_praBAva_kRewra#noun#2#RM
molar_specific_heat	molIya_viSiRta_URmA#molIya_viSiRta_URmA#noun#3#RM
moment_of_inertia	jadZawvAGUrNa#jadZawvAGUrNa#noun#1#RM
muscular_force	peSIya_bala#peSIya_bala#noun#2#RM
neutron_induced_fission	nyUtroYna-preriwa_viKaMdana#nyUtroYna-preriwa_viKaMdana#noun#1#WM
nuclear_fission	nABikIya_viKaMdana#nABikIya_viKaMdana#noun#2#RM
nuclear_fusion	nABikIya_saMlayana#nABikIya_saMlayana#noun#2#RM
nuclear_power_reactor	ANvika_Sakwi_riektara#ANvika_Sakwi_riektara#noun#3#WM
nuclear_process	nABikIya_prakriyA#nABikIya_prakriyA#noun#2#RM
nuclear_weapon	ANvika_Saswra/ANvika_SaswrA#ANvika_Saswra#noun#2#WM
odd_number	viRama_aMka#viRama_aMka#noun#2#RM
of_course	vAswava_meM#vAswava_meM#noun#2#RM#WM
one_dimensional_motion	eka-vimIya_gawi#eka-vimIya_gawi#noun#2#RM
orbital_period	kakRIya_avaXi#kakRIya_avaXi#noun#2#RM
parallelogram_law_of_vector_addition	saxiSoM_kA_yoga_saMbaMXI_cawurBuja_kA_niyama#saxiSoM_kA_yoga_saMbaMXI_cawurBuja_kA_niyama#noun#2#WM
path_length	paWa_laMbAI#paWa_laMbAI#noun#2#WM
periodic_motion	AvarwI_gawi#AvarwI_gawi#noun#2#RM
phase_angle	kalA-koNa#kalA-koNa#noun#2#RM
pauli_exclusion_principle	pAulI_apavarjana_siXxAMwa#pAulI_apavarjana_siXxAMwa#noun#3#WM
phase_transition	prAvasWA_saMvraPamaNa/prAvasWA_saMkramaNa#prAvasWA_saMkramaNa#noun#2#RM
photo_electric_effect	prakASa_vExyuwa_praBAva#prakASa_vExyuwa_praBAva#noun#3#WM
physical_quantity	BOwika_rASi#BOwika_rASi#noun#2#RM
plastic_region	suGatya_kRewra/suGatya_kRewrA#suGatya_kRewra#noun#2#RM
point_of_view	xqRti#xqRti#noun#1#RM
pollen_grain	parAga_kaNa#parAga_kaNa#noun#2#RM
position_vector	sWiwi_saxiSa#sWiwi_saxiSa#noun#2#RM
potential_energy	sWiwija_UrjA#sWiwija_UrjA#noun#2#RM
principal_axis	muKya_akRa#muKya_akRa#noun#2#RM
products_of_combustion	xahana_uwpAxa#xahana_uwpAxa#noun#1#RM
productvector-product_or_cross	saxiSa_guNanapaPala#saxiSa_guNanapaPala#noun#2#RM
progressive_wave	pragAmI_waraMga#pragAmI_waraMga#noun#2#RM
quantum_mechanical	kvAMtama_yAMwrikIya#kvAMtama_yAMwrikIya#noun#2#RM
radius_of_gyration	pariBramaNa_wrijyA#pariBramaNa_wrijyA#noun#1#RM
random_errors	yAxqcCika_wrutiyAz#yAxqcCika_wrutiyAz#noun#2#RM
reaction_force	aBilamba_bala#aBilamba_bala#noun#2#RM
reaction_time	prawikriyA_kAla#prawikriyA_kAla#noun#2#RM
recoilless_emission	prawikRepahIna_uwsarjana#prawikRepahIna_uwsarjana#noun#2#RM
rectilinear_motion	sarala_reKIya_gawi#sarala_reKIya_gawi#noun#2#RM
repulsive_force	prawikarRaNa_bala#prawikarRaNa_bala#noun#2#RM
restoring_force	prawyAnayana_bala#prawyAnayana_bala#noun#2#RM
right_hand_rule	xakRiNAvarwI_niyama#xakRiNAvarwI_niyama#noun#3#RM
rigid_body	xqDZa_piMda/xqDZa_vaswu#xqDZa_piMda#noun#2#RM
rigid_rotator	xqDZa-GUrNI#xqDZa-GUrNI#noun#2#RM
rolling_friction	lotanika_GarRaNa#lotanika_GarRaNa#noun#2#RM
root_mean_square_speed	varga-mAXyamUla_cAla#varga-mAXyamUla_cAla#noun#4#RM
rotational_kinetic_energy	GUrNIya_gawija_UrjA#GUrNIya_gawija_UrjA#noun#2#RM
scalar_product_or_dot	axiSa_guNanapaPala#axiSa_guNanapaPala#noun#2#RM
scalar_product_or_dot_product	axiSa_guNanaPala#axiSa_guNanaPala#noun#2#RM
second_harmonic	xviwIya_guNAvqwwi#xviwIya_guNAvqwwi#noun#2#RM
seismic_wave	BUvaMPapI_waraMgeM#BUvaMPapI_waraMgeM#noun#2#RM
semi-crystalline_solid	aMSa_kristalIya_Tosa#aMSa_kristalIya_Tosa#noun#3#RM
semi_major_axis	arXaxIrGa_akRa#arXaxIrGa_akRa#noun#3#RM
shearing_strain	aparUpaNa_vikqwi#aparUpaNa_vikqwi#noun#2#RM
significant_figures	sArWaka_aMka#sArWaka_aMka#noun#2#RM
simple_harmonic_motion	sarala_Avarwa_gawi#sarala_Avarwa_gawi#noun#2#RM
sinusoidal_function	jyAvakrIya_paPalana#jyAvakrIya_paPalana#noun#2#RM
sliding_friction	sarpI_GarRaNa#sarpI_GarRaNa#noun#2#RM
solar_constant	sOra_uPaRmAMka#sOra_uPaRmAMka#noun#2#RM
solar_energy	sOra_UrjA#sOra_UrjA#noun#2#RM
solar_system	sOra_parivAra#sOra_parivAra#noun#2#WM
space_and_time	xikkAla#xikkAla#noun#2#WM
special_theory_of_relativity	ApekRikawA_kA_viSiRta_sixXAMwa#ApekRikawA_kA_viSiRta_sixXAMwa#noun#2#RM
specific_heat	viSiRta_URmA#viSiRta_URmA#noun#2#RM
spring_force	kamAnI_bala#kamAnI_bala#noun#2#RM
standard_notation	mAnaka_aMkana#mAnaka_aMkana#noun#2#RM
static_friction	sWEwika_GarRaNa#sWEwika_GarRaNa#noun#2#RM
stationary_lift	sWira_liPrata/sWira_liPta#sWira_liPta#noun#2#RM
stationary_state	sWAyI_avasWA#sWAyI_avasWA#noun#2#RM
stationary_wave	apragAmI_waraMga#apragAmI_waraMga#noun#2#RM
statistical_mechanics	sAMKyikIya_yAMwrikI#sAMKyikIya_yAMwrikI#noun#2#WM
statisticspauli_exclusion_principle	pAulI_apavarjana_sixXAMwa#pAulI_apavarjana_sixXAMwa#noun#2#RM
stimulated_emission	uxxIpiwa_uwsarjana#uxxIpiwa_uwsarjana#noun#2#RM
stopping_distance	roXana_xUrI/roXna_xUrI#roXana_xUrI#noun#2#RM
streamline_flow	XArAreKI_pravAha/XarAreKI_pravAha#XArAreKI_pravAha#noun#2#RM
stretched_string	wAniwa_dorI#wAniwa_dorI#noun#2#RM
successive_interval_of_time	kramika_aMwarAla#kramika_aMwarAla#noun#2#RM
surface_energy	pqRTa_uQrjA/pqRTa_uParjA#pqRTa_uQrjA#noun#2#RM
surface_tension	pqRTa_wanAva#pqRTa_wanAva#noun#2#RM
temperature_gradient	wApa_pravaNawA#wApa_pravaNawA#noun#2#RM
temperatureabsolute_zero	parama_SUnya#parama_SUnya#noun#2#RM
temperaturearbitraily_chosen	svecCagqhIwa#svecCagqhIwa#noun#2#RM
tensile_strength	wanana_sAmarWya#wanana_sAmarWya#noun#2#RM
terminal_velocity	aMwima_vega#aMwima_vega#noun#2#RM
thermal_capacity	URmAXAriwA/URmAXariwA#URmAXAriwA#noun#2#RM
thermal_heat	URmAXariwA#URmAXariwA#noun#2#RM
thermal_conduction	URmA_saMcaraNa#URmA_saMcaraNa#noun#2#RM
thermal_conductivity	URmA_cAlakawA#URmA_cAlakawA#noun#2#RM
thermal_contact	URmIya_saMparvaPa#URmIya_saMparvaPa#noun#2#RM
thermal_convection	URmA_saMvahana/saMvahana#URmA_saMvahana/saMvahana#noun#2#RM
thermal_equilibrium	URmIya_sAmyawA#URmIya_sAmyawA#noun#2#RM
thermal_expansion	URmIya_prasAra#URmIya_prasAra#noun#2#RM
thermal_radiation	URmA_vikiraNa#URmA_vikiraNa#noun#2#RM
thermal_stress	URmIya_prawibala#URmIya_prawibala#noun#2#RM
thermodynamic_temperature	URmAgawika_wApa#URmAgawika_wApa#noun#2#RM
time_of_flight	uddayana_kAla#uddayana_kAla#noun#1#RM
time_period	Avarwa_kAla#Avarwa_kAla#noun#2#RM
transverse_wave	anuprasWa_waraMga#anuprasWa_waraMga#noun#2#RM
triangle_law_of_vector_addition	saxiSoM_kA_yoga_saMbaMXI-wriBuja_kA_niyama#saxiSoM_kA_yoga_saMbaMXI-wriBuja_kA_niyama#noun#2#WM
tunnelling_microscopy	suraMgana_sUkRmaxarSikA#suraMgana_sUkRmaxarSikA#noun#2#WM
ultimate_strength	carama_sAmarWya#carama_sAmarWya#noun#2#RM
ultraviolet_light	parAbEMganI_prakASa#parAbEMganI_prakASa#noun#2#RM
unified_atomic_mass_unit	ekIkqwa_parAmANvIya_xravyamAna(saMhawi)_mAwraka#ekIkqwa_parAmANvIya_xravyamAna(saMhawi)_mAwraka#noun#4#RM
uniform_circular_motion	ekasamAna_vqwwIya_gawi#ekasamAna_vqwwIya_gawi#noun#3#RM
unit_vectors	ekAMka_saxiSa#ekAMka_saxiSa#noun#2#RM
universal_law	sArvawrika_niyama#sArvawrika_niyama#noun#2#RM
unlike_charges	vijAwIya_AveSa#vijAwIya_AveSa#noun#2#RM
vector-product_or_cross_product	saxiSa_guNanaPala#saxiSa_guNanaPala#noun#2#RM
velocity_vector	vega_saxiSa#vega_saxiSa#noun#2#RM
vibrational_energy	kaMpanIya_UrjA/vaMPapanIya_UrjA#kaMpanIya_UrjA#noun#2#RM
viscous_force	SyAna_bala/SyAnawA/yAna_bala#SyAna_bala#noun#2#RM
viscous_force	yAnawA#yAnawA#noun#2#RM
vocal_cords	vAvPa-waMwu#vAvPa-waMwu#noun#2#RM
wave_function	waraMga_paPalana#waraMga_paPalana#noun#2#RM
wave_theory	waraMga_sixXAMwa#waraMga_sixXAMwa#noun#2#RM
wein's_displacement_law	vIna-visWApana_niyama#vIna-visWApana_niyama#noun#2#RM
yield_point	parABava_biMxu#parABava_biMxu#noun#2#RM
yield_strength	parABava_sAmarWya#parABava_sAmarWya#noun#2#RM
young's_modulus	yaMga_guNAMka/yaMga_prawyAsWawA_guNAMka#yaMga_guNAMka/yaMga_prawyAsWawA_guNAMka#noun#2#WM
zig_zag	teDAZ-meDAZ/teDZA-meDZA#teDAZ-meDAZ#noun#2#WM
charged particles	AveSiwa_kaNa#AveSiwa_kaNa/noun#2#RM
