abandoned	bigadZA_huA/KAlI/pariwyakwa/CodZA_huA/
agreeable	sahamawa/svIkArya/suKaxa/
agreement	sahamawi/karAra_nAmA/manjUrI/samaJOwA/
agree	sahamawa/sahamawa_ho/mela_KA/waya_ho/sahamawI_jawA/mAna_jA/mAna/waya_kara/svIkAra_ho/
ahead	se_Age/Age/
aider	peda/
aid	sahAyawA/maxaxa_kara/
ail	rogI/kaRta_xe/
aim	lakRya/lakRiwa_kara/niSAnA_lagA/
airlift	havAI_jahAja_xvArA_maxaxa_karanA/havAI_jahAja_xvArA_logo_yA_sAmAnoM_ko_lAnA-lejA/
air	havA/sAmane_raKa/
alarm	Baya_se/sAvaXAna_kara/KawarA/daranA/alArma/BayaBIwa_ho/Bayapraxa/BayaBIwa/Kaware_kA_saMkewa/
alert	cewAvanI/sacewa_ho_kara/sacewa_kara/sacewa_sWiwI/cewAvani/sawarka/
alien	parAyA/anyaxeSI/
alight	acAnaka_mila_jA/uwara/
align	saMreKiwa_kara/sIXa_meM_ho/padkwi_meM_laga/
alike	samAna/samAna_rUpa_se/
allege	Aropa_lagA/Aropiwa/binA_sabUwa_ke_Aropa_lagA/
allegro	wvariwa_gawi/xruwa/
allow	anumawi_xe/anumawi/xe/lAne_kI_anumawi/cunane_kI_anumawi_xe/
alloy	miSraXAwu/milA/
all	pUrI_waraha_se/saba/pUre/saBI/pUrA/pUrI/Bara/WakAna/pUre_sAla_Bara/pUrNa_rupa_se/sabakuCa/
allude	iSArA_kara/saMkewa_kara/
allure	mohaka/moha_le/luBA/
ally	sahabaxXa/miwra/samabaxXa_kara/
along	sAWa/ke_sAWa_sAWa/ke_kinAre/ke_eka_kone_se_xUsare_kone_waka/Age/Age_baDe/meM/ke_anuxiSa/isa_ke_barAbara_barAbara_ki/usa_ke_barAbara_barAbara_ki/ke_sAwa/ke_pAsa/Age_baDanA/
alpine	yUropa_kA_parvawIya_kRewra/peda_jo_parvawIya_kRewra_meM_pAye_jAwe_hEM/
already	pehale_hI/aBI_se/
also	BI/sAWa_hI/
alternate	ekAnwarawa/bArI-bArI_se_kara/vikalpa/bArI-bArI/
alternatively	isake_baxale_meM/bArI_bArI_se/
alternative	vEkalpika/vikalpa/
altitude	UzcAI/Uzce_sWAna/
alto	jisameM_xUsarA_uccawama_svara_ho/gAyana_meM_UzcA_AlApa/
amanuensis	SruwileKaka/
amaze	AScaryajanaka/acamBiwa/cakiwa_ho/cakiwa_kara/
amazing	AScaryajanaka/axXaBuwa/
ambiguity	sanxigXawA/anekArWawA/
ambition	lAlasA/AkAMkRA/mahawvAkAMkRA/
ambush	GAwa_sWAna/GAwa_lagAkara_AkramaNa_kara/GAwa/GAwa_se_AkramaNa_kara/
amiable	milanasAra/maXura/
amicable	mEwrIpUrNa/sOhArxapUrNa/
amiss	galawa/
amongst	ke_bIca_ke/meM/
among	ke_bIca_meM/meM/enameM_se/
amount	mAwrA/s/le_jA/rakZama/ke_barAbara_ho/
ample	kAPI/badZA/
am	xopahara_se_pahale_kA_samaya/kyA_hUz/hUz/hE/
amuse	vinoxI/KuSa_hue/manoraMjana_kara/
anaemic	xurbala/kamajora/
anchor	lafgara/sahArA/langara_dAla/sahArA_xekara_sWApiwa_kara/paDZa/sancAlaka/sahArA_xe/
anger	kroXa/kroXiwa_kara/kroXiwa_ho/
angle	kAztA_lagAkara_maCalI_pakadZanA/koNa/kAte_se_maCalI_pakadZa/
anguish	manovexanA_se_BarA/mAnasika_vexanA/
angular	koNIya/xurbala/
animal	prANI/paSu/pASavika/
animate	joSapUrNa/jIvana_saMcAra_kara/
announce	GoRaNA_kara/sUcanA_xe/bawA/ke_nAma_bulA/
annoy	pareSAna_kara/pareSAna_ho/
anodyne	avivAxanIya/nIrasa/
anon	ajFAwa_leKaka/jalxI/
anonymity	anAmikawA/gumanAmI/
anorexic	BUKa_na_lagane_kI_bImArI/
another	eka_Ora/Ora/kisI_Ora/xUsarA/eka_xUsare/
answer	uwwaraxAyI_ho/uwwara/uwwara_xe/
anthropoid	mAnavakAra/baMxaro_kA_samUha/
anticipated	pUrvAnumAniwa/apekRiwa/
anticipate	BAvI/pUrvAnumAna_kara/ummIxa_kara/
anticipation	pUrvAnumAna/prawyASA/prawIkRA/ummIxa/
antipathy	xveRa/viroXa/
antique	purAnA/purAnI_cIje/
antiquity	purAvaswu/prAcIna_kAla/
antisocial	samAja/asAmAjika/
an	eka
anxious	uwsuka/cinwiwa/
anybody	koI_BI/koI/kisI/
anyone	koI_BI/koI/prawyeka/kisI/
anything	kuCa_BI/kuCa/bilakula_BI_nahIM/kisI_BI_cIja/bilakula_BI/sabase_jyAxA/
any	kuCa_BI/kuCa/koI/koI_BI/kisI_BI_sWiwi_meM/kisI_BI/hara/
apart	ke_alAvA/pqWaka/
appalled	swamBiwa/cakiwa_hokara/
appall	BayaMkara/vismiwa_kara_xe/
apparently	saMBavawaH/
appeal	AkarRaka_laga/rocaka_laga/yAcanA/AkarRaka/anuroXa_kara/Agraha/
appearance	veSaBURA/veSaBURA_ko_xeKa_kara/WodZe_samaya_ke_liye_upasWiwi_xe/upasWiwi/rUpa/xiKAI_xe/prawIwi/
appear	peSa_ho/prakASiwa_ho/xiKa/A/laga/prawiniXiwva_kara/prakata_ho/bETa/xarSA/xiKAI_xe/SAmila_ho/prawIwa_ho/xiKawI/
applause	vAhavAhI/wAlI_bajA_kara_praSaMsA_kara/
application	upayoga/Avexana-pawra/arjI/lagA/lAgU/prayoga/
applied	Aropiwa/prayukwa/
apply	upayoga_kara/dAlo/pUrI_mehanawa_kara/Avexana_kara/lAgU_ho/lagA/iswemAla_kara/prayoga_kara/lAgU_kara_xe/ko/para/lagAne/lagAkara/lAgU_kara/vyAvahArika/
appointment	niyukwi/niyojiwa_BeMta/niyukwI_kA_praswAva/milane_kA_niSciwa_samaya/
appoint	niSciwa_kara/niyawa/niyukwa_kara/
appreciate	praSaMsA_kara/kaxara/kA_ABArI_ho/mUlyAMkana_kara/sarahanA_kara/
apprentice	apareMtisa/SiRya_bana/
approach	paxXawi/samaJa/saMparka_kara/sulaJA/warIkA/prayAsa/Ane_kI_AvAja/rAswA/pahuzca/Agamana/prAramBa/prayoga_kara_pA/pAsa_A/upAgama/
appropriate	uciwa/anuciwa_rUpa_se_apanA_banA_le/upayukwa/
approval	maMjUrI/anumoxana/
approve	pasaMxa_kara/svIkqwi_xe/pAriwa_kara/
approximate	lagaBaga/samIpa_A/
aptitude	aBikRamawA/ruJAna/
apt	uciwa/upayukwa/
arbitrarily	manamAne_DaMga_se/yAxqcCika_rUpa_se/
arbitrary	manamAnA/aniyamiwa/ekapakRIya/yaWecCa/yAxqcCika/
arch	vakra/meharAba/
area	kRewraPala/BAga/sWAna/kRewra/
argue	warka_praswuwa_kara/sUciwa_kara/sixXa_kara/bahasa_kara/
argument	prawisparXI_warka/xalIla/warka/koNAMka/bahasa/
arise	uxaya_ho/uwpanna_ho/baDZa/uTa/
armchair	anuBavahIna/ArAmakursI/
armour	kavacayukwa/baKwarabanxa/kavacavAlA/kavaca/
arms	bAzha/BujAoM/arm/hAWa/haWiyAra/
arm	lEsa/bAzha/BujA/SAswroM_se_susajwiwa/bAhu/Saswra_yukwa_kara/
around	AsapAsa/meM_iXara_uXara/lagaBaga/ke_cAroM_ora/hara_ora/ke_iXara_uXara/cAroM_ora/pariwaH/ke/
arrangement	aBivinyAsa/samaJOwA/vyavasWA/
arrange	lagAyeM/prabanXa_kara/Ayojiwa_kara/parivarwiwa_kara/vyavasWA_kara/niSciwa_kara/vyavasWiwa_kara/raKa/laga/
arrest	rokanA/KIFca/xila_XadZakanA_ruka_jA/giraPwAra_kara/giraPwArI/
arrive	A_jA/uwwara_mila_jA/A/pExA_ho/pahuzca_jA/pahuzca/mila/hala_kara/
artful	cAlAka/
article	leKa/anucCexa/vaswu/
articulate	judZA_huA/spaRta/vyakwa_kara/
aside	alaga/CodZakara/janAnwika/eka_ora/svagawa_ukwi/
ask	hAlacAla_pUCa/kaha/pUCa/le/ko_AmaMwriwa_kara/mAMga_kara/apane_sAWa_bAhara_jAne_ke_liye_pUCa/mAMga/
asleep	soyA_huA/sowA_huA/
asphalt	dAmara/dAmara_dAla/
aspirant	prArWI/mahawvAkAkRI/
assail	pareSAna/bOCAra_ho/bOCAra_kara/
assault	cadZAI/hamalA/hamalA_kara/
assay	paraKa/paraKa_kara/
assembly	saMyojana/sammelana/
assent	maMjUrI/svIkqwi_xe/svIkqwi_kara/
associate	sambaxXa_kara/milanA/sambaxXa/sahayogI/jodZa/
assort	milAjulA/CAzta/
assume	soca/samaJa/le/prApwa_kara/DoMga_kara/raKa/XAraNa_kara/mAnakara_cala/mAna/
assumption	XAraNA/anumAna/kalpanA/mAnyawA/
astride	pAzva_PElAkara/xono_waraPa/
as	jiwanA_jalaxI/jyoM_hI/Ora/kyoMki/jEsA_ki/uwanA/jiwanA/ki/ke_nAma_se/ke_rUpa_meM/ke_wOra_meM/jaba/jEsA/jEse_hI/iwanI/jEse_jEse/kI_waraha/ke_anusAra/meM/BI/jo/ke_jEsA/
athletic	Kela/hqRta-puRta/
athwart	AdZA/
atomic	paramANvika/paramANu/
attach	jodZa/judZa/lagA/sanlagana_kara/
attack	hamalA/hamalA_kara/AlocanA_kara/
attempt	prayAsa/prayAsa_kara/
attendant	sAWI/paricAraka/
attend	SAmila_ho/XyAna_xe/upasWiwa_ho/
attest	pramANiwa_kara/haswAkRara_kara/
attire	pahanAvA/vaswra_pahana/
attitude	xqRtikoNa/ravEyA/
attractive	AkarRI_bala/AkarRaka/
attribute	guNa/sambanXa_TaharA/pariNAma_bawAyA_jAwA_hE/kAraNa_bawA/Sreya_xe/
at	kI_ora/se/para/meM/ko/suna_kara/baje/bilakula/
a	eka/prawi/eka_EsA/vaha/kisI/
auctioneer	nIlAma_karane_vAlA/nIlAma_mez_beca/
auction	nIlAma_kara/nIlAmI/
audit	leKA_parIkRaNa/leKA_jAzca/
augment	baDZA/baDZa/
augur	BaviRya_bawAne_vAlA/Agama_kaha/
austere	saKwa/kaTina/sAxA/
authentic	asalI/vAswavika/aXipramANiwa/
authoritative	suxqDZa/pramANiwa/AXikArika/
authority	aXikAra/anumawi/viSeRajFa/aXikArI/
author	leKaka/racanA_kara/
automatic	svacAliwa/
auxiliary	sahAyaka/sahakArI/
avail	lABa_uTAnA/lABa_uTA/
average	Osawa/Osawa_nikAla/
avid	uwsuka/aXika/
avoid	tAlA_huA/tAla/
awaken	jAgqwi/jagA_xe/jagA/jAga/
awake	jaga/jagA/jagA_huA/jAgarUka_ho/jAge_hue/
award	xe/puraskqwa_kara/puraskAra/
awareness	jAgarukawA/
away	anupasWiwa/lagAwAra/ubala_kara_gAyaba_ho/xUra_BagA/xUra/xUrasWa/
awesome	gajaba/
awe	vismayapUrNa_Axara/vismayapUrNa_Axara_uwpanna_kara/
awful	burA/
awkwardly	beDage_warIke_se/
awry	gadZabadZa/teDZA/
axe	kulhAdZI/kAta/
axis	akRa/XurI/
azure	AsamAnI/nIlAkASa/
babble	badZabadZAnA/buxabuxA/
baby	anuBavahIna_KilAdZI/SiSu/ke_sAWa_bacce_jEsA_vyavahAra_kara/
bachelor	kuzvArA_puruRa/snAwaka/
backbite	cigalaKorI/pITa_pICe_niMxA_kara/
background	anuBava/vAwAvaraNa/varga/jAnakArI/pArSva/pICe/pqRtaBUmi/
backstage	gupwa/nepaWya/
back	pICe/xAvA_CodZa_xe/vAyaxe_se_mukara_jA/hata_jA/pICe_hata/pITa/vApisa/pICalA/teka_xiyA_huA/kA/pICalA_BAga/pICe_kI_waraPa/pICe_ho/samarWana/vApasa/
backwards	ultA/viparIwa_xiSA/pICe_kI_ora/
backward	pICe_ki_ora/piCade/
badger	bijjU/pICaNa__daPO/
badly	awyanwa/burI_waraha_se/bahuwa_KarAba/
bad	KZarAba/KarAba/Ora_burA/GAwaka/
baffle	parxA/asamaMjasa_meM_dAla/
bag	WElA/WEle_meM_raKa/
bail	jamAnawa_para_rihA_kara/musIbawa_se_nikAla/jZamAnawa/gullI/
bait	cArA_lagA/cArA/pareSAna_kara/
bake	paka/seMkane_kI_kriyA/sezka/
balance	saMwuliwa/saMwulana/pUrwI_ho/wola/aXara/asWira_ho/SeRa_rASI/pareSAna_ho/saMwuliwa_raKa/bakAyA/sAmya/sanwuliwa_kara/sanwulana/warAjZU/saMwulana_raKa/
bald	cikanI_sawaha_vAlA/suspaRta/gaMjA/
baleful	darAvanA/hAnikAraka/
bale	vipawwi_meM_havAIjahAja_se_pErASUta_xvArA_kUxa_jA/gaTarI/CatarI_se_uwara/
ballot	mawa-pawra/mawaxAna/
ball	boYla/geMxa/golAkAra_bana/
balmy	pAgala/suhAvanA/
bandage	pattI/pattI_bAzXa/
band	PIwA/XAriyAz/sazyukwa_ho/bEMda/bAMXa/sImA/
bane	pareSAnI_kA_kAraNa/aBiRApa/samasyA/aBiSApa/
bang	jora_se_mAra/jora_se_patakA/jora_se_takarA/bAwe_karake_pakA/giraPwAra_kara/nukasAna_pahuzcA/cota_pahuzcA/jora_se_KadZaka/bahuwa_SAnxAra_warIke_se/bahuwa_weja_AvAja_ke_sAwa_PatA/XamAkA/weja_AvAja/jora_se_banxa_kara/bilakula_sahI/
banish	nikAla_xe/nirvAsiwa_kara/
bank	kinArA/BarosA_kara/mahAjanI/bEMka/bEMka_mez_rUpayA_raKa/wata/DAlU/kA/
banquet	Bojowsava/Boja/
banter	majZAka_kara/xillagI_kara/hAsya/
ban	prawibaMXa_lagA/avEXa_GoRiwa/prawibaMXa/
barbaric	asaBya/krUra/
barbarous	barbara/asaBya/
barbecue	pikanika/sIfka/
barefaced	KulA/saPexa/
bare	/buniyAxI_waWya/hAWoM/Kola_kara/mUlaBUwa/KAlI/binA/binA_pawwiyoM_kI/vqkRahIna/xiKa/naMgA/nirvaswra_kara/
bargain	prawyASA_kara/lena-xena/mola-BAva_kara/
bark	valkala/BOMka/
barrel	nalI/banxUka_kI_nalI/pIpA/
barricade	roka_lagA/banxa_kara_xe/asWAyI_xIvAra/moracA/moracA_bAzXa/
barter	axalA-baxalI/vaswu-vinimaya_kara/
bar	SalAkAeM_lagI_ho/argalA_se_baMxa_kara/prawibanXiwa_kara/baMxa/tukada/CadZa/ke_alAvA/SarAbaGara/ko_CodZa_kara/roka/
base	AXAriwa/sWApiwa/rahane_kA_sWAna/wala/mUla/wucCa/AXAra/
bashful	namra/lajjASIla/
bash	mAra/kisI_kArya_ko_uwsAha_se_karawe_raha/
basic	mUla/mUlawawwva/AXAraBUwa/
basin	pyAlA/jalakuNda/
basis	AXAraka/AXAra/
bastard	XoKebAjZa/najAyajZa/xogalA/GatiyA/
bath	snAna/Gola/
batten	waKwA/PalanA_PUla/
batter	kRawigraswa/Gola/mAra/
battle	ladZAI/ladZa/
bat	para_prahAra_kara/camagAxadZa/ballA/ballebAjZI_kara/
bayonet	benata/benata_se_vAra_kara/
bay	KaNda/KAdZI/BOMka/
beach	samuxrawata/samuxra_ke_kinAre_para_lA/
beacon	AkASaxIpa/kiraNa/
beam	muskurAhAta/bahuwa_galawa/prasAraNa_kara/kiraNa_puMja/muskurA/daNda/daNdA/prakASa_dAla/puFja/
beard	xADZI/lalakAra/
bearing	sambanXa/pawA/AcaraNa/
bear	baraxASwa_kara/sahana_kara/janma/sahayoga_xe/sambanXa_kara/sAbiwa_kara/sAhasa_raKa/beXana_kara/spaRta_kara/BAlU/XAraNa_kara/
beastly	krUra/bekAra/
beating	XakkA_laga/pitAI/XafaZkana/
beat	harA/wodZa/kRewra/wAla/pIta/bajA/PeMta/PadZaPadZA/bacAva_meM_saPala_ho/mAra/pICe_AGAwa_kara/Xadakana/Xadaka/takarA/Xuna/bahuwa_WakA_huA/
beautiful	acCA/maXura/sunxara/
beaver	kadZI_mehanawa_kara/UxabilAva/
because	isalie_ki/kyoMki/
beckon	iSAre_se_bulA/saMkewa_kara/
become	bana/SoBA_xe/para_acCe_laga/ho/bana_jA/ho_jA/yukwa/
bed	biswara/biTA/
beef	bala_baDZa/SikAyawa_kara/SikAyawa/go_mAMsa/
beep	eka_prakAra_kI_AvAjZa/AvAjZa_kara/
before	se_Upara/se_pahale/ke_sAmane/pahale/usase_pahale_hI/ke_pahele/isase_pahale_ki/ke_pahale/
beggar	BiKArI/kaMgAla_kara_xe/
begin	Suru_ho/SuruAwa_karI/SuruAwa_karane_ke_liye/sabse_pahalI_bAwa/AramBa/Suru_kara/
beg	vinawI_kara/
behaviour	vyavahAra/kA/barwAva/
behind	se_pICe/ke_pICe/ke_awIwa_meM/ruka/pICe_raha/pICe_se/kUlhA/
believe	laga/mAna/viSvAsa_kara/
belittle	apamAna_kara/CotA_samaJa/kama_kara/
belligerent	yuxXakArI/yoxXA/
bellow	XOMkanI/pIdZA_ke_kAraNa_ro/
belly	PUla_uTa/peta/
belongings	sAmAna/
belong	hE/saxasya/raKa/saxasya_ho/samabanXa_raKa/
beloved	priya/
below	ke_nIce/nIce/se_kama/
bending	mudZanA/badZkana/
bend	nIce_Juka/GumAva/mudZa/moda/baxalA/
benefit	lABa_mila/lABakArI/hiwa/lABa/BalA_kara/
benign	sOmya/anukUla/mAmUlI/xayAlu/
bent	teDZA/bafkiwa/JukAva/
berth	laMgaragAha/sIta/jagaha_xe/
beseech	hAWa_jodZanA/anunaya_karanA/anunayapUrNa/
besides	sAWa_hI/ke_alAvA/ke_awirikwa/
beside	ke_Age/ke_pAsa/
best	sabase_acCe_warIke_se/sabase_acCe/parAswA_ho/parAswA_kara/sarvowwama/sabase_acCA/sabase_jyAxA/sabase_acCI_waraha_se/
betray	viSvAsaGAwa_kara/XoKA_xe/
better	TIka_ho/TIka_nahIM_ho/jyAxA_acCe_se/Ora_jyAxA/jyAxA/behawara_warIke_se/behawara/Ora_yogya_vyakwi/behawara_banA/
bet	Sarwa/Sarwa_lagA/se/kI/xAzva_lagA/
between	meM_se/ke_bIca_kI/ke_bIca/
be	ho/hE/hEM/WA/kyA_hE/kyA_WA/jIva/howA/ke_pICe_raha/GaniRTa_ho/raha/cAhe_ho/howA_hE/ho_jA/
beyond	samaJa_ke_pAra/usake_Age/ke_alAvA/ke_bAxa/ke_bAhara/Age/ke_Age/ke_pAra/paraloka/
bias	pakRapAwa/pakRapAwapUrNa/pUrvAgrahoM/pakRapAwI/
bicker	JagadZA/JagadZA_kara/
bicycle	sAikila_para_GUma/sAikila_para_jA/sAikila_para_BijavA/
bid	bolI/bolI_lagA/nivixA_peSa_kara/prayAsa_kara/prApwa_karane_kA_prayAsa/koSiSa/xe/nIlAma_kI_bolI/kaha/
big	badA/badZA/
bike	bAika_para_GumA/
billion	araba/abjoM/
bill	bila/nota/kA/viXeyaka/kAryakrama/leKA_pawra/coMca/GoRiwa_kara/bila_Beja/bila_wEyAra_kara/
bind	AvaSyaka/jilxa/bAzXa/
biochemically	jEva_rAsAyaNika_xqRti_se/
biological	sagA/jEvika/
bitch	burAI_kara/
bite	AkroSa_jawAnA/pI_le/daMka/asaPala_ho/asara_xiKA/Tandaka/cuBawA_huA/xAzwa_se_kAta/kAta_le/kAta/kAtane/ke/kOra/
bitterly	burI_waraha_se/
bitter	katu/xuKI_Ora_kroXiwa/bahuwa_aXika/barPIlI/bahuwa_TandA/burA/kadavA/
bit	tukade_tukade_hokara/kAma/sArA_sAmAna/bahuwa_aXika_xuKI/CotA_aMSa/WoDA_sA/WodA/chAti/tukadZA/bita/
blacken	kAlA_ho/KarAba_kara/syAhIr/kAlA_kara/
blackmail	blEkamela/blEkamela_kara/
black	anXakAramaya/uxAsa/aMXakAramaya_kara/kAlI_raMgI/acewa_ho_jA/bahiRkAra_kara/blEka_hola/vyafgapUrNa/xUXarahiwa/aSuBa/kAlA/kAlA_kara/kroXiwa/
blade	pawwI/bleda/
blame	jimmexArI/xoRI_TaharA/xoRa/xoRa_lagA/
blanch	PIkA_padZA/PIkA_padZa/
bland	besvAxa/nIrasa/
blanket	sampUrNa/parawa/sAmUhika/kambala/
blank	KAlI_kArawUsa/xqRyahIna_ho/BavaSUnya/BavahIna/pUrI_waraha_se/vicAraSUnya/pUrI_waraha_se_CipA_xe/pUrI_waraha_se_BulA_xe/KAlI/rikwa_sWAna/
