#iitb entries	iitb
3rd	wIsarA
enthusiastically	uwsAha_se
entire	samaswa
entirely	pUrNawaH
entity	ikAI
entrepreneur	eMtaraprenara/uxyamI
entrepreneurial	uxyama
entrepreneurs	eMtaraprenarsa/uxyamI/uxyamiya
entrepreneurship	eMtaraprenarSipa/uxyamiwA
environment	mAhOla
environmental	paryAvaraNa
equal	barAbara
equally	samAnawA_se/samAna_rUpa
equipment	upaskara
equitable	nyoyociwa
errors	wruti
escorts	eskorta
esdp	IesadIpI
especially	viSeRa/KAsawOra_para/viSeRakara
establish	prApwa_kara
etc.	iwyAxi
eternal	sanAwana
etiquette	etiketa
even	wo_BI/waba_BI
every	hareka
everyday	xEnika
everyone	prawyeka
evidencing	sAkRyaga
evident	arWapUrNa
evil-minded	xurbuxXi
exact	satIka
examine	jAFca
excavation	ekskeveSana
excellent	SAnaxAra/uwkqoRtu
exceptional	axviwIya
excess	bahuwAyawa/yaWA
excessive	awyaXika
exchange	viniyama
exclusive	viSeRa
executive	kAryakArI
executives	aXikArI
exfoliation	eksaPolieSana
exile	nirvAsiwa_kara
existing	mOjUxA
expansion	viswAxara
expensive	mahafgI
experimental	prayogAwmaka
expertly	kOSala_se
explicitly	spaRta_rUpa_se
exploration	anveRaNa
external	bAhaya
extinguisher	agniSAmaka
factor	PEktara
failed	asaPala_raha
fall	kamI
fame	yaSa
fantastically	AScaryajanaka_rUpa
farmer	kqRaka
farmers	kqRaka
fast	PAsta
faster	wejI_se
fat	vasA
fathers-in-law	sasura
favour	kqpA_kara
favoured	manapasanxa
favourite	pasanxIxA
fear	Baya_ho
feedstock	PIdastAka
feel	mahasUsa_ho
fertilisers	urvaraka
fertilizers	urvaraka
fifth	pAFcavAM
fig.	PIga/Pigara
fight	yuxXa_kara
filtration	PiltreSana
financial	viwwa
financing	viwwapoRaka
fingers	ufgaliyAM
first	pahalI
firstly	sabase_pahale
fish	maCaliyAM
fishes	maCaliyAM
fit	Pita
five	pAFca
five-step	PAiva-stepa
fix	sWira_raha
flag	XvajA
flanges	PlEnjesa
flat	PlEta
floater	Plotara
floating	PlotiMga
flower	puRpa
fluently	XArApravAha
fluid	PlUida
fly	PlAI
focus	XyAna
following	nimnaliKiwa
fondly	pyAra_se
font	PoYnta
for	PoYra
forecast	BaviRyavANI_kara
forest	jIvajanwu
forests	jIva-janwu
form	PoYrma/sUwra
formal	PoYrmala
formally	OpacArika
format	PoYrmEta
formed	rUpa_le/nirmiwa
formula	PoYrmUlA
fortis	Portisa
forty-eight	adawAlIsa
forward	Age_kI_waraPa
fossilization	PoYsilAijeSana
fought	ladAI_lada
framework	Premavarka
fraud	XoKAXadI
free	niHSulka
frequently	bAra-bAra/akasara
friendly	miwrawApUrNa/xoswAnA/paryAvaraNa-miwra
friendship	miwrawA
frost	olA
fuel	wela
fugitive	Pyujitiva
full	Pula
fully	PullI
functioning	kAryacAlana/kAmakAja
functions	nirvahana
fundamental	mOlika
funds	niXiyAM/qNa
fur	samUra
gardening	bAgavAnI
gasoline	gesolAina
generally	sAmAnyawayA/Ama_wOra_para/samAnyawaH/sAmAnyaEwayA
generated	sqjiwa
generating	uwpAxana/sqjana
generation	janareSana/sqjana/uwpAsaxana
geologist	BU-vijFAnI
gestures	iSArA/hAva-BAva
get	karavAeMH
girl	bAlikA
global	viSva/vESvika
globalisation	vESvIkaraNa/nijI
goals	lakRyA
going	jAna
good	acCI/baDiyA
goods	vaswuraa
govern	niyanwriwa
governance	gavarneMsa
governed	SAsiwa
grading	grediMga
gradually	XIre-XIre
grandfather	piwAmaha
grandson	powa
granduncle	piwAmaha
graphically	grAPika_rUpa_se
graphics	ciwraleKa
greater	aXikAXika/badI
greenish	harA
grief	Soka
grinding	pisAI
gross	groYsa
grouping	samUhana
grow-out	gro-Auta
guarantee	gAraNtI
guide	meMtara
guideline	xiSAnirxeSa
gujarat	gujarAwa
guru	gurU
gurudev	guruxeva
hair	roMgatA
hairpin	heyarapina
hand	hEMda
handbag	hEMdabEga
handle	samBAla
handling	hEMdaliMga
handrail	hEMdralsa
happily	KuSI_se/prasannawApUrvaka
har	hara
harder	aXika
hardworking	mehanawI
harvesting	pExAvAra
hastings	hestiMgsa
hate	naParawa_kara
heart	kama
hello	hElo
helplessly	asahAya
hemoglobin	hemoglobina
hence	isIlie
henry	henarI
her	apanI
herbal	harbala/jadI-bUtA
herbs	jadI-bUtA
here	yahAz_para/yahAM
hereditary	AnuvAMSika
hero	yuxXavIra
heroic	vIra
herzberg	harjabarga
high	sarvAXika
high-value	ucca-mUlya
higher	hAyara/uccawara
highlight	cinhAfkiwa
hilly	pahAdI
hindustan	hiMxuswAna
hired	niyukwa_kara/kAma_para_raKa
his	apanA/apanI
holders	KAwAXAraka
holistically	samagra_rUpa_se
hollywood	hoYlIvuda
home	nivAsa
homeland	mAwqBUmi
honestly	ImAnaxArI
honor	gOravAnviwa
honored	sammAniwa_kara
honourable	pUjanIya
hope	ASA_ho
house	hAusa
however	hAlAfki/lekina/yaxyapi/kiMwu
huge	BArI/kAPI
humble	vinamra/aBimAna-rahiwa
humidity	ArxrawA
hunch	Juka
hunting	SikAra_kara
hurriedly	jalxI
husbandry	pAlana
hydel	pana
hyderabad	hExarAbAxa
hydrate	hAidreta
hydrogenated	hAidrojaniwa
i.e.	arWAwa
iaf	vAyusenA
id	AIdI
idea-generation	vicAra-uwpAxana
ideas	AidiyA
identical	aBinna
identified	jAnA_jA
ignorant	ajFAnI
image	imeja
images	CaviyAM
imitating	imitetiMga
immeasurable	aparimeya
immediate	wawkAla
impact	asara
impartially	niRpakRa_rUpa_se
impetus	preraka
implementation	kriyAnvayana
important	mahawwva/pramuKa/jarUrI
improve	suXAra_kara
improved	behawara
improves	behawara_bana
in-depth	gahana
in-service	sevAkAlIna
inamgaon	inAmagAMva
incentive	iMseMtiva/prowsAhana
incentives	prowsAhana
income	Ayakara
income-tax	Ayakara
incoming	Avaka
incompetent	akRama
incremental	vqxXiSIla
incurable	lAilAja
independent	svAwanwra
indian	iMdiyana
indica	iMxikA
indicate	safkewa_xe/iMgiwa_kara
indicated	safkewa_xe
indira	iMxirA
indirectly	aprawyakRa_rUpa_meM
individual	akelA
individually	vyakwigawa_wOra_para
individuals	vyaRtiyAM
induce	preriwa
industrial	BArawIya/raKa
industrialized	Oxyogika
industries	Oxyogika/uxyoga
industry	Oxyogika
ineligible	asvIkqwa
infallible	acyuwa
influenced	praBAviwa
inform	bawA_xe
information	iMPoYrmeSana
informational	sUcanApraxa
infrastructural	saMsWAgawa
infrastructure	avasaMracanA/buniyAxI/suviXA
inhale	sAMsa_le
inherit	uwwarAXikAra
inheritance	vaMSagawa
initial	AramBika
injunction	niReXAxeSa
innovation	navAcAra
innovative	axaBuwa
innumerable	anaginawa
inputs	inaputa
inseparable	avicCexa
instance	uxAharaNArWa
instinctively	svaBAvawaH
institutes	saMsWAna
instrumental	nirNAyaka
instruments	liKawa
insult	apamAniwa_kara
insured	bImiwa
intact	sAbuwa
integrated	samanvikawa/samekiwa/ekIkqwa
intellect	buxXimawwA
intentionally	intenSanalI
inter-connectivity	anwara-samparka
inter-operability	anwaHkRamawA
inter-personality	anwara-vyakwiwva
interactive	iMtaraektiva
interdependent	paraspara_sambanXiwa
interest	rucikara
interface	iNtaraPesa
interior	iMtIriyara
internally	Anwarika
international	anwararARtrIya/vixeSI
intuitive	sahajAnuBUwa
invest	niveSa
invested	niveSiwa
investigation	jAFca
irritability	KIJa
issue	nirgama
issued	nirgamiwa
italic	itElika
item	cIja
iterative	punarAvqwwi
its	apanI
jammu	jammU
join	joda_xe
joyful	AnanxAyaka
jubilee	jublI
just	basa/sirPa
kerala	kerala
key	cABI/muKyo
kill	vaXa_kara
kind	prakAra
kindness	xayA
kinesthetic	kAinesWetika
kinsman	svajana
knowingly	jAnabUJakara
label	lebala
labelling	lebaliMga
labels	lebala
labor	Srama
lady	swrI
lamentation	Soka
landmark	lEMdamArka
large-term	laGukAlika
largely	aXiwakara/kAPI_haxa_waka
larval	lArvala
last	piCalI
lata	lawA
later	agale
latest	navInawama
launched	SurU_kara
laundry	loYndrI
lawful	yaxi
leading	agraNI
leads	praxAna_kara
leaflets	lIPaleta
learn	aXyayana_kara
learner's	larnarsa
learning	larniMga
least	alpawama
leaves	pawwA
legally	kAnUnI
legend	kiMvaxanwI
legislative	viXAyI/kAnUna
legitimate	nyAyociwa
legitimately	vEXa_rUpa_se
lesser	kama
letterhead	letaraheda
liability	xAvexArI
liberalized	uxAra
licensed	lAiseMsaprApwa
life	prANa
lifers	lAiParsa
lifting	liMPtiMga
ligament	asWi-rajjU
light	ilke
likely	samBAvanA
limited	limiteda
lines	pafkwiyAM
linguist	BARAvijFAnI
linguistic	BARAgawa
link	sambaXa
linked	juda/liMka
listed	sUcIbaxXa
listing	sUcIyana
live	sajIva
liveliness	jIvanwawA
living	jIvana
located	sWiwa
logistics	loYjistika
long-range	xIrGa-kAla
lord	BagavAna/loYrda
lose	Ko_bETa/kama_kara
losses	hAniyAM
lot	bahuwa
loudly	svara_se
lovely	pyArI
low-fat	vasA-yukwa
lower	nicalI
loyalty	vaPAxArI
luck	kismawa
luxuriously	vilAsiwApUrNa
macroeconomic	samaRti_arWaSAswrIya
macroeconomics	samaRti_arWaSAswra
maharana	mahArANA
mahendrapala-i	maheMxrapAla-praWama
mail	mela
mainly	muKyawaH
maintenance	raKaraKAva
make	meka
mama	mama
manage	prabanXana
management	mEnejameMta
manager	mEEnejara
managing	mEnejiMga
mandalay	maNdale
mandatory	mEndetrI
manners	mEnarsa
manual	mEnuala
manufacturers	vinirmAwA
manufacturing	vinirmANa
many	anekAneka
marginal	sImAnwIya
mark	afkiwa
marked	jabaraxaswa
marketing	mArkatiMga
maslow	mAslo
maslow's	mAslo
master	guru
materials	sAmagriyo
mean	arWa
means	mawalaba
meanwhile	isa_xOrAna
mechanical	mekenikala
mechanism	praNAlI/wanwra
medical	cikiwsakIya/ORaXIya/medikala
medicinal	xavAI
meditation	mediteSana
medium	mIdiyama/maXyama
medium-term	maXyama-avaXi/maXyAvaXika
meet	mulAkAwa_kara
megalithic	mahApARANakAlIna
member	sWApanA
membership	saxasya
mention	bawA/kaha_kara
mentioned	ulliKiwa
mentoring	meMtariMga
mercantile	vyApArika
merchandise	vANijyika
messaging	mesejiMga/sanxeSa
method	niyama
methods	praviXiyAM
microeconomics	vyaRti_arWaSAswra
mid-level	maXya-swara
mighty	parAkramI
mild	mqxu
millennial	mileniyala
mind	mAiMda
mindset	mAnasikawA
minimum	nyUnawama
minor	CotI
miscreant	xurAcArI
misrepresentation	bayAnI
mistake	galawa
mix	miSra
mobile	mobAila
modest	mAmUlI
modifications	parivarwana
modified	rUpAnwariwa
moisturizer	moYiscarAijara
money	rakama/rASi/rupae
monitor	nigarAnI
monitoring	moYnitariMga_kara/nigarAnI
monitors	nigarAnI
monocled	monokalda
monotonous	monotoYnasa
moroccan	morakko
mortgage	rehana
most	awyanwa/aXikawara
mostly	aXikAMSawaH
motivating	preraNAwmaka
mountain	parvawI
mountaineering	parvawArohaNa
move	gawimAna
movement	mUvamenta
mozambique	mojAmbika
mr.	SrI
multi	maltI
multi-country	bahu-xeSIya
multi-disciplinary	maltIdisiplinarI
multi-institutional	bahu-saMsWAgawa
multi-lines	maltI-lAina
multi-location	bahu-sWAna
multi-media	bahu-mAXyama/maltI-mIdiyA
multilingual	bahuBARAyI
multiplicity	guNAwmasakawA
municipal	nagarapAlikA
murud-janjira	muruxa-jaFjIrA
muscular	mAMsala
mushroom	maSarUma
musicians	safgIwajFa
mutation	uwparivarwana
mutations	myUteSana
nada	nAxa
nairobi	nErobI
namely	arWAw/nAmaka/arWAwa
national	neSanala/rARtraswarIya
native	sWAnIya
naturally	svABAvika_rUpa_se
nearby	pAsa
nearly	karIba
necessarily	jarUrI
neck	garxana
needed	AvaSyaka
negative	nakArAwmakawA
negotiation	bAwacIwa
neon	niyona
network	netavarka
networking	netavarkiMga
networks	netavarka
neutral	nyUtrala
nevertheless	iwane_para_BI
new	nae
newer	navInawara
newly-appointed	navaniyukwa
newsletters	nyUjaletarsa
next	agalI
nike's	nAikI
no.	safKyA
nodal	nodala
non-financial	gEra-viwwIya
non-loanee	gEra-qNI
non-metric	gEra-mEtrika
non-motivational	gEra-preraka
non-permanent	gEra-sWAyI
non-sustainable	gEra-tikAU
non-verbal	gEra-mOKika
nor	na_wo
normally	sAmAnya_rUpa_se/sAmAnyawayA/sAXAraNawaH
norms	mAnaka
northeastern	pUrvowwara
not	na_ki
notes	notsa/pawra
notified	aXisUciwa
noting	nota_kara
now	aba_se
now-a-days	Ajakala
nowadays	Ajakala
nullity	amAnya
numerous	kaI
obey	Axara_kara
obligation	kAnUna
octagonal	aRtakoNIya
offer	arpiwa/peSakaSa
offered	praxawwa
one-on-one	eka-eka
only	ekamAwra
openly	spaRta_rUpa_se
operational	paricAlanAwmaka
or	Ora/yA_Pira/evaM
order	niyama
orderly	vyavasWiwa
organic	jEvika
organise	vyavasWiwa_kara
organizational	safgaTanAwmaka
oriental	oYrieMtala
oriented	aBimuKI
orissa	udIsA
outage	Auteja
outdated	purAnI
outings	AutiMga
outsourcing	AutasorsiMga
overall	sarvAfgINa/pUrI
overdraft	ovaradrAPta
overly	awyaXika
overseas	saFcAlana
overview	avalokana
owned	svAmiwva
owner	svAmI
owners	svAmI
p	pI
packaging	pEkejiMga
page	pqRta
painful	xarxa
palm	pAma
pants	pEMta
para-military	arXa-sEnika
parallel	samAnwara
parameters	mAnaxaNda
parametric	pErAmItrika
paramount	sarvoparI
parapsychology	pErAsAyakAlAjI
parents	mAwA-piwA
part	kuCa
part-time	pArta-tAIma
participating	BAgIxAra
participatory	prawiBAgiwA
particularly	viSeRakara/KAsakara
parties	pakRa/pakRakAra
party	pakRa/pakRakAra
pass	bIwa/bIwa_cuka/niXana_ho_jA
passenger	savArI
passengers	savArI
passion	junUna
passport	posaporta
past	piCalI/pAsta
patent	peteMta
patents	peteMta
pawanmuktasana	pavanamukwAsana
pawnee	aXigrAhI
peculiar	vilakRaNa
peer	sAWI
pelvic	SroNi
percentage	PIsaxI/prawiSawa
perennial	niwya
perfect	uwwama
performance	parPoYrmensa/niRpAxana
performance-evaluation	praxarSana-mUlyAfkana
performer	nirvAhaka
perfume	suganXa
peril	joKima
period	kAlaH
periodic	AvaXika
periodically	samaya-samaya_para
permanent	sWAI
permissible	anumawa/svIkArya
permission	anumawi
permitted	anumawa
perquisites	anulabXiyAM
person	loga/iMsAna
personalized	parsanalAijda
personally	sAkRAw
persons	arWAw
pharmaceuticals	PArmAsyUtikalsa
phase	Peja
