#Structure_of_the_file:
#English-compound-word	Hindi-meaning	Hindi-paxasUwra	category	Head_position	Root/Word-meaning(meaning-type)
,_in_short_,	saMkRipwa_meM#saMkRipwa_meM#noun#4#RM
Alphanumeric_field	akRaraMAkIya_kRewra#akRaraMAkIya_kRewra#noun#2#RM
Alphanumeric_instruction	akRarAMkIya_anuxeSa#akRarAMkIya_anuxeSa#noun#2#RM
Alphanumeric_keyboard	akRarAMkIya_kuMjI_patala#akRarAMkIya_kuMjI_patala#noun#2#RM
Alphanumeric_sort	akRarAMkIya_CatAI#akRarAMkIya_CatAI#noun#2#RM
Alphanumeric_storage	akRarAMkIya_BaMdAraNa#akRarAMkIya_BaMdAraNa#noun#2#RM
Alt_hierarchy	Alta_paxAnukrama#Alta_paxAnukrama#noun#2#RM
Alt_key	Alta_kuMjI#Alta_kuMjI#noun#2#RM
Alter_mode	parivarwana_viXA#parivarwana_viXA#noun#2#RM
An_introduction_to_data_structured_with_application	AMkadZA_saMcariwa_buxvi#AMkadZA_saMcariwa_buxvi#noun#7#RM
Analog_integration	anurUpa_samAkalana#anurUpa_samAkalana#noun#2#RM
Analog_line_monitor	anurUpa_lAina_moYnitara#anurUpa_lAina_moYnitara#noun#3#RM
Analog_modem	anurUpa_moYdema#anurUpa_moYdema#noun#2#RM
Analog_monitor	anurUpa_moYnitara#anurUpa_moYnitara#noun#2#RM
Analog_multiplier	anurUpa_guNaka#anurUpa_guNaka#noun#2#RM
Analog_programming	anurUpa_kramAxeSana#anurUpa_kramAxeSana#noun#2#RM
Analog_scaling	anurUpa_mApana#anurUpa_mApana#noun#2#RM
Analog_signal	anurUpa_saMkewa#anurUpa_saMkewa#noun#2#RM
Analog_simulation	anurUpa_anukaraNa#anurUpa_anukaraNa#noun#2#RM
Analog_switch	anurUpa_svica#anurUpa_svica#noun#2#RM
Analog_system	anurUpa_waMwra#anurUpa_waMwra#noun#2#RM
Analog_to_digital_converter	anurUpa_se_aMkIya_rUpAMnwaraka#anurUpa_se_aMkIya_rUpAMnwaraka#noun#4#RM
Analog_to_digital_encoder	anurUpa_aMkIya_kUta_leKana#anurUpa_aMkIya_kUta_leKana#noun#4#RM
Analog_transmission	anurUpa_saMcaraNa#anurUpa_saMcaraNa#noun#2#RM
Analog_type	anurUpa_prakAra#anurUpa_prakAra#noun#2#RM
Analytic_specification	viSleRaNAwmaka_viSeRIkaraNa#viSleRaNAwmaka_viSeRIkaraNa#noun#2#RM
Anchor_record	laMgara#laMgara#UNDEFINED#1#RM
Answer_lamp	uwwara_xIpa#uwwara_xIpa#noun#2#RM
Answer_list	uwwara_sUcI#uwwara_sUcI#noun#2#RM
Answer_mode	uwwara_viXA#uwwara_viXA#noun#2#RM
Answer_only	uwwalAwra#uwwalAwra#noun#2#RM
Answer_originate	uwwara_uxBava#uwwara_uxBava#noun#2#RM
April_fool	pahalI_aprEla_ko_banAyA_gayA_mUrKa#pahalI_aprEla_ko_banAyA_gayA_mUrKa#noun#2#RM
April_fool's_jokes	aprEla_PUlsa_joka#aprEla_PUlsa_joka#noun#3#RM
Are_you_on_the_net	kyA_Apa_neta_para_hEM#kyA_Apa_neta_para_hEM#noun#5#RM
Areca_catechu	sAmAnya_babUla#sAmAnya_babUla#noun#2#RM
Arithmetic_IF_statement	aMkagaNiwIya_iPa_kaWana#aMkagaNiwIya_iPa_kaWana#noun#3#RM
Arithmetic_and_logic_unit	aMkagaNiwIya_evaM_warka_ekaka#aMkagaNiwIya_evaM_warka_ekaka#noun#4#RM
Arithmetic_check	aMkagaNiwIya_jAMEYca#aMkagaNiwIya_jAMEYca#noun#2#RM
Arithmetic_constant	aMkagaNiwIya_acara#aMkagaNiwIya_acara#noun#2#RM
Arithmetic_conversion	aMkagaNiwIya_rUpAMwara#aMkagaNiwIya_rUpAMwara#noun#2#RM
Arithmetic_data	aMkagaNiwIya_aMAkadZA#aMkagaNiwIya_aMAkadZA#noun#2#RM
Arithmetic_exception	aMkagaNiwIya_apavAxa#aMkagaNiwIya_apavAxa#noun#2#RM
Arithmetic_expression	aMkagaNiwIya_vyaMjaka#aMkagaNiwIya_vyaMjaka#noun#2#RM
Arithmetic_fixed_point	aMkagaNiwIya_niyawa_binxu#aMkagaNiwIya_niyawa_binxu#noun#3#RM
Arithmetic_hierarchy	aMkagaNiwIya_paxAnukrama#aMkagaNiwIya_paxAnukrama#noun#2#RM
Arithmetic_logic	aMkagaNiwIya_warka#aMkagaNiwIya_warka#noun#2#RM
Arithmetic_operation	aMkagaNiwIya_saMkriyA#aMkagaNiwIya_saMkriyA#noun#2#RM
Arithmetic_operator	aMkagaNiwIya_saMkAraka#aMkagaNiwIya_saMkAraka#noun#2#RM
Arithmetic_overflow	aMkagaNiwIya_aXipravAha#aMkagaNiwIya_aXipravAha#noun#2#RM
Arithmetic_picture_data	aMkagaNiwIya_ciwra_aMAkadZA#aMkagaNiwIya_ciwra_aMAkadZA#noun#3#RM
Arithmetic_precedence	aMkagaNiwIya_pUrvavarwiwA#aMkagaNiwIya_pUrvavarwiwA#noun#2#RM
Arithmetic_primary_element	aMkagaNiwIya_prAWamika_avayava#aMkagaNiwIya_prAWamika_avayava#noun#3#RM
Arithmetic_register	aMkagaNiwIya_paMjI#aMkagaNiwIya_paMjI#noun#2#RM
Arithmetic_relation	aMkagaNiwIya_saMbaMXa#aMkagaNiwIya_saMbaMXa#noun#2#RM
Arithmetic_scan	aMkagaNiwIya_kramavIkRaNa#aMkagaNiwIya_kramavIkRaNa#noun#2#RM
Arithmetic_section	aMkIya_anuBAga#aMkIya_anuBAga#noun#2#RM
Arithmetic_shift	aMkagaNiwIya_visWApana#aMkagaNiwIya_visWApana#noun#2#RM
Arithmetic_shifting	aMkagaNiwIya_visWApana#aMkagaNiwIya_visWApana#noun#2#RM
Arithmetic_statement	aMkagaNiwIya_kaWana#aMkagaNiwIya_kaWana#noun#2#RM
Arithmetic_term	aMkagaNiwIya_paxa#aMkagaNiwIya_paxa#noun#2#RM
Arithmetic_underflow	aMkagaNiwIya_axyopravAha#aMkagaNiwIya_axyopravAha#noun#2#RM
Arithmetic_unit	aMkIya_ekaka#aMkIya_ekaka#noun#2#RM
Assemble_duration	kodAMwaraNa_avaXi#kodAMwaraNa_avaXi#noun#2#RM
Assembly_Language	smarAMwaraNa_BARA#smarAMwaraNa_BARA#noun#2#RM
Assembly_language_programming	kodAMwaraNa_BARA_progrAmana#kodAMwaraNa_BARA_progrAmana#noun#3#RM
Assembly_language_software_flexibility	kodAMwaraNa_BARA_soYPZtaveyara_namyawA#kodAMwaraNa_BARA_soYPZtaveyara_namyawA#noun#4#RM
At-least-once_semantics	nyUnawama_eka_bAra_simeMtika#nyUnawama_eka_bAra_simeMtika#noun#2#RM
At-most-once_semantics	aXikawama_eka_bAra_simeMtikI#aXikawama_eka_bAra_simeMtikI#noun#2#RM
Attached_document	saMlagna_praleKa#saMlagna_praleKa#noun#2#RM
Audio_telecommunication_line	Sravya_xUrasaMcAra_lAina#Sravya_xUrasaMcAra_lAina#noun#3#RM
Audio_terminal	Sravya_tarminala#Sravya_tarminala#noun#2#RM
Audio_trail	Sravya_sawyApana#Sravya_sawyApana#noun#2#RM
Authorised_Dealer	prAXikqwa_vyApArI#prAXikqwa_vyApArI#noun#2#RM
Auto-dial_mode	svawaH_dAyala_viXA#svawaH_dAyala_viXA#noun#2#RM
Auto_-answer_modem	svawaH_uwwara_moYdema#svawaH_uwwara_moYdema#noun#3#RM
Auto_index	svawaH_sUcakAMka#svawaH_sUcakAMka#noun#2#RM
Auto_indexed	svawaH_sUcakiwa#svawaH_sUcakiwa#noun#2#RM
Auto_logon	svawaH_loYgoYna#svawaH_loYgoYna#UNDEFINED#1#RM
Auto_sizing	svawaH_AmApana#svawaH_AmApana#noun#2#RM
Auto_start_routine	svawaH_cAliwa_nemakA#svawaH_cAliwa_nemakA#noun#3#RM
Automate_type	svacala_prarUpa#svacala_prarUpa#noun#2#RM
Automatic_answering_machine	svawaH_uwwara_maSIna#svawaH_uwwara_maSIna#noun#3#RM
Automatic_backup	svawaH_bEkaCaapa#svawaH_bEkaCaapa#noun#2#RM
Automatic_call_distributor	svawaH_AhvAna_viwaraka#svawaH_AhvAna_viwaraka#noun#3#RM
Automatic_calling	svawaH_AhvAna#svawaH_AhvAna#noun#2#RM
Automatic_check	svawaH_joYMca#svawaH_joYMca#noun#2#RM
Automatic_coding	svawaH_kodana#svawaH_kodana#noun#2#RM
Automatic_computing	svawaH_aBikalana#svawaH_aBikalana#noun#2#RM
Automatic_constant	svawaH_acara#svawaH_acara#noun#2#RM
Automatic_control_engineering	svawaH_niyaMwraNa_iMjIniyarI#svawaH_niyaMwraNa_iMjIniyarI#noun#3#RM
Automatic_data_processing	svawaH_AMkadA_prakramaNa#svawaH_AMkadA_prakramaNa#noun#3#RM
Automatic_data_processing_system	svawaH_AMkadZA_prakramaNa_waMwra#svawaH_AMkadZA_prakramaNa_waMwra#noun#4#RM
Automatic_decimal_alignment	svawaH_xaSamalava_sareKaNa#svawaH_xaSamalava_sareKaNa#noun#3#RM
Automatic_dialing_unit	svawaH_dAyalana_ekaka#svawaH_dAyalana_ekaka#noun#3#RM
Automatic_dictionary	svawaH_raciwa_koSa#svawaH_raciwa_koSa#noun#2#RM
Automatic_emulation_switching	svawaH_samAnukaraNa_svIcana#svawaH_samAnukaraNa_svIcana#noun#3#RM
Automatic_equalization	svawaH__wulyIkaraNa#svawaH__wulyIkaraNa#noun#2#RM
Automatic_error_correction	svawaH_wruti_saMSoXana#svawaH_wruti_saMSoXana#noun#3#RM
Automatic_feed_punch	svawaH_BaraNa_paMca#svawaH_BaraNa_paMca#UNDEFINED#1#RM
Automatic_font_down_loading	svawaH_PoYta_AvaBAraNa#svawaH_PoYta_AvaBAraNa#noun#4#RM
Automatic_function	svawaH_Palana#svawaH_Palana#noun#2#RM
Automatic_gain_control	svawaH_labXi_niyaMwraNa#svawaH_labXi_niyaMwraNa#noun#3#RM
Automatic_head_parking	svawaH_SIrRa#svawaH_SIrRa#UNDEFINED#1#RM
Automatic_hyphenation	svawaH_netavarka_svican#svawaH_netavarka_svican#noun#2#RM
Automatic_indexing	svawaH_sUcakIkaraNa#svawaH_sUcakIkaraNa#noun#2#RM
Automatic_library_call	svawaH_saMgraha_AhvAna#svawaH_saMgraha_AhvAna#noun#3#RM
Automatic_message_accounting	svawaH_saMxeSa_leKAMkana#svawaH_saMxeSa_leKAMkana#noun#3#RM
Automatic_message_routing	svawaH_saMxeSa_anumArgaNa#svawaH_saMxeSa_anumArgaNa#noun#3#RM
Automatic_mode_switching	svawaH_viXA_svicana#svawaH_viXA_svicana#noun#3#RM
Automatic_network_switching	svawaH_netavarka_svicana#svawaH_netavarka_svicana#noun#3#RM
Automatic_number_identification	svawaH_saMKyA_aBijFAna#svawaH_saMKyA_aBijFAna#noun#3#RM
Automatic_pagination	svawaH_pqRTana#svawaH_pqRTana#noun#2#RM
Automatic_priority_grouping	svawaHpqRtana_svawaH_varIyawA_samUhana#svawaHpqRtana_svawaH_varIyawA_samUhana#noun#3#RM
Automatic_punch	svawaH_CixraNa#svawaH_CixraNa#noun#2#RM
Automatic_recalculation	svawaH_punaH_kalana#svawaH_punaH_kalana#noun#2#RM
Automatic_repeat_request	svawaH_punarAvarwana_nivexana#svawaH_punarAvarwana_nivexana#noun#3#RM
Automatic_revision_tracking	svawaH_punaH_anupaWana#svawaH_punaH_anupaWana#noun#3#RM
Automatic_routine	svawaH_nemakA#svawaH_nemakA#noun#2#RM
Automatic_sequencing	svawaH_anukramaNa#svawaH_anukramaNa#noun#2#RM
Automatic_sequential_operation	svawaH_anukramI_saMkriyA#svawaH_anukramI_saMkriyA#noun#3#RM
Automatic_server_recovery	svawaH_parisevaka#svawaH_parisevaka#noun#3#RM
Automatic_speed_sensing	svawaH_cAla_saMvexana#svawaH_cAla_saMvexana#noun#3#RM
Automatic_stop	svawaH_virAma#svawaH_virAma#noun#2#RM
Automatic_variable	svacara#svacara#noun#2#RM
Automatic_volume_recognition	svawaH_prabalawA_aBijFAna#svawaH_prabalawA_aBijFAna#noun#3#RM
Automatic_volume_switching	svawaH_prabalawA_svicana#svawaH_prabalawA_svicana#noun#3#RM
Back-end_processor	paSca_sirA_prakramaka#paSca_sirA_prakramaka#noun#2#RM
Back_bone_network	merUxaMda_rIDZa_netavarka#merUxaMda_rIDZa_netavarka#UNDEFINED#1#RM
Back_door	paSca_xvAra#paSca_xvAra#noun#2#RM
Back_edge	paSca_Cora#paSca_Cora#noun#2#RM
Back_end	paSca_sirA#paSca_sirA#noun#2#RM
Back_face_deletion	paSca_Palana_vilopana#paSca_Palana_vilopana#noun#3#RM
Back_ground	pqRTa_BUmi#pqRTa_BUmi#noun#2#RM
Back_ground_light	pqRTaBUmiM_prakASa#pqRTaBUmiM_prakASa#noun#3#RM
Back_patching	paSca_pEbaMxa#paSca_pEbaMxa#noun#2#RM
Back_plane	paSca_wala#paSca_wala#noun#2#RM
Back_propagation	paSca_prasAraNa#paSca_prasAraNa#noun#2#RM
Back_tracking	paSca_paWana#paSca_paWana#noun#2#RM
Back_ward_error_recovery	paSca_wruti_prApwi#paSca_wruti_prApwi#noun#4#RM
Bad_&_doubtful_debts	nikqRta_waWA_saMxehAspaxa_qNa#nikqRta_waWA_saMxehAspaxa_qNa#noun#4#RM
Balance_sheet	wulana_pawra#wulana_pawra#noun#2#RM
Balance_sheet_as_snapshot	wulana_pawra_kA_ASuciwra#wulana_pawra_kA_ASuciwra#UNDEFINED#1#RM
Band-stepper_actuator	baMEda_stepara_saMkriyaka#baMEda_stepara_saMkriyaka#noun#2#RM
Band_Aid	xavA_yukwa_pattI#xavA_yukwa_pattI#noun#2#RM
Band_printer	baMEda_muxraka#baMEda_muxraka#noun#2#RM
Band_stop_filter	bEMda_virAma_nisyaMxaka#bEMda_virAma_nisyaMxaka#noun#3#RM
Band_width	bEMda_cOdZAI#bEMda_cOdZAI#noun#2#RM
Bank_account	bEMka_kA_KAwA#bEMka_kA_KAwA#noun#2#RM
Bank_for_International_Settlement	aMwarrARRtrIya_nipatAna_bEMka#aMwarrARRtrIya_nipatAna_bEMka#noun#4#RM
Bank_machine	bEMka_maSIna#bEMka_maSIna#noun#2#RM
Bank_overdraft	bEMka_ovaradrAPta#bEMka_ovaradrAPta#noun#2#RM
Bank_switching	bEMka_svIciMga#bEMka_svIciMga#UNDEFINED#1#RM
Banker's_algorithm	bEMkarsa_elgoriWma#bEMkarsa_elgoriWma#noun#2#RM
Base_address_register	AXAra_pawA_paMjI#AXAra_pawA_paMjI#noun#3#RM
Base_addressing	AXAra_pawABigamana#AXAra_pawABigamana#noun#2#RM
Base_notation	AXAra_saMkewana#AXAra_saMkewana#noun#2#RM
Base_number	AXAra_saMKyA#AXAra_saMKyA#noun#2#RM
Base_register	AXAra_rajistara#AXAra_rajistara#UNDEFINED#1#RM
Base_storage_allocation	AXAra_BaMdAraNa_niyAwana#AXAra_BaMdAraNa_niyAwana#noun#3#RM
Base_table	AXAra_sAraNI#AXAra_sAraNI#noun#2#RM
Base_volume	mUla_KaMda#mUla_KaMda#noun#2#RM
Basic_English	mUla_aMgrejZI#mUla_aMgrejZI#noun#2#RM
Basic_Statistical_Return	mUlaBUwa_sAMKyikIya_vivaraNI#mUlaBUwa_sAMKyikIya_vivaraNI#noun#3#RM
Batch_file	bEca_PAIla#bEca_PAIla#UNDEFINED#1#RM
Batch_operating_system	bEca_pracAlana_waMwra#bEca_pracAlana_waMwra#noun#3#RM
Batch_partition	bEca_viBAjana#bEca_viBAjana#noun#2#RM
Batch_position	bEca_sWiwi#bEca_sWiwi#noun#2#RM
Batch_processing	bEca_prakramana#bEca_prakramana#UNDEFINED#1#RM
Batch_region	bEca#bEca#UNDEFINED#2#RM
Batch_session	bEca#bEca#UNDEFINED#2#RM
Batch_system	bEca#bEca#UNDEFINED#2#RM
Batch_terminal	bEca#bEca#UNDEFINED#1#RM
Be_quick	jalxI_kara#jalxI_kara#noun#2#RM
Big_Brother	badZA_BAI#badZA_BAI#noun#2#RM
Big_o-notation	xIrGaCa0CasaMkewana#xIrGaCa0CasaMkewana#noun#3#RM
Birds_of_a_feather	eka_samAna#eka_samAna#noun#1#RM
Bite_the_hand_that_feeds	viSvAsaGAwa_karanA#viSvAsaGAwa_karanA#noun#5#RM
Block_multiplexor_channel	KaMda_bahusaMkewaka_cEnala#KaMda_bahusaMkewaka_cEnala#UNDEFINED#1#RM
Block_size	KaMdaka_AmApa#KaMdaka_AmApa#noun#2#RM
Block_transfer	KaMda_aMwaraNa#KaMda_aMwaraNa#noun#2#RM
Block_transmission	KaMdaka_saMcaraNa#KaMdaka_saMcaraNa#noun#2#RM
Book_of_Instructions	anuxeSa_puswaka#anuxeSa_puswaka#noun#1#RM
Budget_estimation	bajata_Akalana#bajata_Akalana#noun#2#RM
Buffer_register	baPara_rajistara#baPara_rajistara#noun#2#RM
Buffer_storage	baPara_BaMdAraNa#baPara_BaMdAraNa#noun#2#RM
Built-in_function	aMwanirmiwa_Palana#aMwanirmiwa_Palana#noun#2#RM
Built-in_procedure	aMwanirmiwa_prakriyA#aMwanirmiwa_prakriyA#noun#2#RM
Bus_internet	basa_jAla#basa_jAla#noun#2#RM
By_this_time	abawaka#abawaka#noun#3#RM
Canonic_system	vixxiwa_waMwra#vixxiwa_waMwra#noun#2#RM
Cantonese_dialect	prAnwIya_bolI#prAnwIya_bolI#noun#2#RM
Cape_buffalo	BEMsa_vAlA_labAxA#BEMsa_vAlA_labAxA#noun#2#RM
Carrier-to-noise_ratio	vAhaka_rava_anupAwa#vAhaka_rava_anupAwa#noun#2#RM
Carrier_wave	vAhaka_waraMga#vAhaka_waraMga#noun#2#RM
Cash_on_Delivery	supurxagI_para_nakaxa_axAyagI#supurxagI_para_nakaxa_axAyagI#noun#3#RM
Central_memory	kenxrIya_smqwi#kenxrIya_smqwi#noun#2#RM
Central_office	kenxrIya_kAryAlaya#kenxrIya_kAryAlaya#noun#2#RM
Central_operator	keMxrIya_pracAlaka#keMxrIya_pracAlaka#noun#2#RM
Certificate_of_incorporation	nigamana_praNANapawra#nigamana_praNANapawra#noun#1#RM
Chain_link	SrqMKalA_kadI#SrqMKalA_kadI#noun#2#RM
Chain_printer	SrqMKalA_muxraka#SrqMKalA_muxraka#noun#2#RM
Channel-attached_station	praNAla_saMlagna_kenxra#praNAla_saMlagna_kenxra#noun#3#RM
Character_oriented	saMprawIka_unmuKI#saMprawIka_unmuKI#noun#2#RM
Character_position	saMprawIka_sWiwi#saMprawIka_sWiwi#noun#2#RM
Character_printer	saMprawIka_muxraka#saMprawIka_muxraka#noun#2#RM
Character_reader	saMprawIka_pATaka#saMprawIka_pATaka#noun#2#RM
Character_set	saMprawIka_samuccaya#saMprawIka_samuccaya#noun#2#RM
Character_size	saMprawIka_sAija#saMprawIka_sAija#noun#2#RM
Character_string	saMprawIka_rajju#saMprawIka_rajju#noun#2#RM
Character_string_constant	saMprawIka_rajju_acara#saMprawIka_rajju_acara#noun#3#RM
Characteristic_root	aBilAkRaNika_mUla#aBilAkRaNika_mUla#noun#2#RM
Christian_church	kriSciyana_carca#kriSciyana_carca#noun#2#RM
Christmas_bells	krisamasa_GaMtiyAz#krisamasa_GaMtiyAz#noun#2#RM
Christmas_bush	krisamasa_para_raKI_jAne_vAlI_JAdZI#krisamasa_para_raKI_jAne_vAlI_JAdZI#noun#2#RM
Christmas_cactus	krisamasa_nAgaPaznI#krisamasa_nAgaPaznI#noun#2#RM
Christmas_card	krismasa_kArda#krismasa_kArda#noun#2#RM
Christmas_carol	krisamasa_ke_gIwa#krisamasa_ke_gIwa#noun#2#RM
Church_Service	carca_kI_pUjA#carca_kI_pUjA#noun#2#RM
Church_father	pAxarI#pAxarI#noun#2#RM
Circular_queue	varwula_paMkwi#varwula_paMkwi#noun#2#RM
Class_C_network	varga_sI_netavarka#varga_sI_netavarka#noun#3#RM
Class_operation	varga_saMkriyA#varga_saMkriyA#noun#2#RM
Class_structure	varga_saMracanA#varga_saMracanA#noun#2#RM
