ecclesiastic commissioner	carca_kamiSnara
elevator boy	liPta_calAne_vAlA_ladZakA
elevator car	liPta
eligibility certificate	pAwrawA_AogyawA_pramANapawra
eligibility criteria	pAwrawA_kI_kasOtI_IA_mAnaxaMda
eligibility for issue of certificate	pramANapawra_jArI_karane_ke_lie_pAwrawA
eligibility for normal credit limit	sAmAnya_qNa_sImA_kI_pAwrawA_AogyawA
eligibility list	pAwrawA_AogyawA_sUcI
eligible bills	pAwra
eligible co operative bank	pAwra_aogya_sahakArI_bEMka
elimination factor	vilopanAMka
elimination period	axeyawA_avaXi
embankment officer	watabaMXa_aXikArI
embark on	para_caDZAnA2
embassy audit section	rAjaxUwAvAsa_leKAparIkRA_anuBAga
embassy compilation section	rAjaxUwAvAsa_saMkalana_anuBAga
embryonic cell	BrUNa_koSA
emergency brake	ApAwa_niyanwraNa
emergency budget	ApAwa_bajata
emergency cadre	ApAwa_saMvarga
emergency commission	ApAwa_Ayoga
emergency credit	ApAwI_qNa
emergency department	ApAwa_viBAga
emergency medical officer	ApAwa_cikiwsA_aXikArI
emergency officer	ApAwa_aXikArI
emergency production committee	ApAwa_uwpAxana_samiwi
emergency relief organisation	ApAwa_sahAyawA_saMgaTana
emery cloth	emarI_vaswra
emigration commissioner	u_upravAsa_Ayukwa
eminent domain	ulleKanIya_kRewra
emitter coupled logic	uwsarjaka_yugmiwa_warka
emoluments drawn on duty	dZyUtI_para_prApwa_parilabXiyAM
emotional arousal	BAvanAwmaka_uwwejana
emotional disorder	BAvanAwmaka_vikAra
emotional distress	BAvanAwmaka_vexanA
emotional disturbance	BAvanAwmaka_uwwejanA
empanelled officer	nAiBakAgawa_aXikArI
empirical investigation	anuBavamUlaka_jAMca
employed on daily wages	xihAdZI_IEnika_majaxUrI_para_niyojiwa_aiyukwa
employee Morale	karmacArI_nEwikawA
employee Pension	karmacArI_peMSana
employee Trust	karmacArI_nyAsa
employee account	karmacArI_KAwA
employee benefit society	karmacArI_hiwa_aABa_samiwi
employee benefit	karmacArI_lABa
employee bonus	karmacArI_bonasa
employee buyout	karmacArI_KarIxArI
employee contribution	karmacArI_kA_yogaxAna
employee control	karmacArI_niyaMwraNa
employee cost	karmacArI_Karca
employee expense	karmacArI_lAgawa
employee fund	karmacArI_niXi
employee funds	karmacArI_sWAyIsarakArI_qNa
employee group	karmacArI_varga
employee handbook	karmacArI_puswikA
employee home	karmacArI_gqha
employee hostage	karmacArI_baMXaka_varga
employee loyalty	karmacArI_niRTA
employee magazine	karmacArI_pawrikA
employee newsletter	karmacArI_vqwwa-pawra
employee ownership plan	karmacArI_milakiyawa_yojanA
employee ownership	karmacArI_milakiyawa
employee partnership	karmacArI_hissexArI
employee pension fund	karmacArI_peMSana_niXi
employee plan	karmacArI_yojanA
employee program	karmacArI_kAryakrama
employee purchase	karmacArI_KarIxArI
employee record	karmacArI_rikArda
employee relations	karmacArI_ke_saMbaMXa
employee savings	karmacArI_bacawa
employee stock option	karmacArI_pUMjI_vikalpa
employee stock purchase plan	karmacArI_kaccA_mAla_KarIxArI
employee stock	karmacArI_koSa
employee takeover	karmacArI_xvArA_aXikAra_meM_lenA
employee theft	karmacArI_curAne_kA_kAma
employee thrift plan	karmacArI_bacawa_yojanA
employee turnover	karmacArI
employee union	karmacArI_saMGa
employees association	karmacArI_saMgaTana_asosieSana
employing departmen	niyokwA_viBAga
employment agency	rojZagAra_aiBakaraNa_ajeMsI
employment agent	rojagAra_prawiniXi
employment agreement	rojZagAra_rAjZInAmA
employment bureau	rojZagAra_byUro
employment contract	nOkarI_kA_anubanXa
employment exchange	rojZagAra_kAryAlaya
employment guarantee	rojZagAra_gAraMtI
employment liasion officer	rojZagAra_saMparka_aXikArI
employment notice	rojZagAra_sUcanA
employment of funds	niXiyoM_kA_aXiyojana_aiveSana
employment officer	rojZagAra_aXikArI
employment oriented	rojZagAra_unmuKa
employment potential	rojZagAra_aiyojana_saMBAvyawA_ARamawA
employment prospects	rojZagAra_saMBAvanAeM
empty stack	rijFagwalq_ciwi
empty string	rijFagwalq_rajju
emulator generation	yaMwrAnukaraNakArI_janana
en bloc	eka_sAWa
en clair telegram	SabxabaxXa_wAra
en clair	SabxoM_meM
en masse	sAmUhika_rUpa_se
en route	mArga_meM
enabled module	samarWakqwa_prawirUpaka
enabling clause	samarWaka_KaMda
encashment scheduled	BunAWa_sUcI
enclair telegram	SabxabaxXa_wAra
enclosure cashier	kAuMtara_kESiyara_aajAMcI
encoding function	kUtaleKana_Palana

encroachment inspector	aXikramapra_nirIkRaka
encumbered estate	BAragraswa_saMpaxA
end around borrow	paricakrIya_paScAMka
end around carry	paricakrIya_hAsila
end mark	aMwya_cihna
end of address	pawA_aMwa
end of block	KaMdaka_aMwa
end of data indicator	AMkadZA_aMwa_sUcaka
end of file mark	saMcikAMwa_cihna
end product	aMwima_uwpAxa
end run	geMxa_ko_Age_baDZAne_kA_pyAra_karane_kA_eka_Kela
end up	samApwa_ho
end use condition	anwima_upayoga_kI_Sarwa
end use of credit	qNa_kA_aMwima_aimaRta_upayoga
end use of funds	rASi_iiXiyoM_kA_uimaRta_upayoga
end use	aMwima_upayoga
end user	eNda_prayokwA
endorsed cheque	pqRTAMkiwa_cEka
endorsement of bank note	bEMka_nota_para_pqRTAMkana_aecAna
endorsement special	viSeRa_becAna
endowment assurance	banxobaswI_bImA
endowment assurauce policy without profit	lABa_rahiwa_banxobaswa_bImA
endowment commissioner	akRayaniXi_Ayukwa
endowment for specific purposes	viSiRta_umeSyoM_ke_lie_niXi
endowment insurance	sAvaXi_bImA
endowment policy	banxobaswI_bImA
endurance contest	sahana_Sakwi_prawiyogiwA
endurance riding	sahanaSIlawA_kI_savArI
energy development agency	UrjA_vikAsa_aiBakaraNa
energy shortage	UrjA_kI_kamI
enfaced paper	muKAMkiwa_pawra
enfilade fire	wopoM_kI_bOCAra
enforcement effort	lAgU_karane_kA_prayAsa
enforcement of orders	AxeSoM_kA_pravarwana
enforcement officer	pravarwana_aXikArI
enforcement unit	pravarwana_yUnita_akakarwA
engaged capital	prayukwa_pUMjI
engagement diary	kArya_dAyarI
engine cleaner	iMjana_klInara
engine compartment	iMjana_dibbA
engine driver	iMjana_drAivara
engine examiner	iMjana_parIkRaka
engine fitter	iMjana_Pitara
engine repair	iMjana_kI_marammawa
engine room artificer	iMjana_kakRa_pariSilpI
engine room examiner	iMjana_kakRa_parIkRaka
engine room operator	iMjana_kakRa_pracAlaka
engine supervisor	iMjana_paryavekRaka
engineer in charge	praBArI_iMjIniyara
engineer in chief	pramuKa_iMjIniyara
engineering assistant	iMjIniyarI_sahAyaka
engineering graphics	aBiyAMwrikI_AleKikI
engineering member	iMjIniyarI_saxasya
engineering personnel	iMjIniyarI_kArmika
engineering section	iMjIniyarI_anuBAga
engineering stores inspector	iMjIniyarI_BaMdAra_nirIkRaka
engineering supervisor	iMjIniyarI_paryavekRaka
english feature unit	aMgrejI_rUpaka_ekaka
english talks section	aMgrejZI_vArwA_anuBAga
english unit	aMgrejZI_ekaka
english version	aMgrejZI_anuvAxa
enhanced rate	baDZI_huWa_xara
enormous profit	bahuwa_naPA
enquiry and reservation clerk	pUCawACa_Ora_ArakRaNa_klarka
enquiry and reservation supervisor	pUCawACa_Ora_ArakRaNa_paryavekRaka
enquiry assistant	pUCawACa_sahAyaka
enquiry clerk	pUCawACa_klarka
enquiry inspector	jAzca_nirIkRaka
enquiry office	pUCawACa_kAryAlaya
enquiry officer	jAzca_aXikArI
enrolment number	nAmAMkana_saMKyA
enter into bond	bAMda_liKa_xenA
enter into contract	saMvixA_karanA
enter key	praveSa_kuMjI
enterprise revenue	uxyama_Aya
enterprise system	uxyama_waMwra
entertainment allowance	AwiWya_aawkAra_BawwA
entertainment center	manoraMjana_kenxra
entertainment officer	manoraMjana_aXikArI
entertainment tax officer	manoraMjana_kara_aXikArI
entertainment tax	manoraMjana_kara
entire contract	saMpUrNa_saMvixA_AekA
entitled amount	hakZaxAra_rASi
entitlement section	hakaxArI_anuBAga
entity relationship	sajFalwalqva_saMbaMXawA
entomological assistant	kItavijFAna_sahAyaka
entrance examination	praveSa_parIkRA
entrance stairs 	praveSa_sIDZI
entrance stairs	praveSa_sIDZI
entrepot bond	punarniryAwa_baMXa_pawra
entrepreneurial capital	uxyamakarwA_pUMjI
entrepreneurial investment	uxyamakarwA_niveSa
entrepreneurial potential	uxyama_saMBAvyawA
entrust with duty	kAma_sOMpanA
entry adjusting	samAyojaka_praviiRta_aIpa
entry adverse	prawikUla-iMxarAja
entry block	praviRti_KaMdaka
entry instruction	praviRti_anuxeSa
entry name	praviRti_nAma
entry of coastal goods	watIya_mAla_kI_Amaxa
entry of remarks	tippapriyoM_kI_praviiRta
entry permit	praveSa_anujFA
entry phone	kisI_imArawa_ke_praveSa_xvAra_para_lagA_xUraBARa
entry time	praveSa_kAla
entry variable	praviRti_cara
enumerated type	parigaNiwa_prarUpa
envied lot	IrRyA_ke_pAwra
environment division	pariveSa_praBAga
environmental biology department	paryAvaraNa_jIvavijFAna_viBAga
environmental condition	paryAvaraNa_saMbanXI_xaSA
epartment of economic studies	ArWika_aXyayana_viBAga
ephemeral file	alpakAlika_misila
ephemeral roll	alpakAlika_paMjI
epidemic cholera	saMkrAmaka_kAlarA
epoch making	yugAnwarakArI
epsilon closure	epsAilOYna_saMvaraka
epsilon free regualr set	epsAilOYna_mujFagwalq_niyamiwa
equal distribution	samAna_viwaraNa
equalisation error or compensating error	samakArI_BUla
equalisation fund	samakArI_niXi
equalising fund	samakArI_niXi
equalization of assessment	karAXAna_samakaraNa
equalizing dividend	samakaraNa_lABAMSa
equestrian sport	GudZasavArI_paraKa_Kela
equilibrium of forces	balasAmya
equipment allowance	upakaraNa_apaskara_BawwA
equipment failure	upakaraNa_viPalawA
equipment finance	upakaraNa_apaskara_vwwi_AwwipoRapra
equipment leasing	upaskara_patte_para_xenA
equipment officer	upaskara_aXikArI
equipment preservation officer	upaskara_parirakRaNa_aXikArI
equitable distribution	nyAyociwa_viwaraNa
equitable mortgage	sAmayika_aAmyika_baMXaka
equity account	niRpakRawA
equity capital	WakvitI_pUMjI
equity market	WakvitI_Ieyara_bAjAra
equity sales	Seyara_kI_bikrI
equity salesman	sAmya_vikrewA
equity share	WakvitI_Seyara
equivalence class	wulyawA_varga
equivalence relation	samasaMyokwA
equivalent assets	wulya_parisaMpwwiyAM_MswiyAM
eradication effort	unmUlana_prayAsa
erect bugle	sWApiwa_bigula
erosion in value of assets	parisaMpwwiyoM_MswiyoM_ke_mUlya_meM_hqAsa_aamI
erratic flow of work	aniyamiwa_kArya_pravAha
erroneous belief	galawa_viSvAsa
erroneous payments	galawa_axAyagiyAM
error and omission	BUla_cUka
error correcting code	wruti_saMSoXana_kUta
error correction	wruti_saMSoXana
error detection	wruti_saMsUcana
error handling	wruti_prahaswana
error of measurement	mApa_wruti
error of omission	cUka
error report	wruti_riporta
error signal	wruti_saMkewa
errors and omission	BUla_cUka
errors and omissions	BUlacUka
errors of judgement	nirNaya_BUla
errors of principle	sExXAnwika_wruti
escalation charges	vqxXi_praBAra
escalation in demand	mAMga_meM_honevAlI_vqxXi
escalation in prices	mUlyoM_meM_honevAlI_vqxXi
escalator clause	svawa:_samAyojana_XArA
escape character	palAyana_saMprawIka
escape mechanism	baca_nikalane_kI_kriyA
escape sequence	palAyana_anukrama
escaped income	CUtI_Aya
escrow account	nilamba_leKA
espionage agent	jAsUsI_prawiniXi
esprit de corps	svAmiBakwi
essential commodities	anivArya_vaswueM
essential commodity	AvaSyaka_vaswu
essential condition	anivArya_Sarwa
essential feature	awyAvaSyaka_lakRaNa_aiSeRawA
essential industry	anivArya_uxyoga
essential input for industry	uxyoga_ke_lie_anivArya_niviRti
essential qualification	anivArya-yogyawA
essential service	anivArya_sevA
essential services	anivArya-sevAez
essentiality certificate	anivAryawA_pramANapawra
established church	susWiwa_girajAGara
established facts	susWApiwa_waWya
established importer	susWApiwa_AyAwaka
established production method	susWApiwa_uwpAxana_praprAlI
established standard	susWApiwa_mAnaka_awara
establishment and accounts officer	sWApanA_evaM_leKA_aXikArI


establishment audit register	sWApanA_leKAparIkRA_rajistara
establishment audit section	sWApanA_leKAparIkRA_anuBAga
establishment audit	sWApanA_leKAparIkRA
establishment bill	sWApanA_bila
establishment charges	sWApanA_praBAra
establishment clerk	sWApanA_lipika
establishment cost	sWApanA_lAgawa
establishment instructor	sWApanA_anuxeSaka
establishment officer	sWApanA_aXikArI
establishment section	sWApanA_anuBAga
establisment recoveries	sWApanA_saMbaMXI_vasUliyAM
estate agent	riyAsawa_prawiniXi
estate department	saMpaxA_viBAga
estate duty officer	saMpaxA_Sulka_aXikArI
estate duty	saMpaxA-Sulka
estate management	saMpaxA_prabaMXa
estate manager	saMpaxA_prabaMXaka
estate office	saMpaxA_kAryAlaya
estate officer	saMpaxA_aXikArI
estate supervisor	saMpaxA_paryavekRaka
estate tax	saMpaxA_kara
estimate officer	prAkkalana_aXikArI
estimated cost	anumAniwa_lAgawa
estimated expenditure	anumAniwa_arAkkaliwa_vyaya
estimated realisable value	anumAniwa_vUsalI_yogya_mUlya
estimated value of security	jamAnawa_arawiBUwi_kA_anumAniwa_mUlya
estimates committee	prAkkalana_samiwi
estimates of expenditure	vyaya_anumAna
estimation of capital	pUMjIgawa_stAka_kA_avamAna_lagAnA
et al	Axi
et sequens	Ora_nIce_xiyA_huA
eternal triangle	amara_wrikoNa
eternal verity	amara_sawyawA
ethernet network	IWaraneta_jAla
ethical code	nEwika_viXi
ethics committee	nIwiSAswra_samiwi
ethyl acetate	eWila_eVsiteta
ethyl chloride	eWila_klorAida
etymological dictionary	vyuwpawwIya_SabxakoSa
eulerian path	IyUleriyana_paWa
euro currency market	yUropIya_sAJA_bAjAra
euro currency syndicate	yUropIya_muxrA_vyAvasAyika_saMxa
euro dollar market	yUropIya_dAlara_bAjAra
euro election	yUropIya_saMsaxa_kA_cunAva
european common market	yUropIya_sAMJA_bAjAra
european economic community	yUropIya_ArWika_samuxAya
european economic market	yUropIya_ArWika_bAjAra
european free trade area	yUropIya_mukwa_vyApAra_kRewra
european free trade association	yUropIya_mukwa_vyApAra_saMxa
european monetary agreement	yUropIya_muxrA_karAra
european recovery plan	yUropIya_samuwWAna_yojanA
evacuee property department	niRkrAMwa_saMpwwi_viBAga
evaluation and assessment committee	mUlyAMkana_Ora_nirXAraNa_samiwi
evaluation assistant	mUlyAMkana_sahAyaka
evaluation committe	mUlyAMkana_samiwi
evaluation committee	mUlyAMkana_samiwi
evaluation of assets	parisaMpwwiyoM_MswiyoM_kA_mUlyAMkana
evaluation of package programme	viviXa_aEkeja_kAryakrama_kA_mUlyAMkana
evaluation officer	mUlyAMkana_aXikArI
evaporative cooler	vARpa_SIwaka
evasion of duty	Sulka_kA_apavaMcana
evasion of prohibitions	niReXoM_kA_apavaMcana
evasion of tax	karavaMcana
evasive action	tAlane_kI_kriyA
evasive answer	golamAla_uwwara
even as	jabaki_sAWa_meM
even chance	barAbara_kA_avasara
even handed	TIka_TIka
even number	samasaMKyA
even parity check	susamawA_jOYMca
even so	Pira_BI
even though	yaxyapi
evening bag	batuA
evening branch	sAMXya_aAMXyakAlIna_SAKA
evening clothes	SAma_kA_pahanAvA
evening dress	saMXyAkAlIna_pahane_jAne_vAlI_poSAka
event chain	GatanA_SrqMKalA
event control block	GatanA_niyaMwraNa_KaMda
event counters	GatanA_gaNaka
event start	GatanA_prAramBa
eventual disposal	aMwima_nipatAna
ever again	Pira_kaBI
ever present	saxA_rahanevAlA
ever since	waba_se
ever so	kaBI_BI
evergreen beech	saxAbahAra_bIcavqkRa
evergreen blueberry	saxAbahAra_nIlI_JaraberI
evergreen cherry	saxAbahAra_cerI
every bit as	samAna_rUpa_se
every night	hara_rAwa
every now and then	samaya_samaya_para
every one	hara_eka
every so often	jaba_xeKo_waba
everywhere defined	sArva_pAriBARiwa
eviction inspector	bexaKalI_nirIkRaka
evil doer	kukarmI
evil eye	kuxqRti
ex gratia grant	anugraha_anuxAna
ex gratia payment	anugrahI_axAyagI
ex gratia	anugrahapUrvaka
ex india	BArawa_se_bAhara
ex officio	paxena
ex parte	ekapakRIya
ex post facto	kAryowwara
exact line of demarcation between	ke_bIca_vAswavika_viBAjana_reKA
exact stock	niSciwa_stAka
exactly ahead	TIka_sAmane
exam anxiety	parIkRA_kI_ciMwA
examination of the books and records	bahiyoM_Ora_aiBaleKoM_kI_parIkRA
examination of witness	sAkRI_kI_parIkRA
examination section	parIkRA_anuBAga
examiner of books and publications	puswaka_Ora_prakASana_parIkRaka
