ANSI system	ena_sI_(e_ena_esa_AI_)_praNAlI
de escalatory	wIvrawA_meM_kamI_karanevAlA{yuxXa_kI}
de requisition	aXigrahaNa-mocana
dearness allowance	mahaMgAI-BawwA
deck Chair	JUlA{kursInumA}
deck chair	JUlA{kursInumA}
deck girder	pqRTavAhI_gardara
degree Celsius	digrI.selsiyasa
degree Centigrade	digrI.sentIgreda
degree college	@LZnAwaka_mahAvixyAlaya
department of technical development	wakanIkI-vikAsa_viBAga
departmental enquiry	viBAgIya-jAzca
departmental promotion	viBAgIya_paxo_o@Znawi
deposit mix	viiBa_a@Zna_jamArASiyAM
derived demand	vyuwpa_a@Zna_mAMga
device philosophers dining problem	yukwi_xArSa@nika_Boja_samasyA
device strategy module	yukwi_kArya@niwa_mOYdyUla
directorate of sugar cane development	ga_a@ZnA_vikAsa_nixeSAlaya
discretionary powers	vivekAXikAra{@s}
disk drive interface\
distinct tcp\
diversification of risks	joKimoM_kA_viSAKana_@_viviXIkaraNa
division bench	KaMda_pITa(nyAya)
drag hunt	GasItanA{0}
drag hunted	GasItanA_{@ed
drag hunting	GasItanA_{@ing}
drag hunts	GasItanA_{@s}
drew up	Akara_rukA[ciwriwa_kiyA]
due to over sight	XyAna_rahane_ke_kAraNa_@asAvaXAnI_ke_kAraNa
due to	ko_xeya[->kI_vajaha_se]
dutch auction	hOYlENda-nIlAmI
dutiable goods	Sulka_xeya_a@ZyUtIvAlA_mAla
e commerce	I_kAmarsa_
each way	xono_waraPa{Sarwa_kA}
eager beaver	uwsuka{anOpacArika}
earned leave	arjiwa-CuttI
electronics corporation of india ltd.	BArawIya_ilektrOYnika_nigama_li_
electronics intelligence	ilEktrOYnika_gupwa-sUcanA
every other	hara_xUsarA[>hara_koI]
every time	hara_bAra_[jaba]
ex approval	kAryowwara-anumoxana
ex cadre	saMvarga-bAhya
ex president	BUwapUrva_rARtrapawi__BUwapUrva_aXyakRa
execution of contract	TekA-niRpAxana
executive power	kAryakArI-Sakwi
exhausted permit	ni:SeRa_paramita
expiration day	(avaXi)aMwa_xina
export bills drawn under l\
export bills drawn without l\
extension of leave	CuttI-baDZAnA
extra duty pay	awirikwa_kArya_a@ZyUtI_vewana
facsimile i\
fair copy	svacCa-prawi
far too many	jZyAxA_hI{->->->}
feather boa	gulubanxa{paMKoM_kA_banA}
festival advance	wyohAra-agrima
fibre optics	PAibara_OYptiksa{saMxeSa_pahuMcAne_kA_eka_sAXana}
field marshal	PIlda_mArSala{senA_kA_sarvocca_ohaxA}
fifty cents	PiPtI_sentsa{amIkI_muxrA_kA_AXA_BAga}
fifty pence	PiPtI_pEMsa{igalEMda_kI_muxrA_kA_AXA_BAga}
file cover	PZAila-kavara
financial obligation	vwwiIya-xAyiwva
finished goods partly	aMSawa:wEyAra_mAla
finishing line	aMwima_reKA{xOdZa_meM}
first cousin	cacerA[mOserA]_BAI[bahana]
fish plate	PiSa_pleta{rela_kI_patariyoM_ko_jodZane_vAlI_pleta}
fit for promotion	paxo_o@Znawi_yogya
fl oz	Aunsa{warala_parxAWa_nApane_kA_eka_mApa}
flash gun	PlESa_lagAne_kI_jagaha{kEmare_meM}
flea pit	PAlawU_sinemA[Bavana]
fleet street	PlIta_strIta{laMxana_kI_eka_sadZaka_kA_nAma}
flight Sergeant	PlAita_sArjEMta{iMgalEMda_kI_vAyusenA_meM_eka_paxavI}
flight recorder	PlAita_rikOYrdara{havAI_jahAjZa_kI_udZAna_kI_jAnakArI_raKane_vAlA_yaMwra}
flight sergeant	PlAita_sArjEMta{vAyusenA_paxavI}
flight simulator	PlAita_simuletara{havAI_jahAja_udZAnA_sIKane_kA_yaMwra}
fling oneself into	meM_rawa_honA[karanA]
flying doctor	dAktara{jo_havAI_jahAjZa_se_xUra_ke_bImAra_xeKane_jAwA_hE}
follow through's	anusaraNa_kara[>samaJanA]{ba.}+kA
follow through	anusaraNa_kara[>samaJanA]{@s}
follow up action	anuvarwI-kArravAI
food procurement	KAxyA_A@Zna_vasUlI
for granted	mAna_liyA_huA{mahawvahIna}
for guidance	mArga-xarSana_ke_lie
for keeps	hameSA_ke_liye[raKa_lenA]
for that matter	[Ora]_BI
fore leg	Agale_pAzva{cOpAyoM_ke}
fore lock	alaka{mAWe_para_giranevAlI}
forget me not	PUla{Cote_Ora_nIle}
forty winks	JapakI{anOpacArika}
forwarding letter	agreRaNa-pawra
forwarding note	agreRaNa-tippaNI
fox hole	KAI{yuxXa_ke_samaya_Cipane_ke_liye_KoxI}
fox hound	SikArI_kuwwe{lomadZI_pakadZane_ke_liye}
fox trot	nqwya{pAScAwya}
free along side ship	xAta_waka_ni:Sulka
free delivery	ni:Sulka_viwaraNa
free fone	muPwa_Pona{britena_meM_Pona_karane_kI_eka_vyavasWA_jisameM_pEsA_nahIM_cukAyA_jAwA}
free hand	mukwa_haswa{ciwrakArI}
free mailing list	ni:Sulka_aAnArWa_preRiwI_sUcI
free of charge	ni:Sulka
free passage by sea	ni:Sulka_samuxra_pAra_gamana
free port	banxaragAha{jahAz_cuMgI_nahIM_lagawI}
free post	PrI_posta{britena_meM_dAka_Bejane_kI_eka_vyavasWA_jisameM_pawra_kA_mUlya_prApwa_karane_vAlI_saMsWA_xewI_hE}
free service checker	ni:Sulka_sevA_cekara
free service clerk	ni:Sulka_sevA_lipika
free transit	ni:Sulka_pAragamana
free vote	saMsaxa_meM_mawa{niyama_mukwa}
fresh receipt	nayI-AvawI
fresh voucher	prApwi-vAucara
fringe benefit	muPwa_suviXA{karmacArI_ko_milane_vAlI}
from day to day	rojZamarrA_[kA]
front of	ke_sAmane_kA{BAga}
full fledged	pUrI_waraha_se[-]
full timest	pUrNakAlika_{wama}
fully guaranteed	pUrNawa:gAraMtIkqwa_arawyABUwa
fully or partly provided for	pUrNawa:aWavA_aMSawa:prAvaXAna_kiyA_gayA
fully paid	pUrNawa:cukawA_Araxaww
fully secured creditor	pUrNawa:rakRiwa_lenaxAra
fully secured	pUrNawa:saMrakRiwa
fully utilised	pUrNawa:prayuwa
fundamental law	mUla_siXxAnwa[niyama]
fur boa	gulubanxa{paMKoM_kA_banA}
further orders	agale-AxeSa
fuse box	PyUjZa_bOYksa{vixyuwa_vyavasWA_kA_CotA_dibbA}
game show	eka_prakAra_kA_tI.vI.progrAma
gamma radiation	gAmA-kiraNa
generalized i\
germ warfare	jIvANu-yuxXa
getting out	bAhara_nikalawA_[huA]
ghetto blaster	BoMpU{viSAla_tepa_rikArdZara_jo_sArvajanika_sWaloM_meM_bajAyA_jAwA_hE}
good humor	acCA_majZAka[parihAsa]
good luck	maMgalamaya[sOBAgya]
government affairs	sarakArI-mAmale
government office	sarakArI_xaPwara[kAryAlaya]
grain inspector	KAxyA_A@Zna_nirIkRaka
grain shop inspector	waKAxyA_A@Zna_xukAna_nirIkRaka
grant of extensions to contractors	TekexAroM_kI_(kArya_pUrA_karane_kI)_avaXi_baDAI_gaI
graph supervisor	leKA-ciwra_paryavekRaka
gratuitous goods	ni:Sulka_vaswueM
greasing supervisor	@LZnehana_paryavekRaka
grim jawed	gamBIra{kaTora}
ground controlled approach	BU-niyaMwriwa_pahuzca
group testing officer	grupa_testiMga_aPZasara_(jI.tI.o.)
grown up	vayaska{paripakva}
gun wales	UparI_pattI{nAva_kI}
half and half	AXA_AXA[xo_vaswuoM_kA_miSraNa_]
half back	hAPa_bEka{PutabOYla_Kela_meM_PAravarda_waKilAdZI_ke_pIXe_kI_sWiwi}
hand in hand	sAWa_sAWa[<hAWa_meM_hAWa_milAye_hue]
hang out	latakanA2{@s}
hang together	mila-jula_kara_rahanA
hard core	kattara_varga{kisI_xala_ke_aMxara}
hawaiian islands	havAI_xvIpa{ba.}
head of account	leKA-SIrRa
head of office	praXAna-kAryAlaya
head track recorder	praXAna_paWa-aBileKaka
hidden inflation	pracCa_a@ZnaparokRa_sPIwi
high finance	vqhaw_lena-xena
high flown	ucca_SElI[BARA_kI]
high pitched	UzcA[AvAja]
honorary air aide de camp	mAnaxa_havAWa_e_dI_sI_
honorary life aide dc camp	mAnaxa_AjIvana_e_dI_sI_
hooded lady	sira_Dake_mahilA{huda_se}
horse trade	lena-xena_kA_vyApAra
host computer\
hostile takeover	prabanXaka_samiwi_kI_asahamawI_ke_bAvajUxa_kampanI_para_aXikAra_pAne_kI__ceRtA
hot air	garma_havA[>aPavAha]
hours of business	kArya-samaya
house trained	siKAyA_huA[jAnavaroM_ko]
how do-you-do	kEse{@s}
how many	kiwanA{saMKyA}
how much	kiwanA{mAwrA}
human beings	mAnava{ba.}
hundred weight	0@pOMda{wOla_kI_amerikI_ikAI}
immediate employeer	Asa_a@Zna_niyokwA
immediate officer	Asanna-aXikArI
immediate slip	wawkAla-parcI


immovable property	acala-saMpawwi
import licence	AyAwa-lAiseMsa
improved breed of live stock	paSuXana_kI_u_u@ZnawabaDiZyA_nasla
improved package of practices	viviXa_u_u@Znawa_kArya_praprAliyAM
impulse test certificate	Avega_parIkRa_
in just about	[->meM]_kevala
#in order to	karane_ke_liye[wAki]
in particular	viSeRawa:_
in the first instance	praWamawa:_pahale_wo
in unison	mela_milApa[mEwrI]
income from other sources	anya_@LAzuwoM_se_Aya
income tax deducted at source	@Lwrowa_para_kAtA_gayA_Aya_kara
incubation period	uxBavana_kAla[avaXi]
indian grain storage institute	BArawIya_KAxyA_A@Zna_BaMdAraNa_saMsWAna
infectious disease	CUwa_kI_bImArI[saMkrAmaka]
inspector of schools	vixyAlaya-nirIkRaka
intellignece bureau	AsUcanA-byUro
intellignece officer	AsUcanA-aXikArI
inter connected companies	aMwa:saMbaxXa_aaraspara_saMbaxXa_kaMpaniyAM
inter connected	aMwa:paraspara_saMbaxXa
inter departmenta	anwara-viBAgIya
inter regional	anwa:kRewrIya
inter sector	anwa:kRewra
inter sectoral	anwa:kRewrIya
interest deducted at source	@Lwrowa_para_kAtA_gayA_byAja
interior decorator	intIriyara_dekoretara{Gara_kI_BIwarI_sAja_sajjA_karanevAlA}
international commodity agreement	aMwarrARtrIya_paprya_ka_a@ZrAra
involving question of policy	jisameM_nIwi_kA_praSna_(nihiwa)_ho
ipso jure	viXiwa:
iq test	buxXi-parIkRaNa
issue note	nirgama-tippaNI
issued generally	sAmAnyawa:jArI_kiyA_gayA_Airgamiwa
it may further; be added	yaha_BI_bawAyA_jAwA_hE
joining date	kAryagrahaNa-wiWi
joining period	kAryAraMBa-avaXi
joining report	kAryAraMBa-riporta
joint account	saMyukwa-leKA
jointly and severallyliable	saMyukwawa:Ora_pqWakawa:xAyiwvapUrNa_aenaxAra
jump -off	awirikwa_xOdZa{resa_meM_barAbarI_hone_para_AKarI_xOdZa_jisase_vijayawA_niSciwa_howA_hE}
jump lead	bijalI_ke_wAra{jo_eka_kAra_kI_bEtarI_se_xUsarI_kAra_meM_jodZe_jAwe_hEM}
jump suit	jampa_sUta{eka_prakAra_kI_poSAka_jisameM_kamIjZa_Ora_pawalUna_judZI_huI_howI_hE}
junior college	jUniyara_kAleja{kAleja_jisame_xasavI_kakRA_ke_bAxa_xo_sAla_kI_paDZAI_howI_hE}
junior school	jUniyara_skUla{7_se_1.sAla_ke_baccoM_ke_lie_skUla}
juvenile delinquency	bAla-aparAXa
key phrase	mukya_vAk@MyASa
key punch machine operator	kuMjI_paMca-maSIna-pracAlaka
kick up	{upaxrava,JamelA_AxI}_KadZA_karanA
#kind of	waraha_kA
#Since preps are moved, this also gets moved, hence not grouped at this stage.	#@Since @preps @are @moved, @this @also @gets @moved, @hence @not @grouped @at @this @stage.
#kinds of	waraha_ke
#Since preps are moved, this also gets moved, hence not grouped at this stage.	#@Since @preps @are @moved, @this @also @gets @moved, @hence @not @grouped @at @this @stage.
kiss off's	cuMbana{ba.}+kA
kiss off	cuMbana{@s}
know how	jAnakArI{0}
