#
#Eng_tam	H_tam-Sub_viBakwi-preceding_part_of_the_verb
################################################################
##################    Manually corrected by " Madhavi " ###########################
# He was being treated for heart problems.  <=> usakA upacAra hqixaya saMbaMXI rogoM ke liye kiyA jA rahA WA.
was_en_born	yA_WA-0-0
was_en	yA_gayA_WA-0-0
# Brenda was gone and Michelle was back. <=> breMdA calI gayI Ora miSela wApasa A gayI WI.
was_going_to_0	ne_vAlA_WA-0-0
#Oh, she wasn't ill, but she was going to die. <=> vaha bImAra nahIM WI lekina vaha marane vAlI WI.
was_ing	0_rahA_WA-0-0
# It wasn't like he was trying to hide.  <=> EsA nahI WA ki vaha Cupane kI koSiSa kara rahA WA.
was_never_en	yA_gayA_WA-0-kaBI_nahIM
was_not_being_en	yA_jA_rahA_WA-0-nahIM
was_not_en	yA_WA-0-nahIM
was_not_going_to_0	ne_vAlA_WA-0-nahIM
# That was not going to happen in Iran.  <=> vaha IrAna meM nahIM hone vAlA WA.
was_not_ing	0_rahA_WA-0-nahIM
# I was not looking at anyone.  <=> mEM kisI ko nahIM xeKa rahA WA.
was_not_to_0	ne_vAlA_WA-0-nahIM
was_not_to_be_en	yA_jAnA_WA-0-nahIM
# I thought that it was not to be trusted.  <=> mEne socA ki isapara BarosA nahIM kiyA jAnA WA.
# This was not to be confused with fascism alone. <=> yaha sirPZa PZAsistavAxa ke sAWa hI nahIM ulaJAyA jAnA WA.
was_to_0	ne_vAlA_WA-0-0
was_to_be_en	yA_jAnA_WA-0-0
#  All was to be taken, nothing given back. <=> sabakuCa le liyA jAnA WA, kuCa BI wApasa nahIM xiyA jAnA WA.
was_unable_to_0	0_pAwA_wA-0-nahIM
################# Manually corrected by " Neha " ########################
were_able_to_0	0_pAwA_wA-0-0
were_being_en	yA_jA_rahA_WA-0-0
were_en_born	yA_WA-0-0
were_en	yA_gayA_WA-0-0
were_going_to_0	ne_vAlA_WA-0-0
were_ing	0_rahA_WA-0-0
# I thought you were going back to bed.	<=>  mEneM socA wuma vApasa sone jA rahe We.
# They were doing construction work on Jamboree. <=> ve jamborI meM nirmANa kArya karane jA rahe We.
were_not_being_en	yA_jA_rahA_WA-0-nahIM
# Foreign citizens were not being allowed to leave Iraq and Kuwait.
# vixeSI nAgarikoM ko irAka Ora kuvEwa Codazne kI anumaxI nahIM dI jA rahI WI.
were_not_en	yA_WA-0-nahIM
# we were not allowed to go inside.  		<=> hameM anxara jAne kI anumawI nhIM WI.
# These items were not used in the calculation.	<=> ye cIjeM gaNanA meM prayoga nahIM howA WA.
were_not_going_to_0	ne_vAlA_WA-0-nahIM
were_not_ing	0_rahA_WA-0-nahIM
# Protesters were not being violent.	<=>	praxarSanakArI ahiMsaka nahIM ho rahe We.
were_not_to_be_en	yA_jAnA_WA-0-nahIM
# You were not to be found.	<=>	wumhe nahIM pAyA jAnA WA.
were_to_0	ne_vAlA_WA-0-0
# The American people were to see that information.  <=> amerIkana loga vaha sucanA xeKane vAle We.
were_to_be_en	yA_jAnA_WA-0-0
# The confessors were to be given clothing and food. <=> gurUvoM ko kapadzA Ora Bojana xiyA jAnA WA.
were_unable_to_0	0_pAwA_wA-0-nahIM
# They were looking to leave but were unable to get out.  <=>  ve Codazne ke liye xeKa rahe We lekIna bAhara nahIM jA pAwe We.
# Police were unable to locate any of Neil's relatives.   <=>  pulIsa nIla ke kisI BI saMbanXI ko Kojane meM asamarWa WI.
will_0	gA-0-0
# You will find links.  <=>    wumhe kadzI milegI.
will_be_able_to_0	0_pAyegA-0-0
# we will be able to do something about that situation.  <=>  hama usa sWIwI ke bAre meM kuCa kara pAyeMge.
will_be_en	yA_jAyegA-0-0
# The cleaning will be done in stages.	<=> saPAI kaI caraNoM meM kI jAyegI.
will_be_ing	0_rahA_hogA-0-0
# People will be looking at these movies again. <=> loga ina calacIwroM ko Pira se deKa rahe hoMge.
will_have_been_being_en	yA_jA_rahA_hogA-0-0
will_have_been_en	yA_huA_hogA-0-0
# The decision will have been made for me. <=>	yaha nirNaya mere liye banAyA huA hogA.
will_have_en	0_liyA_hogA-0-0
will_have_to_0	nA_hogA-ko-0
will_have_to_0	nA_padegA-ko-0
will_have_to_be_en	nA_padegA-0-0
# Something will have to be done about such sensitivity. <=>	EsI saMvexanaSIlawA ke bAre meM kuCa karanA padegA.
will_keep_on_ing	wA_rahUzgA-0-0
will_need_to_0	nA_kI_jZarUrawa_hogI-0-0
will_need_to_0	nA_padegA-0-0
will_never_0	gA-0-kaBI_nahIM
# Their light will never arrive here. <=> unakI rOSanI yahA kaBI nahIM AyegI.
will_not_0	gA-0-nahIM
# The scheme will not provide long-term confidentiality.  <=>	yaha yojanA lambe avaXi kI gopaniyawA nahIM upalabXa karAyegI.
will_not_be_en	gA-0-nahIM
# Pam will not be allowed inside.  <=>	pEma ko anxara (Ane kI) anumaxI nahIM hogI.
# This information will not be understood by the consumer. <=>	yaha jAnakArI upaBokwA nahIM samajegA.
will_not_be_ing	0_rahA_hogA-0-nahIM
# They will not be going free at least for another eight days. <=>  ve kama se kama agale ATa xina svawaMwra nahIM ho rahe hoMge.
# I will not be coming back.		<=>	mE vApasa nahIM A rahA huMgA.
will_not_have_been_en	yA_huA_nahIM_hogA-0-0
# The earlier encoded information will not have been lost due to decay.  pUrva ki kUtIwa jAnakArI pawana ke kAraNa guma nahIM huyI hoMgI.
will_not_have_en	0_liyA_hogA-0-nahIM
will_not_have_to_0	nA_hogA-0-nahIM
will_not_have_to_be_en	nA_padegA-0-nahIM
# it is acceptable and will not have to be repeated. <=> yaha mAnya hE Ora xoharAnA nahIM padegA.
without_ing	yA_binA-0-0
#You wouldn't buy a boat without looking at it.	 <=>	wuma nAva binA xeKe nahIM KarIxoge.
would_0	gA-0-0
# What would you advise? <=>	wuma kyA salAha xoge?
# Clearly, such major changes would be easier to introduce. <=>	spaSta rUpa se Ese muKya baxalAva kA pahacAna karAnA AsAna hogA.
would_be_en	yA_jAyegA-0-0
#We would be allowed to stay in the house. <=>	hameM isa Gara meM rahane kI anumawI xI jAyegI.
would_be_ing	0_rahA_hogA-0-0
# That money would be going elsewhere.	 <=>	vaha pEsA kahIM Ora jA rahA hogA.
would_have_been_en	yA_hogA-0-0
# The police would have been called in immediately.	<=> pulisa wuraMwa hI bulAyA gayA hogA.
would_have_been_ing	0_rahA_howA-0-0
would_have_en	yA_howA-0-0
#Three years ago I would have given a different answer.	 <=> wIna sAla pahale mE eka xusarA uwwara xiyA howA.
would_have_to_0	nA_hogA-ko-0
# I knew we would have to wait and see.  <=> mE jAnawA hUM hameM inwajAra karanA hogA Ora deKanA hogA.
would_have_to_be_en	nA_hogA-0-0
# I think it would have to be changed substantially.  <=> mE socawA hUM ise kAPI haxa waka bawalanA hogA.
would_like_to_0	nA_pasanxa_kara_gA-0-0
would_never_0	gA-0-kaBI_nahIM
# You would never kill me.   <=>  wuma muJe kaBI nahIM mAroge.
would_not_0	gA-0-nahIM
# Jenkins made it clear that he would not take any medication.
# jenakinsa ne ise spaSta kiyA kI vo koi ORaXI nahIM leMge.
would_not_be_en	yA_jAyegA-0-nahIM
would_not_be_ing	0_rahA_hogA-0-nahIM
# she would not be coming with me.   <=>  vo mere sAWa nahIM A rahI hogI.
would_not_have_been_en	yA_hogA-0-nahIM
# Winn would not have been surprised to see shades of himself.  <=> vIna apnI CAyA xeKa ke AScaryacakIwa nahIM huA hogA.
would_not_have_en	yA_howA-0-nahIM
# I would not have made this statement when I was in college.	<=> jaba mE kzAleja meM WA mEneM yaha kaWana nahIM xIyA howA.
would_not_have_to_be_en	nA_hogA-0-nahIM
# In a perfect world, incentives would not have to be offered, but we don't live in a perfect world.
# eka uwwama/xoRahIna sMsAra meM praloBana ko praswAva nahIM kiyA jAnA hogA, lekIna hama eka  uwwama/xoRahIna sMsAra meM nahIM rahawe hEM.
used_to_be_en	yA_jAwA_WA-0-0
# In some fields, one person can do the work that used to be done by many.
# kuCa kRewra meM, jo kAma kaI logoM ke xvArA kiyA jAwA WA use eka vyakwi kara sakawA hE.
needs_to_be_en	yA_jAnA_hE-0-0
imper_ing	we_raha-0-0
imper_en	yA-0-0
is_used_to_0	yA_jAwA_hE-0-0
# It is used for students to solve problems . 	Suggested by Bhagyashri Kulkarni (12-9-16) 
# vixyArWiyoM ke lie samasyAoM ko hala karane ke lie isakA prayoga kiyA jAwA hE .
shall_have_been_ing	0_rahA_hogA-0-0
#Ex: No, probably I shall have been studying at this time. <=> nahIM, SAyaxa mEM isa samayapaDZa rahA houMgA.
will_have_been_ing	0_rahA_hogA-0-0
#Ex: Will you have been sleeping at this time tomorrow? <=> kyA kala wuma isa samaya so rahe hoge?
############################### tams with examples #############################################
#are_to_be_en	nA_ke_liye_hE-0-0  Ex: All these fruits are to be eaten.
#were_to_be_en   nA_ke_liye_WA-0-0  Ex: All these fruits were to be eaten.
