#_@Structure_@of_@the_@file:		
#@wrd	@paxasuwra	@source
# @Girl @standing @in @front @of @me ..		
##_@I_@was_@fond_@of_@her_@music.		
#@GOD	paramAwmA	@PADA
#@These_@are_@the_@people_@who_@most_@need_@our_@help.		
#@aBiyAna_->_@aBiyAna_@calAnA		
#@anybody	kisI~BI^koI~BI	@PADA
#@anything's	koI~BI{cIjZa~yA~kAma}	@SABDA
#@anything	koI~BI{cIjZa~yA~kAma}	@SABDA
#@drift's	bahanA{@vib:kA}	@SABDA
#@drift	bahanA{0}	@SABDA
#@drifted	bahanA~{@ed/@en}	@SABDA
#@drifting	bahanA~{@ing}	@SABDA
#@drifts'	bahanA{@s}{@vib:kA}	@SABDA
#@drifts	bahanA~{@s}	@SABDA
#@fond	pasanxa~honA2[-]	@SABDA
#@most	aXikawama	@PADA
#@nervous	vyagra^snAyavika[-]	@SABDA
#@nobody	koI~nahIM{0}	@SABDA
#@none	koI~nahIM	@SABDA
#@nothing	kuCa~BI~nahIM^SUnya{0}	@SABDA
#@retain	sWira~raKanA{0}	@SABDA
#@retained	sWira~raKanA~{@ed/@en}	@SABDA
#@retaining	sWira~raKanA~{@ing}	@SABDA
#@retains	sWira~raKanA~{@s}	@SABDA
#@some	kuCa^koI	@SABDA
#@standing	sWAI/prawiRTA[-]~{@ing}	@SABDA
#@urge's	preraNA[>preriwa~karanA]{@vib:kA}	@SABDA
#@urge	preraNA[>preriwa~karanA]{0}	@SABDA
#@urged	preraNA[>preriwa~karanA]~{@ed/@en}	@SABDA
#@urges'	preraNA[>preriwa~karanA]{@s}{@vib:kA}	@SABDA
#@urges	preraNA[>preriwa~karanA]~{@s}	@SABDA
#@urging	preraNA[>preriwa~karanA]~{@ing}	@SABDA
#@walking	pExala~calanA[-]~{@ing}	@SABDA
#@writing	liKAI	@PADA
abstract's	sAra[>avyakwa]{@vib:kA}	@SABDA
abstract	sAra[>avyakwa][-]{0}	@SABDA
abstracted	sAra[>avyakwa]~{@ed/@en}	@SABDA
abstracting	sAra[>avyakwa]~{@ing}	@SABDA
abstractor	sArakarwA	@Administration_@Glossary:@HARIRAM
abstracts'	sAra[>avyakwa]{@s}{@vib:kA}	@SABDA
abstracts	sAra[>avyakwa]~{@s}	@SABDA
absurd	bewukA[-]	@SABDA
abuse's	xurupayoga[(vANI)>apaSabxa]{@vib:kA}	@SABDA
abuse	xurupayoga[(vANI)>apaSabxa]{0}	@SABDA
abused	xurupayoga[(vANI)>apaSabxa]~{@ed/@en}	@SABDA
abuses'	xurupayoga[(vANI)>apaSabxa]{@s}{@vib:kA}	@SABDA
abuses	xurupayoga[(vANI)>apaSabxa]~{@s}	@SABDA
abusing	xurupayoga[(vANI)>apaSabxa]~{@ing}	@SABDA
abutting	saMsparSI	@BHATIA
academic's	SEkRika{@vib:kA}	@SABDA
academic	SEkRika[-]	@SABDA
academics'	SEkRika{@s}{@vib:kA}	@SABDA
academics	SEkRika{@s}	@SABDA
academies'	akAxamI{@s}{@vib:kA}	@SABDA
academies	akAxamI{@s}	@SABDA
academy's	akAxamI{@vib:kA}	@SABDA
academy	akAxamI{0}	@SABDA
acc	esIsI	@HARI-@ABBR
accelerate	gawi~baDZAnA{0}	@SABDA
accelerated	gawi~baDZAnA~{@ed/@en}	@SABDA
accelerates	gawi~baDZAnA~{@s}	@SABDA
accelerating	gawi~baDZAnA~{@ing}	@SABDA
acceleration's	wejZa{gawi}{@vib:kA}	@SABDA
acceleration	wejZa{gawi}{0}	@SABDA
accelerations'	wejZa{gawi}{@s}{@vib:kA}	@SABDA
accelerations	wejZa{gawi}{@s}	@SABDA
accelerometer's	wvaraNamApI{@vib:kA}	@SABDA
accelerometer	wvaraNamApI{0}	@SABDA
accelerometers'	wvaraNamApI{@s}{@vib:kA}	@SABDA
accelerometers	wvaraNamApI{@s}	@SABDA
accent	uccAraNa~cihna	@Miscelleneous
accept	svIkAra~karanA{0}	@SABDA
acceptability	svIkAryawA	@THAKURDASSJI
acceptance's	svIkqwi{@vib:kA}	@SABDA
acceptance	svIkqwi{0}	@SABDA
acceptances'	svIkqwi{@s}{@vib:kA}	@SABDA
acceptances	svIkqwi{@s}	@SABDA
accepted	svIkAra~karanA~{@ed/@en}	@SABDA
accepting	svIkAra~karanA~{@ing}	@SABDA
accepts	svIkAra~karanA~{@s}	@SABDA
access's	upAgamana[<pahuzca/praveSa{mArga}]{@vib:kA}	@SABDA
access	upAgamana[<pahuzca/praveSa{mArga}]{0}	@SABDA
accessed	upAgamana[<pahuzca/praveSa{mArga}]~{@ed/@en}	@SABDA
accesses'	upAgamana[<pahuzca/praveSa{mArga}]{@s}{@vib:kA}	@SABDA
accesses	upAgamana[<pahuzca/praveSa{mArga}]~{@s}	@SABDA
accessing	upAgamana[<pahuzca/praveSa{mArga}]~{@ing}	@SABDA
accessory	sahayaMwra@Graphical/@Multimedia-@System	
accident's	xurGatanA^saMyoga{@vib:kA}	@SABDA
accident	xurGatanA^saMyoga{0}	@SABDA
accidents'	xurGatanA^saMyoga{@s}{@vib:kA}	@SABDA
accidents	xurGatanA^saMyoga{@s}	@SABDA
acclimatization	paryanukUlana	@Administration_@Glossary:@HARIRAM
accommadation	samaMjana/sOkarya	@BHATIA
accomodate	sWAna~xe	@SABDA
accomodation	AvAsa^samAyojana	@SABDA
accompanied	sAWa~xenA^saMgawa~karanA{saMgIwa}~{@ed/@en}	@SABDA
accompanies	sAWa~xenA^saMgawa~karanA{saMgIwa}~{@s}	@SABDA
accompany	sAWa~xenA^saMgawa~karanA{saMgIwa}{0}	@SABDA
accompanying	sAWa~xenA^saMgawa~karanA{saMgIwa}~{@ing}	@SABDA
accomplish	kAma~saPala~karanA[<pUrA~karanA/pahuzcanA]{0}	@SABDA
accomplished	kAma~saPala~karanA[<pUrA~karanA/pahuzcanA]~{@ed/@en}	@SABDA
accomplishes	kAma~saPala~karanA[<pUrA~karanA/pahuzcanA]~{@s}	@SABDA
accomplishing	kAma~saPala~karanA[<pUrA~karanA/pahuzcanA]~{@ing}	@SABDA
accord's	samaJOwA^sahamawi^xenA{@vib:kA}	@SABDA
accord	samaJOwA^sahamawi^xenA{0}	@SABDA
accordance's	mela[<anurUpa~honA]{@vib:kA}	@SABDA
accordance	mela[<anurUpa~honA]{0}	@SABDA
accordances'	mela[<anurUpa~honA]{@s}{@vib:kA}	@SABDA
accordances	mela[<anurUpa~honA]{@s}	@SABDA
accorded	samaJOwA^sahamawi^xenA~{@ed/@en}	@SABDA
according	samaJOwA^sahamawi^xenA~{@ing}	@SABDA
according_@to	ke~anusAra{honA}	@SABDA
accordingly	waxanusAra	@SABDA
accords'	samaJOwA^sahamawi^xenA{@s}{@vib:kA}	@SABDA
accords	samaJOwA^sahamawi^xenA~{@s}	@SABDA
account's	vivaraNa[>KAwA]{@vib:kA}	@SABDA
account	vivaraNa[>KAwA]{0}	@SABDA
accountal	leKA-joKA	@Administration_@Glossary:@HARIRAM
accounted	vivaraNa[>KAwA]~{@ed/@en}	@SABDA
accounting	vivaraNa[>KAwA]~{@ing}	@SABDA
accounts'	vivaraNa[>KAwA]{@s}{@vib:kA}	@SABDA
accounts	vivaraNa[>KAwA]~{@s}	@SABDA
accrual	proxBavana	@Administration_@Glossary:@HARIRAM
accumulator	saMcAyaka	@Computer-@Architecture
accuracies'	acUka^pariSuxXawA{@s}{@vib:kA}	@SABDA
accuracies	acUka^pariSuxXawA{@s}	@SABDA
accuracy's	acUka^pariSuxXawA{@vib:kA}	@SABDA
accuracy	acUka^pariSuxXawA{0}	@SABDA
accurate	pariSuxXa[-]	@SABDA
accurately	pariSuxXawA~se	@SABDA
accuse	xoRa~lagAnA{0}	@SABDA
accused's	aBiyukwa{@vib:kA}	@SABDA
accused	aBiyukwa{@ed/@en}	@SABDA
accuseds'	aBiyukwa{@s}{@vib:kA}	@SABDA
accuseds	aBiyukwa{@s}	@SABDA
accuses	xoRa~lagAnA~{@s}	@SABDA
accusing	xoRa~lagAnA~{@ing}	@SABDA
accustom	aByaswa~honA{0}	@SABDA
accustomed	aByaswa~honA~{@ed/@en}[-]	@SABDA
accustoming	aByaswa~honA~{@ing}	@SABDA
accustoms	aByaswa~honA~{@s}	@SABDA
ace's	ikkA{@vib:kA}	@SABDA
ace	ikkA{0}	@SABDA
aces'	ikkA{@s}{@vib:kA}	@SABDA
aces	ikkA{@s}	@SABDA
acharya	AcArya	@HARI-@Indian
ache's	pIdZA{@vib:kA}	@SABDA
ache	pIdZA{0}	@SABDA
ached	pIdZA~{@ed/@en}	@SABDA
aches'	pIdZA{@s}{@vib:kA}	@SABDA
aches	pIdZA~{@s}	@SABDA
achieve	saPala~honA[>pUrA~karanA]{0}	@SABDA
achieved	saPala~honA[>pUrA~karanA]~{@ed/@en}	@SABDA
achievement's	saPalawA[>upalabXi]{@vib:kA}	@SABDA
achievement	saPalawA[>upalabXi]{0}	@SABDA
achievements'	saPalawA[>upalabXi]{@s}{@vib:kA}	@SABDA
achievements	saPalawA[>upalabXi]{@s}	@SABDA
achieves	saPala~honA[>pUrA~karanA]~{@s}	@SABDA
achieving	saPala~honA[>pUrA~karanA]~{@ing}	@SABDA
aching	pIdZA~{@ing}	@SABDA
acid's	amla{@vib:kA}	@SABDA
acid	amla[-]	@SABDA
acids'	amla{@s}{@vib:kA}	@SABDA
acids	amla{@s}	@SABDA
acknowledge	pAvawI~xenA	@THAKURDASSJI
acknowledgement	aBisvIkqwi/pAvawI	@BHATIA
acm	e~sI~ema	@Operating-@System
acquire	arjana~karanA{0}	@SABDA
acquired	arjana~karanA~{@ed}~{@en}	@SABDA
acquires	arjana~karanA~{@s}	@SABDA
acquiring	arjana~karanA~{@ing}	@SABDA
acquistition	arjana	@SABDA
acquittane	BarapAI/BugawAna	~niswAraNa~(viXi)
acre's	ekadZa{@vib:kA}	@SABDA
acre	ekadZa{0}	@SABDA
acres'	ekadZa{@s}{@vib:kA}	@SABDA
acres	ekadZa{@s}	@SABDA
across	@across{->ke~pAra[meM~saba~ora]}	@PREP
act's	kArya[>aBinaya/viXi]{@vib:kA}	@SABDA
act	kArya[>aBinaya/aXiniyama]{0}	@SABDA
acted	kArya[>aBinaya/viXi]~{@ed/@en}	@SABDA
acting	kArya[>aBinaya/viXi]~{@ing}	@SABDA
action's	kAryavAhI{@vib:kA}	@SABDA
action	kAryavAhI{0}	@SABDA
actions'	kAryavAhI{@s}{@vib:kA}	@SABDA
actions	kAryavAhI{@s}	@SABDA
active's	sakriya-{@vib:kA}	@SABDA
active	sakriya-[-]	@SABDA
actives'	sakriya-{@s}{@vib:kA}	@SABDA
actives	sakriya-{@s}	@SABDA
activist's	sakriya{@vib:kA}	@SABDA
activist	sakriya{0}	@SABDA
activists'	sakriya{@s}{@vib:kA}	@SABDA
activists	sakriya{@s}	@SABDA
activities'	kriyA^kalApa{@s}{@vib:kA}	@SABDA
activities	kriyA^kalApa{@s}	@SABDA
activity's	kriyA^kalApa{@vib:kA}	@SABDA
activity	kriyA^kalApa{0}	@SABDA
actor's	aBinewA{@vib:kA}	@SABDA
actor	aBinewA{0}	@SABDA
actors'	aBinewA{@s}{@vib:kA}	@SABDA
actors	aBinewA{@s}	@SABDA
actress's	aBinewA{@vib:kA}	@SABDA
actress	aBinewrI{0}	@PADA
actresses'	aBinewA{@s}{@vib:kA}	@SABDA
actresses	aBinewA{@s}	@SABDA
acts'	kArya[>aBinaya/viXi]{@s}{@vib:kA}	@SABDA
acts	kArya[>aBinaya/viXi]~{@s}	@SABDA
actual	vAswavika[-]	@SABDA
actually	vAswava~meM	@SABDA
actuals	vAswavika~AzkadZe	@Administration_@Glossary:@HARIRAM
actuator	pravarwaka	@Electronic-@Devices
acyclic	acakrIya	@Data-@Structures/@Algorithms/@Standards
ad-@interim	anwarima	@BHATIA
ada	e~dI~e	@Programming-@Languages
adaptability	anukUlanIyawA@Computer-@Architecture	
adaptation	anukUlana	@BHATIA
adapter	anUkUlaka~/~anukUliwra	@Electronics
adaptive	anukUlana	@Electronics
adc(@aid-@de-@camp)	e.~dI.~sI.	@Designation_@and_@Department_@Names:@HARIRAM
add	jodZanA{0}	@SABDA
added	jodZanA~{@ed/@en}	@SABDA
addend	yojya	@Computer-@Architecture
adding	jodZanA~{@ing}	@SABDA
addition's	jodZa{@vib:kA}	@SABDA
addition	jodZa{0}	@SABDA
additional	awirikwa[-]	@SABDA
additions'	jodZa{@s}{@vib:kA}	@SABDA
additions	jodZa{@s}	@SABDA
address's	pawA[~BARaNa<saMboXana]{@vib:kA}	@SABDA
address	pawA[~BARaNa<saMboXana]{0}	@SABDA
addressability	pawAyogyawA~/~saMboXanIyawA	@Computer-@Architecture
addressable	pawAyogya	@Computer-@Architecture
addressed	pawA[~BARaNa<saMboXana]~{@ed/@en}	@SABDA
addresses'	pawA[~BARaNa<saMboXana]{@s}{@vib:kA}	@SABDA
addresses	pawA[~BARaNa<saMboXana]~{@s}	@SABDA
addressgraph	pawAleKI	@Administration_@Glossary:@HARIRAM
addressing	pawA[~BARaNa<saMboXana]~{@ing}	@SABDA
addrest	pawA[~BARaNa<saMboXana]~{@ed/@en}	@SABDA
adds	jodZanA~{@s}	@SABDA
adequate	kAPI[-]	@SABDA
adequately	paryApwa~rUpa~meM	@SABDA
adhoc	waxarWa	@THAKURDASSJI
adj	e~dI~je	@Mathematical-@Computation
adjacency	saMlagnawA@Mathematical-@Computation	
adjective's	viSeRaNa{@vib:kA}	@SABDA
adjective	viSeRaNa[-]	@SABDA
adjectives'	viSeRaNa{@s}{@vib:kA}	@SABDA
adjectives	viSeRaNa{@s}	@SABDA
adjoin	saMlagna~karanA{0}	@SABDA
adjoined	saMlagna~karanA~{@ed/@en}	@SABDA
adjoining	saMlagna~karanA~{@ing}	@SABDA
adjoins	saMlagna~karanA~{@s}	@SABDA
adjoint	saMlagna	@Mathematical-@Computation
adjourn	sWagiwa~karanA	@THAKURDASSJI
adjournment	sWagana	@THAKURDASSJI
adjusment	samAyojana	@BHATIA
adjust	TIka~karanA[<anusAra~DAlanA]{0}	@SABDA
adjusted	TIka~karanA[<anusAra~DAlanA]~{@ed/@en}	@SABDA
adjuster	samAyojaka	@Administration_@Glossary:@HARIRAM
adjusting	TIka~karanA[<anusAra~DAlanA]~{@ing}	@SABDA
adjustment's	anukUlana{@vib:kA}	@SABDA
adjustment	anukUlana{0}	@SABDA
adjustments'	anukUlana{@s}{@vib:kA}	@SABDA
adjustments	anukUlana{@s}	@SABDA
adjusts	TIka~karanA[<anusAra~DAlanA]~{@s}	@SABDA
administer	[SAsana]~lagAnA{0}	@SABDA
administered	[SAsana]~lagAnA~{@ed/@en}	@SABDA
administering	[SAsana]~lagAnA~{@ing}	@SABDA
administers	[SAsana]~lagAnA~{@s}	@SABDA
administration's	praSAsana{@vib:kA}	@SABDA
administration	praSAsana{0}	@SABDA
administrations'	praSAsana{@s}{@vib:kA}	@SABDA
administrations	praSAsana{@s}	@SABDA
administrative	praSAsanika[-]	@SABDA
administrator's	SAsaka{@vib:kA}	@SABDA
administrator	SAsaka{0}	@SABDA
administrators'	SAsaka{@s}{@vib:kA}	@SABDA
administrators	SAsaka{@s}	@SABDA
admire	praSaMsA~karanA{0}	@SABDA
admired	praSaMsA~karanA~{@ed/@en}	@SABDA
admires	praSaMsA~karanA~{@s}	@SABDA
admiring	praSaMsA~karanA~{@ing}	@SABDA
admissibility	xeyawA/svIkAryawA	@THAKURDASSJI
admissible	xeya/svIkArya	@THAKURDASSJI
admission's	BarawI{@vib:kA}	@SABDA
admission	BarawI{0}	@SABDA
admissions'	BarawI{@s}{@vib:kA}	@SABDA
admissions	BarawI{@s}	@SABDA
admit	svIkAra~kara^praveSa~xe{0}	@SABDA
admits	svIkAra~kara^praveSa~xe~{@s}	@SABDA
admitted	svIkAra~kara^praveSa~xe~{@ed/@en}	@SABDA
admitting	svIkAra~kara^praveSa~xe~{@ing}	@SABDA
admixture	aXimiSraNa	@BHATIA
adolescence's	kiSorAvasWA{@vib:kA}	@SABDA
adolescence	kiSorAvasWA{0}	@SABDA
adolescences'	kiSorAvasWA{@s}{@vib:kA}	@SABDA
adolescences	kiSorAvasWA{@s}	@SABDA
adolescertless	kiSorAvasWA	@FROMNET
adopt	apanAnA{0}	@SABDA
adopted	apanAnA~{@ed/@en}	@SABDA
adoptee	xawwaka	@Administration_@Glossary:@HARIRAM
adopter	anukUlaka@Electronic-@Devices	
adopting	apanAnA~{@ing}	@SABDA
adoptor	xawwakagrAhI	@Administration_@Glossary:@HARIRAM
adopts	apanAnA~{@s}	@SABDA
adp	e~dI~pI	@Computer-@Architecture
adult's	bAliga{@vib:kA}	@SABDA
adult	bAliga[-]	@SABDA
adulterant	apamiSraka	@Administration_@Glossary:@HARIRAM
adulteration	apamiSraNa/milAvata	@BHATIA
adults'	bAliga{@s}{@vib:kA}	@SABDA
adults	bAliga{@s}	@SABDA
advance's	Age[>pahale]_[baDZanA]{@vib:kA}	@SABDA
advance	Age[>pahale]_[baDZanA]{0}	@SABDA
advanced	Age[>pahale]_[baDZanA]~{@ed/@en}[-]	@SABDA
advances'	Age[>pahale]_[baDZanA]{@s}{@vib:kA}	@SABDA
advances	Age[>pahale]_[baDZanA]~{@s}	@SABDA
advancing	Age[>pahale]_[baDZanA]~{@ing}	@SABDA
advantage's	lABa{@vib:kA}	@SABDA
advantage	lABa{0}	@SABDA
advantaged	lABa~{@ed/@en}	@SABDA
advantages'	lABa{@s}{@vib:kA}	@SABDA
advantages	lABa~{@s}	@SABDA
advantaging	lABa~{@ing}	@SABDA
adventure's	kArya^anuBava{sAhasika}{@vib:kA}	@SABDA
adventure	kArya^anuBava{sAhasika}{0}	@SABDA
adventured	kArya^anuBava{sAhasika}~{@ed/@en}	@SABDA
adventures'	kArya^anuBava{sAhasika}{@s}{@vib:kA}	@SABDA
adventures	kArya^anuBava{sAhasika}~{@s}	@SABDA
adventuring	kArya^anuBava{sAhasika}~{@ing}	@SABDA
adverb's	kriyAviSeRaNa{@vib:kA}	@SABDA
adverb	kriyAviSeRaNa{0}	@SABDA
adverbs'	kriyAviSeRaNa{@s}{@vib:kA}	@SABDA
adverbs	kriyAviSeRaNa{@s}	@SABDA
adverse	prawikUla	@THAKURDASSJI
advertise	vijFApana~xe{0}	@SABDA
advertised	vijFApana~xe~{@ed/@en}	@SABDA
advertisement's	vijFApana{@vib:kA}	@SABDA
advertisement	vijFApana{0}	@SABDA
advertisements'	vijFApana{@s}{@vib:kA}	@SABDA
advertisements	vijFApana{@s}	@SABDA
advertises	vijFApana~xe~{@s}	@SABDA
advertising	vijFApana~xe~{@ing}	@SABDA
advertize	vijFApana~xe{0}	@SABDA
advertized	vijFApana~xe~{@ed/@en}	@SABDA
advertizement's	vijFApana{@vib:kA}	@SABDA
advertizement	vijFApana{0}	@SABDA
advertizements'	vijFApana{@s}{@vib:kA}	@SABDA
advertizements	vijFApana{@s}	@SABDA
advertizes	vijFApana~xe~{@s}	@SABDA
advertizing	vijFApana~xe~{@ing}	@SABDA
advice's	salAha^sUcanA`{@vib:kA}	@SABDA
advice	salAha^sUcanA`{0}	@SABDA
advices'	salAha^sUcanA`{@s}{@vib:kA}	@SABDA
advices	salAha^sUcanA`{@s}	@SABDA
advise	salAha~xe{0}	@SABDA
advised	salAha~xe~{@ed/@en}	@SABDA
advises	salAha~xe~{@s}	@SABDA
advising	salAha~xe~{@ing}	@SABDA
advisory	salAhakAra[-]	@SABDA
advocate's	aXivakwA{@vib:kA}	@SABDA
advocate	aXivakwA{0}	@SABDA
advocated	aXivakwA~{@ed/@en}	@SABDA
advocates'	aXivakwA{@s}{@vib:kA}	@SABDA
advocates	aXivakwA~{@s}	@SABDA
advocating	aXivakwA~{@ing}	@SABDA
aeronautically	vEmAnikI~rUpa~se	
aeroplane's	vAyuyAna{@vib:kA}	@SABDA
aeroplane	vAyuyAna{0}	@SABDA
aeroplanes'	vAyuyAna{@s}{@vib:kA}	@SABDA
aeroplanes	vAyuyAna{@s}	@SABDA
aesthetic	sOnxaryaSAswra[>kalApAraKI][-]	@SABDA
aesthetical	sOnxaryaSAswra[>kalApAraKI][-]	@SABDA
