aa	e~e
aberrant	asAmAnya[-]
aberranter	asAmAnya~{wara}
aberrantest	asAmAnya~{wama}
aberrantly	asAmAnya~rUpa~se
aberrations'	vikAra{ba.}{@vib:kA}
aberrations	vikAra{@s}
aberration's	vikAra{@vib:kA}
aberration	vikAra{0}
abestos	ebestOYsa
abets	ukasAnA{bure~kAma~ke~liye}~{@s}
abetted	ukasAnA{bure~kAma~ke~liye}~{@ed/@en}
abetters'	ukasAnevAlA{aparAXa~ke~liye}{ba.}{@vib:kA}
abetters	ukasAnevAlA{aparAXa~ke~liye}{@s}
abetter's	ukasAnevAlA{aparAXa~ke~liye}{@vib:kA}
abetter	ukasAnevAlA{aparAXa~ke~liye}{0}
abetting	ukasAnA{bure~kAma~ke~liye}~{@ing}
abettors'	ukasAnevAlA{aparAXa~ke~liye}{ba.}{@vib:kA}
abettors	ukasAnevAlA{aparAXa~ke~liye}{@s}
abettor's	ukasAnevAlA{aparAXa~ke~liye}{@vib:kA}
abettor	ukasAnevAlA{aparAXa~ke~liye}{0}
abet	ukasAnA{bure~kAma~ke~liye}{0}
abeyance	alpa~virAma^kRaNika~virAma{0}
abeyances'	alpa~virAma^kRaNika~virAma{ba.}{@vib:kA}
abeyances	alpa~virAma^kRaNika~virAma{@s}
abeyance's	alpa~virAma^kRaNika~virAma{@vib:kA}
abhasvali	ABAsavalI
abhijeet	aBijIwa
abhilash	aBilARa
abhor	GqNA~karanA{0}
abhorred	GqNA~karanA~{@ed/@en}
abhorrence	GqNA{0}
abhorrences'	GqNA{ba.}{@vib:kA}
abhorrences	GqNA{@s}
abhorrence's	GqNA{@vib:kA}
abhorrenter	GqNiwa~{wara}
abhorrentest	GqNiwa~{wama}
abhorrent	GqNiwa[-]
abhorrently	GqNiwa~rUpa~se
abhorring	GqNA~karanA~{@ing}
abhors	GqNA~karanA~{@s}
abide-by	mAna~lenA^bane~rahanA
abided	pAlana~karanA^bane~rahanA~{@ed/@en}
abide	pAlana~karanA^bane~rahanA{0}
abides	pAlana~karanA^bane~rahanA~{@s}
abidinger	sWAI~{wara}
abidingest	sWAI~{wama}
abiding	pAlana~karanA^bane~rahanA~{@ing}[-]
abilities'	yogyawA{ba.}{@vib:kA}
abilities	yogyawA{@s}
abilities	yogyawA{@s}
abilities'	yogyawA{@s}{@vib:kA}
ability's	yogyawA{@vib:kA}
ability's	yogyawA{@vib:kA}
ability	yogyawA{0}
ability	yogyawA{0}
abinash	avinASa
#aBiyAna_->_aBiyAna_calAnA
abject	awi/bahuwa~jyAxA[-]
abjecter	awi/bahuwa~jyAxA~{wara}
abjectest	awi/bahuwa~jyAxA~{wama}
abjectly	awi/bahuwa~jyAxA~rUpa~se
abjured	SapaWa~wyAga~karanA~{@ed/@en}
abjure	SapaWa~wyAga~karanA{0}
abjures	SapaWa~wyAga~karanA~{@s}
abjuring	SapaWa~wyAga~karanA~{@ing}
ablaze	jalA~huA
ablazer	jalA~huA~{wara}
ablazest	jalA~huA~{wama}
abler	samarWa^cawura~{wara}
abler	yogya[cawura]~{wara}
able	samarWa^cawura[-]
ablest	samarWa^cawura~{wama}
ablest	yogya[cawura]~{wama}
able	yogya[cawura][-]
ablutions	prakRAlana
ably	samarWa~rUpa~se
abnormal	asAmAnya[-]
abnormaler	asAmAnya~{wara}
abnormalest	asAmAnya~{wama}
abnormality	asAmanyawA
abnormally	asAmAnya~rUpa~se
aboard	@aboard{->para~savAra}
aboarder	savAra/para~savAra~{wara}
aboardest	savAra/para~savAra~{wama}
aboard	savAra/para~savAra
abode	pAlana~karanA^bane~rahanA~{@ed/@en}
abodes'	AvAsa{ba.}{@vib:kA}
abodes	AvAsa{@s}
abode's	AvAsa{@vib:kA}
abodes	vAsa{@s}
abodes'	vAsa{@s}{@vib:kA}
abode's	vAsa{@vib:kA}
abode	vAsa{0}
abolished	unmUlana~karanA[honA]~{@ed/@en}
abolishes	unmUlana~karanA[honA]~{@s}
abolishing	unmUlana~karanA[honA]~{@ing}
abolish	unmUlana~karanA[honA]{0}
abolitionist	unmUlanavAxa
abolitions'	unmUlana{ba.}{@vib:kA}
abolitions	unmUlana{@s}
abolition's	unmUlana{@vib:kA}
abolition	unmUlana{0}
abominable	GqNiwa[-]
abominablely	GqNiwa~rUpa~se
abominabler	GqNiwa~{wara}
abominablest	GqNiwa~{wama}
abominably	burI~waraha~se
abomination	GqNA{0}
abominations'	GqNA{ba.}{@vib:kA}
abominations	GqNA{@s}
abomination's	GqNA{@vib:kA}
aboriginal	Axima[-]
aboriginaler	Axima~{wara}
aboriginalest	Axima~{wama}
aboriginally	Axima~rUpa~se
aborigine	prAcIna~xeSavAsI{0}
aborigines'	prAcIna~xeSavAsI{ba.}{@vib:kA}
aborigines	prAcIna~xeSavAsI{@s}
aborigine's	prAcIna~xeSavAsI{@vib:kA}
aborted	garBapAwa~honA^CodZa~xenA{aXUrA}~{@ed/@en}
aborted	garBapAwa~karanA^aXUrA~CodZanA~{@ed/@en}
abort	garBapAwa~honA^CodZa~xenA{aXUrA}{0}
abort	garBapAwa~karanA^aXUrA~CodZanA{0}
aborting	garBapAwa~honA^CodZa~xenA{aXUrA}~{@ing}
aborting	garBapAwa~karanA^aXUrA~CodZanA~{@ing}
abortion	garBapAwa{0}
abortion	garBapAwa{0}
abortionist	garBapAwa~karavAne~vAlA{0}
abortionists'	garBapAwa~karavAne~vAlA{ba.}{@vib:kA}
abortionists	garBapAwa~karavAne~vAlA{@s}
abortionist's	garBapAwa~karavAne~vAlA{@vib:kA}
abortions'	garBapAwa{ba.}{@vib:kA}
abortions	garBapAwa{@s}
abortions	garBapAwa{@s}
abortions'	garBapAwa{@s}{@vib:kA}
abortion's	garBapAwa{@vib:kA}
abortion's	garBapAwa{@vib:kA}
abortively	niRPala~rUpa~se
abortive	niRPala[-]
abortive	niRPala[-]
abortiver	niRPala~{wara}
abortivest	niRPala~{wama}
aborts	garBapAwa~honA^CodZa~xenA{aXUrA}~{@s}
aborts	garBapAwa~karanA^aXUrA~CodZanA~{@s}
aboundant	awiSaya
abound	bahuwAyAwa~se~honA{0}
abounded	bahuwAyAwa~se~honA~{@ed/@en}
abounding	bahuwAyAwa~se~honA~{@ing}
abounds	bahuwAyAwa~se~honA~{@s}
about	@about{->ke~bAre~meM/lagaBaga}
about	cAro~ora^iXara~uXara
abouter	cAro~ora^iXara~uXara~{wara}
aboutest	cAro~ora^iXara~uXara~{wama}
about-turned	palatanA~{@ed/@en}
about-turning	palatanA~{@ing}
about-turn	palatanA{0}
about-turns'	palatanA{ba.}{@vib:kA}
about-turns	palatanA~{@s}
about-turn's	palatanA{@vib:kA}
above	@above{->[ke]~Upara~[vAlA]}
abover	Upara~kA/UzcA/Upara~{wara}
abovest	Upara~kA/UzcA/Upara~{wama}
above	Upara~kA/UzcA/Upara
abracadabra	jAxU~kA~maMwra{0}
abracadabras'	jAxU~kA~maMwra{ba.}{@vib:kA}
abracadabras	jAxU~kA~maMwra{@s}
abracadabra's	jAxU~kA~maMwra{@vib:kA}
abraded	GisanA~{@ed/@en}
abrade	GisanA{0}
abrades	GisanA~{@s}
abrading	GisanA~{@ing}
abrasion	ragadZa{0}
abrasions'	ragadZa{ba.}{@vib:kA}
abrasions	ragadZa{@s}
abrasion's	ragadZa{@vib:kA}
abrasive	cota~pahuzcAne~vAlA/pIsane~yA~ragadZane~kI~vaswu[-]
abrasively	ragadZa~ke
abrasiveness	burA~vyavahAra
abrasiver	cota~pahuzcAne~vAlA/pIsane~yA~ragadZane~kI~vaswu~{wara}
abrasives'	cota~pahuzcAne~vAlA/pIsane~yA~ragadZane~kI~vaswu{ba.}{@vib:kA}
abrasives	cota~pahuzcAne~vAlA/pIsane~yA~ragadZane~kI~vaswu{@s}
abrasive's	cota~pahuzcAne~vAlA/pIsane~yA~ragadZane~kI~vaswu{@vib:kA}
abrasivest	cota~pahuzcAne~vAlA/pIsane~yA~ragadZane~kI~vaswu~{wama}
abreast	barAbara~meM
abreaster	barAbara~meM~{wara}
abreastest	barAbara~meM~{wama}
abridgedly	saMkRipwa~rUpa~se
abridged	saMkRepaNa~karanA~{@ed/@en}
abridged	saMkRipwa
abridge=kama~karanA	HARI
abridgement	saMkRepaNa
abridgement	saMkRepaNa
abridge	saMkRepaNa~karanA{0}
abridges	saMkRepaNa~karanA~{@s}
abridging	saMkRepaNa~karanA~{@ing}
abroader	vixeSa~meM^pracaliwa~{wara}
abroadest	vixeSa~meM^pracaliwa~{wama}
abroad	vixeSa~meM^pracaliwa
abroad	vixeSa[>xUra~waka]~[meM]
abrogated	raxxa~karanA~{@ed/@en}
abrogate	nirAkaraNa
abrogate	raxxa~karanA{0}
abrogates	raxxa~karanA~{@s}
abrogating	raxxa~karanA~{@ing}
abrogation	nirAkaraNa{0}
abrogation	nirAkaraNa
abrogations'	nirAkaraNa{ba.}{@vib:kA}
abrogations	nirAkaraNa{@s}
abrogation's	nirAkaraNa{@vib:kA}
abrupt	Akasmika^rUKA[-]
abrupt	Akasmika`[-]
abrupter	Akasmika^rUKA~{wara}
abruptest	Akasmika^rUKA~{wama}
abruptly	Akasmika~rupa~se
abruptly	sahasA
abruptness	AkasmikawA{0}
abruptnesses'	AkasmikawA{ba.}{@vib:kA}
abruptnesses	AkasmikawA{@s}
abruptness's	AkasmikawA{@vib:kA}
abscessed	PodZA~{@ed/@en}
abscesses'	PodZA{ba.}{@vib:kA}
abscesses	PodZA~{@s}
abscessing	PodZA~{@ing}
abscess	PodZA{0}
abscess's	PodZA{@vib:kA}
absconded	ParAra~honA~{@ed/@en}
absconded	ParAra~honA~{@ed/@en}
absconder	PZarAra/PZarArI
absconding	ParAra~honA~{@ing}
absconding	ParAra~honA~{@ing}
abscond	ParAra~honA{0}
abscond	ParAra~honA{0}
absconds	ParAra~honA~{@s}
absconds	ParAra~honA~{@s}
absence	anupasWiwi{0}
absence	anupasWiwi{0}
absences'	anupasWiwi{ba.}{@vib:kA}
absences	anupasWiwi{@s}
absences	anupasWiwi{@s}
absences'	anupasWiwi{@s}{@vib:kA}
absence's	anupasWiwi{@vib:kA}
absence's	anupasWiwi{@vib:kA}
absent	anupasWiwa/anupasWiwa~honA[-]{0}
absent	anupasWiwa[honA/rahanA]{0}[-]
absented	anupasWiwa/anupasWiwa~honA~{@ed/@en}
absented	anupasWiwa[honA/rahanA]~{@ed/@en}
absentee	anupasWiwa~jana{0}
absentee	anupasWiwa
absenteeism	bAraMbAra~kI~anupasWiwi
absentees'	anupasWiwa~jana{ba.}{@vib:kA}
absentees	anupasWiwa~jana{@s}
absentee's	anupasWiwa~jana{@vib:kA}
absenter	anupasWiwa/anupasWiwa~honA~{wara}
absentest	anupasWiwa/anupasWiwa~honA~{wama}
absenting	anupasWiwa/anupasWiwa~honA~{@ing}
absenting	anupasWiwa[honA/rahanA]~{@ing}
absently	anupasWiwa~rUpa~se
absent-minded	BulakkadZa^anamanA/KoyA-KoyA[-]
absentminded	BulakkadZa^anamanA/KoyA-KoyA[-]
absent-mindeder	BulakkadZa^anamanA/KoyA-KoyA~{wara}
absentmindeder	BulakkadZa^anamanA/KoyA-KoyA~{wara}
absent-mindedest	BulakkadZa^anamanA/KoyA-KoyA~{wama}
absentmindedest	BulakkadZa^anamanA/KoyA-KoyA~{wama}
absent-mindedness	BulakkadZapanA{0}
absentmindedness	BulakkadZapanA{0}
absent-mindednesses'	BulakkadZapanA{ba.}{@vib:kA}
absentmindednesses'	BulakkadZapanA{ba.}{@vib:kA}
absent-mindednesses	BulakkadZapanA{@s}
absentmindednesses	BulakkadZapanA{@s}
absent-mindedness's	BulakkadZapanA{@vib:kA}
absentmindedness's	BulakkadZapanA{@vib:kA}
absents	anupasWiwa/anupasWiwa~honA~{@s}
absents	anupasWiwa[honA/rahanA]~{@s}
absolutely	niwAMwa
absolutely	pUrNawaH
absolute	parama[<pUrNa][-]
absolute	pUrNawayA/parama~sixXAMwa[-]
absoluter	pUrNawayA/parama~sixXAMwa~{wara}
absolutes	parama[<pUrNa]{@s}
absolutes'	parama[<pUrNa]{@s}{@vib:kA}
absolute's	parama[<pUrNa]{@vib:kA}
absolutes'	pUrNawayA/parama~sixXAMwa{ba.}{@vib:kA}
absolutes	pUrNawayA/parama~sixXAMwa{@s}
absolute's	pUrNawayA/parama~sixXAMwa{@vib:kA}
absolutest	pUrNawayA/parama~sixXAMwa~{wama}
absolution	kRamAxAna{0}
absolutions'	kRamAxAna{ba.}{@vib:kA}
absolutions	kRamAxAna{@s}
absolution's	kRamAxAna{@vib:kA}
absolutism	niraMkuSawA{rAjanIwi~saMbaMXI}{0}
absolutisms'	niraMkuSawA{rAjanIwi~saMbaMXI}{ba.}{@vib:kA}
absolutisms	niraMkuSawA{rAjanIwi~saMbaMXI}{@s}
absolutism's	niraMkuSawA{rAjanIwi~saMbaMXI}{@vib:kA}
absolutist	niraMkuSa^niraMkuSawAvAxI
absolved	vimukwa~karanA/kRamA~karanA~{@ed/@en}
absolves	vimukwa~karanA/kRamA~karanA~{@s}
absolve	vimukwa~karanA/kRamA~karanA{0}
absolving	vimukwa~karanA/kRamA~karanA~{@ing}
absorbeder	lIna/soKA~huA~{wara}
absorbedest	lIna/soKA~huA~{wama}
absorbed	soKa`[<anxara~KIMcanA]~{@ed/@en}
absorbed	soKanA^grahaNa~karanA~{@ed/@en}[-]
absorbency	avaSoRakawA
absorbent	avaSoRaka
absorbinger	xilacaspa~{wara}
absorbingest	xilacaspa~{wama}
absorbingly	xilacaspa~rUpa~se
absorbing	soKa`[<anxara~KIMcanA]~{@ing}
absorbing	soKanA^grahaNa~karanA~{@ing}[-]
absorb	soKa`[<anxara~KIMcanA]{0}
absorb	soKanA^grahaNa~karanA{0}
absorbs	soKa`[<anxara~KIMcanA]~{@s}
absorbs	soKanA^grahaNa~karanA~{@s}
absorption	avaSoRiwa~karanA
abstained	parahejZa~karanA/se~xUra~rahanA~{@ed/@en}
abstainer	se~xUra~rahane~vAlA{0}
abstainers'	se~xUra~rahane~vAlA{ba.}{@vib:kA}
abstainers	se~xUra~rahane~vAlA{@s}
abstainer's	se~xUra~rahane~vAlA{@vib:kA}
abstaining	parahejZa~karanA/se~xUra~rahanA~{@ing}
abstain	parahejZa~karanA/se~xUra~rahanA{0}
abstains	parahejZa~karanA/se~xUra~rahanA~{@s}
abstemiouser	saMyamI~{wara}
abstemiousest	saMyamI~{wama}
abstemiously	saMyamI~rUpa~se
abstemious	saMyamI[-]
abstentions'	watasWawA{ba.}{@vib:kA}
abstentions	watasWawA{@s}
abstention's	watasWawA{@vib:kA}
abstention	watasWawA{0}
abstinence	paraheja{0}
abstinences'	paraheja{ba.}{@vib:kA}
abstinences	paraheja{@s}
abstinence's	paraheja{@vib:kA}
abstract	amUrwa{kalA~saMbanXI}^nirAkAra[-]{0}
abstracted	amUrwa{kalA~saMbanXI}^nirAkAra~{@ed/@en}[-]
abstracteder	anyamanaska~{wara}
abstractedest	anyamanaska~{wama}
abstractedly	anamane_BAva_se
abstracted	sAra[>avyakwa]~{@ed/@en}
abstracter	amUrwa{kalA~saMbanXI}^nirAkAra~{wara}
abstractest	amUrwa{kalA~saMbanXI}^nirAkAra~{wama}
abstracting	amUrwa{kalA~saMbanXI}^nirAkAra~{@ing}
abstracting	sAra[>avyakwa]~{@ing}
abstraction	amUrwikaraNa^anyamanaskawA{0}
abstractions'	amUrwikaraNa^anyamanaskawA{ba.}{@vib:kA}
abstractions	amUrwikaraNa^anyamanaskawA{@s}
abstraction's	amUrwikaraNa^anyamanaskawA{@vib:kA}
abstractly	amUrwa{kalA~saMbanXI}~rUpa~se
abstractor	sArakarwA
abstracts'	amUrwa{kalA~saMbanXI}^nirAkAra{ba.}{@vib:kA}
abstracts	amUrwa{kalA~saMbanXI}^nirAkAra~{@s}
abstract's	amUrwa{kalA~saMbanXI}^nirAkAra{@vib:kA}
abstract	sAra[>avyakwa][-]{0}
abstracts	sAra[>avyakwa]~{@s}
abstracts'	sAra[>avyakwa]{@s}{@vib:kA}
abstract's	sAra[>avyakwa]{@vib:kA}
abstruse	jatila/kaTina[-]
abstrusely	jatila/kaTina~rUpa~se
abstruser	jatila/kaTina~{wara}
abstrusest	jatila/kaTina~{wama}
absurd	bewukA[-]
absurder	nirarWaka/bewukA^mUrKa/buxXirUxXa~{wara}
absurdest	nirarWaka/bewukA^mUrKa/buxXirUxXa~{wama}
absurdities'	anarWakawA{ba.}{@vib:kA}
absurdities	anarWakawA{@s}
absurdity	anarWakawA{0}
absurdity's	anarWakawA{@vib:kA}
absurdly	nirarWaka/bewuke~rUpa~se
absurdness	anarWakawA{0}
absurdnesses'	anarWakawA{ba.}{@vib:kA}
absurdnesses	anarWakawA{@s}
absurdness's	anarWakawA{@vib:kA}
absurd	nirarWaka/bewukA^mUrKa/buxXirUxXa[-]
abundance	aXikawA/apAra{0}
abundances'	aXikawA/apAra{ba.}{@vib:kA}
abundances	aXikawA/apAra{@s}
abundance's	aXikawA/apAra{@vib:kA}
abundant	bahuwa~sArA/pracura/Dera[-]
abundanter	bahuwa~sArA/pracura/Dera~{wara}
abundantest	bahuwa~sArA/pracura/Dera~{wama}
abundantly	bahuwa~sArA/pracura/DeroM~meM
abused	xurupayoga[(vANI)>apaSabxa]~{@ed/@en}
abused	xurvyavahAra^apaSabxa~{@ed/@en}
abuser	xuoVpayogakarwA
abuses	xurupayoga[(vANI)>apaSabxa]~{@s}
abuses'	xurupayoga[(vANI)>apaSabxa]{@s}{@vib:kA}
abuse's	xurupayoga[(vANI)>apaSabxa]{@vib:kA}
abuses'	xurvyavahAra^apaSabxa{ba.}{@vib:kA}
abuses	xurvyavahAra^apaSabxa~{@s}
abuse's	xurvyavahAra^apaSabxa{@vib:kA}
abuse	xurupayoga[(vANI)>apaSabxa]{0}
abuse	xurvyavahAra^apaSabxa{0}
abusing	xurupayoga[(vANI)>apaSabxa]~{@ing}
abusing	xurvyavahAra^apaSabxa~{@ing}
abusively	ninxaka~kuwsAvAxI~rUpa~se
abusive	ninxaka~kuwsAvAxI[-]
abusiver	ninxaka~kuwsAvAxI~{wara}
abusivest	ninxaka~kuwsAvAxI~{wama}
abut	milanA{0}
abuts	milanA~{@s}
abutted	milanA~{@ed/@en}
abutting	milanA~{@ing}
abutting	saMsparSI
abysmal	bahuwa~KarAba[-]
abysmaler	bahuwa~KarAba~{wara}
abysmalest	bahuwa~KarAba~{wama}
abysmally	bahuwa~KarAba~rUpa~se
abysses'	gaharA~kuMda{ba.}{@vib:kA}
abysses	gaharA~kuMda{@s}
abyss	gaharA~kuMda{0}
abyss's	gaharA~kuMda{@vib:kA}
acacia	pIle~evaM~saPexa~PUla~vAlA~pedZa{0}
acacias'	pIle~evaM~saPexa~PUla~vAlA~pedZa{ba.}{@vib:kA}
acacias	pIle~evaM~saPexa~PUla~vAlA~pedZa{@s}
acacia's	pIle~evaM~saPexa~PUla~vAlA~pedZa{@vib:kA}
academe	SEyYakRaka~viSva
academia	SikRA~yA~SoXa~kA~kRewra{0}
academias'	SikRA~yA~SoXa~kA~kRewra{ba.}{@vib:kA}
academias	SikRA~yA~SoXa~kA~kRewra{@s}
academia's	SikRA~yA~SoXa~kA~kRewra{@vib:kA}
academically	SEkRika~rUpa~se
academicer	SEkRika^sExXAMwika~{wara}
academicest	SEkRika^sExXAMwika~{wama}
academician	SikRA~pariRaxa~kA~saxasya{0}
academicians'	SikRA~pariRaxa~kA~saxasya{ba.}{@vib:kA}
academicians	SikRA~pariRaxa~kA~saxasya{@s}
academician's	SikRA~pariRaxa~kA~saxasya{@vib:kA}
academic	SEkRika[-]
academic	SEkRika^sExXAMwika[-]
academics'	SEkRika^sExXAMwika{ba.}{@vib:kA}
academics	SEkRika^sExXAMwika{@s}
academic's	SEkRika^sExXAMwika{@vib:kA}
academics	SEkRika{@s}
academics'	SEkRika{@s}{@vib:kA}
academic's	SEkRika{@vib:kA}
academies	akAxamI{@s}
academies'	akAxamI{@s}{@vib:kA}
academies'	SikRA~yA~SoXa~saMsWAna{ba.}{@vib:kA}
academies	SikRA~yA~SoXa~saMsWAna{@s}
academy	akAxamI{0}
academy's	akAxamI{@vib:kA}
academy	SikRA~yA~SoXa~saMsWAna{0}
academy's	SikRA~yA~SoXa~saMsWAna{@vib:kA}
acceded	svIkAra~karanA~{@ed/@en}
accedes	svIkAra~karanA~{@s}
accede	svIkAra~karanA{0}
acceding	svIkAra~karanA~{@ing}
accelerate	cAla~baDZAnA{0}
accelerated	cAla~baDZAnA~{@ed/@en}
accelerated	gawi~baDZAnA~{@ed/@en}
accelerate	gawi~baDZAnA{0}
accelerates	cAla~baDZAnA~{@s}
accelerates	gawi~baDZAnA~{@s}
accelerating	cAla~baDZAnA~{@ing}
accelerating	gawi~baDZAnA~{@ing}
accelerations	wejZa{gawi}{@s}
accelerations'	wejZa{gawi}{@s}{@vib:kA}
acceleration's	wejZa{gawi}{@vib:kA}
accelerations'	wvaraNa{ba.}{@vib:kA}
accelerations	wvaraNa{@s}
acceleration's	wvaraNa{@vib:kA}
acceleration	wejZa{gawi}{0}
acceleration	wvaraNa{0}
accelerator	gawivarXaka{0}
accelerators'	gawivarXaka{ba.}{@vib:kA}
accelerators	gawivarXaka{@s}
accelerator's	gawivarXaka{@vib:kA}
accelerometers	wvaraNamApI{@s}
accelerometers'	wvaraNamApI{@s}{@vib:kA}
accelerometer's	wvaraNamApI{@vib:kA}
accelerometer	wvaraNamApI{0}
accented	svara~kA~caDZAva~uwAra/svara~uccAraNa~karanA~{@ed/@en}
accenting	svara~kA~caDZAva~uwAra/svara~uccAraNa~karanA~{@ing}
accents'	svara~kA~caDZAva~uwAra/svara~uccAraNa~karanA{ba.}{@vib:kA}
accents	svara~kA~caDZAva~uwAra/svara~uccAraNa~karanA~{@s}
accent's	svara~kA~caDZAva~uwAra/svara~uccAraNa~karanA{@vib:kA}
accent	svara~kA~caDZAva~uwAra/svara~uccAraNa~karanA{0}
accentuate	jora~xenA{0}
accentuates	jora~xenA~{@s}
accent	uccAraNa~cihna
acceptability	svIkAryawA
acceptabler	svIkArya~{wara}
acceptablest	svIkArya~{wama}
acceptable	svIkArya[-]
acceptably	svIkArya~rUpa~se
acceptances'	svIkqwi{ba.}{@vib:kA}
acceptances	svIkqwi{@s}
acceptances	svIkqwi{@s}
acceptances'	svIkqwi{@s}{@vib:kA}
acceptance's	svIkqwi{@vib:kA}
acceptance's	svIkqwi{@vib:kA}
acceptance	svIkqwi{0}
acceptance	svIkqwi{0}
accepted	svIkAra~karanA~{@ed/@en}
accepted	svIkAra~karanA~{@ed/@en}
accepting	svIkAra~karanA~{@ing}
accepting	svIkAra~karanA~{@ing}
acceptor	svIkarwA/svIkAraka
accepts	svIkAra~karanA~{@s}
accepts	svIkAra~karanA~{@s}
accept	svIkAra~karanA{0}
accept	svIkAra~karanA{0}
acc	esIsI
accessed	pahuzca/pahuzcanA~{@ed/@en}
accessed	upAgamana[<pahuzca/praveSa{mArga}]~{@ed/@en}
accesses'	pahuzca/pahuzcanA{ba.}{@vib:kA}
accesses	pahuzca/pahuzcanA~{@s}
accesses	upAgamana[<pahuzca/praveSa{mArga}]~{@s}
accesses'	upAgamana[<pahuzca/praveSa{mArga}]{@s}{@vib:kA}
accessibility	upalabXawA^sugamyawA
accessible	aBigamya[-]
accessibler	aBigamya~{wara}
accessiblest	aBigamya~{wama}
accessing	pahuzca/pahuzcanA~{@ing}
accessing	upAgamana[<pahuzca/praveSa{mArga}]~{@ing}
accessioned	uccapaxa~prApwi~{@ed/@en}
accessioning	uccapaxa~prApwi~{@ing}
accessions'	uccapaxa~prApwi{ba.}{@vib:kA}
accessions	uccapaxa~prApwi~{@s}
accession's	uccapaxa~prApwi{@vib:kA}
accession	uccapaxa~prApwi{0}
accessorier	upasAXana~{wara}
accessoriest	upasAXana~{wama}
accessories'	upasAXana{ba.}{@vib:kA}
accessories	upasAXana{@s}
accessory	sahayaMwraGraphical/Multimedia-System
accessory's	upasAXana{@vib:kA}
accessory	upasAXana[-]
access	pahuzca/pahuzcanA{0}
access's	pahuzca/pahuzcanA{@vib:kA}
access's	upAgamana[<pahuzca/praveSa{mArga}]{@vib:kA}
access	upAgamana[<pahuzca/praveSa{mArga}]{0}
