# Girl standing in front of me ..
# Structure of the file:
##_I_was_fond_of_her_music.
#GOD,ÈÏÌÚÂèÌÚ,PADA,,
#These_are_the_people_who_most_need_our_help.
#_Girl_standing_in_front_of_me_..
#_Structure_of_the_file:
#aBiyAna_->_aBiyAna_calAnA
#anybody,³Û×Ü~ËÜ^³å§~ËÜ,PADA,kisI_oblque_form_of_koI,BI_is_optional_in_interrogative,
#anything's,³å§~ËÜ{¸Üºé~ÍÚ~³ÚÌ},SABDA,,
#anything,³å§~ËÜ{¸Üºé~ÍÚ~³ÚÌ},SABDA,,
#drift's,ÊØÆÚ{vib:³Ú},SABDA,,
#drift,ÊØÆÚ{0},SABDA,,
#drifted,ÊØÆÚ~{ed/en},SABDA,,
#drifting,ÊØÆÚ~{ing},SABDA,,
#drifts',ÊØÆÚ{s}{vib:³Ú},SABDA,,
#drifts,ÊØÆÚ~{s},SABDA,,
#fond,È×ÆèÄ~ØåÆÚ2[-],SABDA,,
#most,¤ÅÛ³ÂÌ,PADA,,
#nervous,ÔèÍµèÏ^×èÆÚÍÔÛ³[-],SABDA,,
#nobody,³å§~ÆØÜ¢{0},SABDA,,
#none,³å§~ÆØÜ¢,SABDA,,
#nothing,³İ¹~ËÜ~ÆØÜ¢^ÕŞÆèÍ{0},SABDA,,
#retain,×èÃÛÏ~Ï´ÆÚ{0},SABDA,,
#retained,×èÃÛÏ~Ï´ÆÚ~{ed/en},SABDA,,
#retaining,×èÃÛÏ~Ï´ÆÚ~{ing},SABDA,,
#retains,×èÃÛÏ~Ï´ÆÚ~{s},SABDA,,
#some,³İ¹^³å§,SABDA,,
#standing,×èÃÚ§/ÈèÏÂÛÖè¾Ú[-]~{ing},SABDA,,
#urge's,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{vib:³Ú},SABDA,,
#urge,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{0},SABDA,,
#urged,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{ed/en},SABDA,,
#urges',ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{s}{vib:³Ú},SABDA,,
#urges,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{s},SABDA,,
#urging,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{ing},SABDA,,
#walking,ÈâÄÑ~¸ÑÆÚ[-]~{ing},SABDA,,
#wrd,paxasuwra,source,comment,path_of_essay_file
#writing,ÑÛ´Ú§,PADA,,
November,ÆÔÌèÊÏ,REF,,
October,¤³è½ŞÊÏ,REF,,
Pope's,§×Ú§~ÅÏèÌµİÏİ{vib:³Ú},SABDA,,
Pope,§×Ú§~ÅÏèÌµİÏİ{0},SABDA,,
Popes',§×Ú§~ÅÏèÌµİÏİ{s}{vib:³Ú},SABDA,,
Popes,§×Ú§~ÅÏèÌµİÏİ{s},SABDA,,
Saturday,ÕÆÛÔÚÏ,REF,,
Saturdays,ÕÆÛÔÚÏ,REF,,
September,×ÛÂÌèÊÏ,REF,,
Sunday,ÏÔÛÔÚÏ,REF,,
Sundays,ÏÔÛÔÚÏ,REF,,
Thursday,µİÏİÔÚÏ,REF,,
Thursdays,µİÏİÔÚÏ,REF,,
Tuesday,Ì¢µÑÔÚÏ,REF,,
Tuesdays,Ì¢µÑÔÚÏ,REF,,
Utopia,ÏÚÌÏÚºèÍ^³ÚÑèÈÆÛ³,,,
Wednesday,ÊİÅÔÚÏ,REF,,
Wednesdays,ÊİÅÔÚÏ,REF,,
a',×Ê^×ÚÏÚ[-],SABDA,,
abandon,¹å¿é~ÄáÆÚ[¹å¿éÚ~Øİ¥]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/abandon
abandoned,¹å¿é~ÄáÆÚ~{ed/en},SABDA,,
abandoning,¹å¿é~ÄáÆÚ~{ing},SABDA,,
abandons,¹å¿é~ÄáÆÚ~{s},SABDA,,
abduct,¤ÈØÏÁ~³ÏÆÚ{0},SABDA,,
abducted,¤ÈØÏÁ~³ÏÆÚ~{ed/en},SABDA,,
abducting,¤ÈØÏÁ~³ÏÆÚ~{ing},SABDA,,
abducts,¤ÈØÏÁ~³ÏÆÚ~{s},SABDA,,
abestos,¬Êá×è½ç×,Miscelleneous,,
abilities',ÍåµèÍÂÚ{s}{vib:³Ú},SABDA,,
abilities,ÍåµèÍÂÚ{s},SABDA,,
ability's,ÍåµèÍÂÚ{vib:³Ú},SABDA,,
ability,ÍåµèÍÂÚ{0},SABDA,,
able,ÍåµèÍ[¸ÂİÏ][-],SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/able
abler,ÍåµèÍ[¸ÂİÏ]~{ÂÏ},SABDA,,
ablest,ÍåµèÍ[¸ÂİÏ]~{ÂÌ},SABDA,,
aboard,aboard{->ÈÏ~×ÔÚÏ},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/aboard
abode's,ÔÚ×{vib:³Ú},SABDA,,
abode,ÔÚ×{0},SABDA,,
abodes',ÔÚ×{s}{vib:³Ú},SABDA,,
abodes,ÔÚ×{s},SABDA,,
abort,µÏèËÈÚÂ~³ÏÆÚ^¤ÅŞÏÚ~¹å¿éÆÚ{0},SABDA,,
aborted,µÏèËÈÚÂ~³ÏÆÚ^¤ÅŞÏÚ~¹å¿éÆÚ~{ed/en},SABDA,,
aborting,µÏèËÈÚÂ~³ÏÆÚ^¤ÅŞÏÚ~¹å¿éÆÚ~{ing},SABDA,,
abortion's,µÏèËÈÚÂ{vib:³Ú},SABDA,,
abortion,µÏèËÈÚÂ{0},SABDA,,
abortions',µÏèËÈÚÂ{s}{vib:³Ú},SABDA,,
abortions,µÏèËÈÚÂ{s},SABDA,,
abortive,ÆÛÖèÉÑ[-],SABDA,,
aborts,µÏèËÈÚÂ~³ÏÆÚ^¤ÅŞÏÚ~¹å¿éÆÚ~{s},SABDA,,
aboundant,¤ÂÛÕÍ,BHATIA,,
about,about{->³á~ÊÚÏá~Ìá¢/ÑµËµ},PREP,,
above,above{->[³á]~©ÈÏ~[ÔÚÑÚ]},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/above
abridge=³Ì~³ÏÆÚ,HARI,,
abridged,×¢³èÖÛÈèÂ,SABDA,,
abridgement,×¢³èÖáÈÁ,HARI,,
abroad,ÔÛÄáÕ[>ÄŞÏ~Â³]~[Ìá¢],SABDA,,
abrogate,ÆÛÏÚ³ÏÁ,HARI,,
abrogation,ÆÛÏÚ³ÏÁ,HARI,,
abrupt,¥³×èÌÛ³`[-],SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/abrupt
abruptly,×Ø×Ú,SABDA,,
abscond,ÉÏÚÏ~ØåÆÚ{0},SABDA,,
absconded,ÉÏÚÏ~ØåÆÚ~{ed/en},SABDA,,
absconder,ÉéÏÚÏ/ÉéÏÚÏÜ,Administration_Glossary:HARIRAM,,
absconding,ÉÏÚÏ~ØåÆÚ~{ing},SABDA,,
absconds,ÉÏÚÏ~ØåÆÚ~{s},SABDA,,
absence's,¤ÆİÈ×èÃÛÂÛ{vib:³Ú},SABDA,,
absence,¤ÆİÈ×èÃÛÂÛ{0},SABDA,,
absences',¤ÆİÈ×èÃÛÂÛ{s}{vib:³Ú},SABDA,,
absences,¤ÆİÈ×èÃÛÂÛ{s},SABDA,,
absent,¤ÆİÈ×èÃÛÂ[ØåÆÚ/ÏØÆÚ]{0}[-],SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/absent
absented,¤ÆİÈ×èÃÛÂ[ØåÆÚ/ÏØÆÚ]~{ed/en},SABDA,,
absentee,¤ÆİÈ×èÃÛÂ,THAKURDASSJI,,
absenting,¤ÆİÈ×èÃÛÂ[ØåÆÚ/ÏØÆÚ]~{ing},SABDA,,
absents,¤ÆİÈ×èÃÛÂ[ØåÆÚ/ÏØÆÚ]~{s},SABDA,,
absolute's,ÈÏÌ[<ÈŞÏèÁ]{vib:³Ú},SABDA,,
absolute,ÈÏÌ[<ÈŞÏèÁ][-],SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/absolute
absolutely,ÆÛÂÚ¢Â,SABDA,,
absolutes',ÈÏÌ[<ÈŞÏèÁ]{s}{vib:³Ú},SABDA,,
absolutes,ÈÏÌ[<ÈŞÏèÁ]{s},SABDA,,
absorb,×å´`[<¤ÆèÄÏ~´Ü¢¸ÆÚ]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/absorb
absorbed,×å´`[<¤ÆèÄÏ~´Ü¢¸ÆÚ]~{ed/en},SABDA,,
absorbing,×å´`[<¤ÆèÄÏ~´Ü¢¸ÆÚ]~{ing},SABDA,,
absorbs,×å´`[<¤ÆèÄÏ~´Ü¢¸ÆÚ]~{s},SABDA,,
abstract's,×ÚÏ[>¤ÔèÍ³èÂ]{vib:³Ú},SABDA,,
abstract,×ÚÏ[>¤ÔèÍ³èÂ][-]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/abstract
abstracted,×ÚÏ[>¤ÔèÍ³èÂ]~{ed/en},SABDA,,
abstracting,×ÚÏ[>¤ÔèÍ³èÂ]~{ing},SABDA,,
abstractor,×ÚÏ³ÏèÂÚ,Administration_Glossary:HARIRAM,,
abstracts',×ÚÏ[>¤ÔèÍ³èÂ]{s}{vib:³Ú},SABDA,,
abstracts,×ÚÏ[>¤ÔèÍ³èÂ]~{s},SABDA,,
absurd,ÊáÂİ³Ú[-],SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/absurd
abuse's,ÄİÏİÈÍåµ[(ÔÚÁÜ)>¤ÈÕÊèÄ]{vib:³Ú},SABDA,,
abuse,ÄİÏİÈÍåµ[(ÔÚÁÜ)>¤ÈÕÊèÄ]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/abuse
abused,ÄİÏİÈÍåµ[(ÔÚÁÜ)>¤ÈÕÊèÄ]~{ed/en},SABDA,,
abuses',ÄİÏİÈÍåµ[(ÔÚÁÜ)>¤ÈÕÊèÄ]{s}{vib:³Ú},SABDA,,
abuses,ÄİÏİÈÍåµ[(ÔÚÁÜ)>¤ÈÕÊèÄ]~{s},SABDA,,
abusing,ÄİÏİÈÍåµ[(ÔÚÁÜ)>¤ÈÕÊèÄ]~{ing},SABDA,,
abutting,×¢×èÈÏèÕÜ,BHATIA,,
academic's,Õâ³èÖÛ³{vib:³Ú},SABDA,,
academic,Õâ³èÖÛ³[-],SABDA,,
academics',Õâ³èÖÛ³{s}{vib:³Ú},SABDA,,
academics,Õâ³èÖÛ³{s},SABDA,,
academies',¤³ÚÄÌÜ{s}{vib:³Ú},SABDA,,
academies,¤³ÚÄÌÜ{s},SABDA,,
academy's,¤³ÚÄÌÜ{vib:³Ú},SABDA,,
academy,¤³ÚÄÌÜ{0},SABDA,,
acc,¬×Ü×Ü,HARI-ABBR,,
accelerate,µÂÛ~ÊÀéÚÆÚ{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/accelerate
accelerated,µÂÛ~ÊÀéÚÆÚ~{ed/en},SABDA,,
accelerates,µÂÛ~ÊÀéÚÆÚ~{s},SABDA,,
accelerating,µÂÛ~ÊÀéÚÆÚ~{ing},SABDA,,
acceleration's,Âáºé{µÂÛ}{vib:³Ú},SABDA,,
acceleration,Âáºé{µÂÛ}{0},SABDA,,
accelerations',Âáºé{µÂÛ}{s}{vib:³Ú},SABDA,,
accelerations,Âáºé{µÂÛ}{s},SABDA,,
accelerometer's,ÂèÔÏÁÌÚÈÜ{vib:³Ú},SABDA,,
accelerometer,ÂèÔÏÁÌÚÈÜ{0},SABDA,,
accelerometers',ÂèÔÏÁÌÚÈÜ{s}{vib:³Ú},SABDA,,
accelerometers,ÂèÔÏÁÌÚÈÜ{s},SABDA,,
accent,¨¸è¸ÚÏÁ~¸ÛØèÆ,Miscelleneous,,
accept,×èÔÜ³ÚÏ~³ÏÆÚ{0},SABDA,,
acceptability,×èÔÜ³ÚÏèÍÂÚ,THAKURDASSJI,,
acceptance's,×èÔÜ³ßÂÛ{vib:³Ú},SABDA,,
acceptance,×èÔÜ³ßÂÛ{0},SABDA,,
acceptances',×èÔÜ³ßÂÛ{s}{vib:³Ú},SABDA,,
acceptances,×èÔÜ³ßÂÛ{s},SABDA,,
accepted,×èÔÜ³ÚÏ~³ÏÆÚ~{ed/en},SABDA,,
accepting,×èÔÜ³ÚÏ~³ÏÆÚ~{ing},SABDA,,
accepts,×èÔÜ³ÚÏ~³ÏÆÚ~{s},SABDA,,
access's,¨ÈÚµÌÆ[<ÈØİ¡¸/ÈèÏÔáÕ{ÌÚÏèµ}]{vib:³Ú},SABDA,,
access,¨ÈÚµÌÆ[<ÈØİ¡¸/ÈèÏÔáÕ{ÌÚÏèµ}]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/access
accessed,¨ÈÚµÌÆ[<ÈØİ¡¸/ÈèÏÔáÕ{ÌÚÏèµ}]~{ed/en},SABDA,,
accesses',¨ÈÚµÌÆ[<ÈØİ¡¸/ÈèÏÔáÕ{ÌÚÏèµ}]{s}{vib:³Ú},SABDA,,
accesses,¨ÈÚµÌÆ[<ÈØİ¡¸/ÈèÏÔáÕ{ÌÚÏèµ}]~{s},SABDA,,
accessing,¨ÈÚµÌÆ[<ÈØİ¡¸/ÈèÏÔáÕ{ÌÚÏèµ}]~{ing},SABDA,,
accessory,×ØÍ¢ÂèÏGraphical/Multimedia-System,,
accident's,ÄİÏè¶½ÆÚ^×¢Íåµ{vib:³Ú},SABDA,,
accident,ÄİÏè¶½ÆÚ^×¢Íåµ{0},SABDA,,
accidents',ÄİÏè¶½ÆÚ^×¢Íåµ{s}{vib:³Ú},SABDA,,
accidents,ÄİÏè¶½ÆÚ^×¢Íåµ{s},SABDA,,
acclimatization,ÈÏèÍÆİ³ŞÑÆ,Administration_Glossary:HARIRAM,,
accommadation,×Ì¢ºÆ/×æ³ÏèÍ,BHATIA,,
accomodate,×èÃÚÆ~Äá,SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/accomodate
accomodation,¥ÔÚ×^×ÌÚÍåºÆ,SABDA,,
accompanied,×ÚÃ~ÄáÆÚ^×¢µÂ~³ÏÆÚ{×¢µÜÂ}~{ed/en},SABDA,,
accompanies,×ÚÃ~ÄáÆÚ^×¢µÂ~³ÏÆÚ{×¢µÜÂ}~{s},SABDA,,
accompany,×ÚÃ~ÄáÆÚ^×¢µÂ~³ÏÆÚ{×¢µÜÂ}{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/accompany
accompanying,×ÚÃ~ÄáÆÚ^×¢µÂ~³ÏÆÚ{×¢µÜÂ}~{ing},SABDA,,
accomplish,³ÚÌ~×ÉÑ~³ÏÆÚ[<ÈŞÏÚ~³ÏÆÚ/ÈØİ¡¸ÆÚ]{0},SABDA,,
accomplished,³ÚÌ~×ÉÑ~³ÏÆÚ[<ÈŞÏÚ~³ÏÆÚ/ÈØİ¡¸ÆÚ]~{ed/en},SABDA,,
accomplishes,³ÚÌ~×ÉÑ~³ÏÆÚ[<ÈŞÏÚ~³ÏÆÚ/ÈØİ¡¸ÆÚ]~{s},SABDA,,
accomplishing,³ÚÌ~×ÉÑ~³ÏÆÚ[<ÈŞÏÚ~³ÏÆÚ/ÈØİ¡¸ÆÚ]~{ing},SABDA,,
accord's,×Ì»æÂÚ^×ØÌÂÛ^ÄáÆÚ{vib:³Ú},SABDA,,
accord,×Ì»æÂÚ^×ØÌÂÛ^ÄáÆÚ{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/accord
accordance's,ÌáÑ[<¤ÆİÏŞÈ~ØåÆÚ]{vib:³Ú},SABDA,,
accordance,ÌáÑ[<¤ÆİÏŞÈ~ØåÆÚ]{0},SABDA,,
accordances',ÌáÑ[<¤ÆİÏŞÈ~ØåÆÚ]{s}{vib:³Ú},SABDA,,
accordances,ÌáÑ[<¤ÆİÏŞÈ~ØåÆÚ]{s},SABDA,,
accorded,×Ì»æÂÚ^×ØÌÂÛ^ÄáÆÚ~{ed/en},SABDA,,
according,×Ì»æÂÚ^×ØÌÂÛ^ÄáÆÚ~{ing},SABDA,,
according_to,³á~¤Æİ×ÚÏ{ØåÆÚ},SABDA,,
accordingly,ÂÄÆİ×ÚÏ,SABDA,,
accords',×Ì»æÂÚ^×ØÌÂÛ^ÄáÆÚ{s}{vib:³Ú},SABDA,,
accords,×Ì»æÂÚ^×ØÌÂÛ^ÄáÆÚ~{s},SABDA,,
account's,ÔÛÔÏÁ[>´ÚÂÚ]{vib:³Ú},SABDA,,
account,ÔÛÔÏÁ[>´ÚÂÚ]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/account
accountal,Ñá´Ú-ºå´Ú,Administration_Glossary:HARIRAM,,
accounted,ÔÛÔÏÁ[>´ÚÂÚ]~{ed/en},SABDA,,
accounting,ÔÛÔÏÁ[>´ÚÂÚ]~{ing},SABDA,,
accounts',ÔÛÔÏÁ[>´ÚÂÚ]{s}{vib:³Ú},SABDA,,
accounts,ÔÛÔÏÁ[>´ÚÂÚ]~{s},SABDA,,
accrual,ÈèÏåÄèËÔÆ,Administration_Glossary:HARIRAM,,
accumulator,×¢¸ÚÍ³,Computer-Architecture,,
accuracies',¤¸Ş³^ÈÏÛÕİÄèÅÂÚ{s}{vib:³Ú},SABDA,,
accuracies,¤¸Ş³^ÈÏÛÕİÄèÅÂÚ{s},SABDA,,
accuracy's,¤¸Ş³^ÈÏÛÕİÄèÅÂÚ{vib:³Ú},SABDA,,
accuracy,¤¸Ş³^ÈÏÛÕİÄèÅÂÚ{0},SABDA,,
accurate,ÈÏÛÕİÄèÅ[-],SABDA,,
accurately,ÈÏÛÕİÄèÅÂÚ~×á,SABDA,,
accuse,ÄåÖ~ÑµÚÆÚ{0},SABDA,,
accused's,¤ËÛÍİ³èÂ{vib:³Ú},SABDA,,
accused,¤ËÛÍİ³èÂ{ed/en},SABDA,,
accuseds',¤ËÛÍİ³èÂ{s}{vib:³Ú},SABDA,,
accuseds,¤ËÛÍİ³èÂ{s},SABDA,,
accuses,ÄåÖ~ÑµÚÆÚ~{s},SABDA,,
accusing,ÄåÖ~ÑµÚÆÚ~{ing},SABDA,,
accustom,¤ËèÍ×èÂ~ØåÆÚ{0},SABDA,,
accustomed,¤ËèÍ×èÂ~ØåÆÚ~{ed/en}[-],SABDA,,
accustoming,¤ËèÍ×èÂ~ØåÆÚ~{ing},SABDA,,
accustoms,¤ËèÍ×èÂ~ØåÆÚ~{s},SABDA,,
ace's,¦³è³Ú{vib:³Ú},SABDA,,
ace,¦³è³Ú{0},SABDA,,
aces',¦³è³Ú{s}{vib:³Ú},SABDA,,
aces,¦³è³Ú{s},SABDA,,
acharya,¥¸ÚÏèÍ,HARI-Indian,,
ache's,ÈÜ¿éÚ{vib:³Ú},SABDA,,
ache,ÈÜ¿éÚ{0},SABDA,,
ached,ÈÜ¿éÚ~{ed/en},SABDA,,
aches',ÈÜ¿éÚ{s}{vib:³Ú},SABDA,,
aches,ÈÜ¿éÚ~{s},SABDA,,
achieve,×ÉÑ~ØåÆÚ[>ÈŞÏÚ~³ÏÆÚ]{0},SABDA,,
achieved,×ÉÑ~ØåÆÚ[>ÈŞÏÚ~³ÏÆÚ]~{ed/en},SABDA,,
achievement's,×ÉÑÂÚ[>¨ÈÑÊèÅÛ]{vib:³Ú},SABDA,,
achievement,×ÉÑÂÚ[>¨ÈÑÊèÅÛ]{0},SABDA,,
achievements',×ÉÑÂÚ[>¨ÈÑÊèÅÛ]{s}{vib:³Ú},SABDA,,
achievements,×ÉÑÂÚ[>¨ÈÑÊèÅÛ]{s},SABDA,,
achieves,×ÉÑ~ØåÆÚ[>ÈŞÏÚ~³ÏÆÚ]~{s},SABDA,,
achieving,×ÉÑ~ØåÆÚ[>ÈŞÏÚ~³ÏÆÚ]~{ing},SABDA,,
aching,ÈÜ¿éÚ~{ing},SABDA,,
acid's,¤ÌèÑ{vib:³Ú},SABDA,,
acid,¤ÌèÑ[-],SABDA,,
acids',¤ÌèÑ{s}{vib:³Ú},SABDA,,
acids,¤ÌèÑ{s},SABDA,,
acknowledge,ÈÚÔÂÜ~ÄáÆÚ,THAKURDASSJI,,
acknowledgement,¤ËÛ×èÔÜ³ßÂÛ/ÈÚÔÂÜ,BHATIA,,
acm,¬~×Ü~¬Ì,Operating-System,,
acquire,¤ÏèºÆ~³ÏÆÚ{0},SABDA,,
acquired,¤ÏèºÆ~³ÏÆÚ~{ed}~{en},SABDA,,
acquires,¤ÏèºÆ~³ÏÆÚ~{s},SABDA,,
acquiring,¤ÏèºÆ~³ÏÆÚ~{ing},SABDA,,
acquistition,¤ÏèºÆ,SABDA,,
acquittane,ËÏÈÚ§/ËİµÂÚÆ,~ÆÛ×èÂÚÏÁ~(ÔÛÅÛ),Administration_Glossary:HARIRAM,,
acre's,¬³¿é{vib:³Ú},SABDA,,
acre,¬³¿é{0},SABDA,,
acres',¬³¿é{s}{vib:³Ú},SABDA,,
acres,¬³¿é{s},SABDA,,
across,across{->³á~ÈÚÏ[Ìá¢~×Ê~°Ï]},PREP,,
act's,³ÚÏèÍ[>¤ËÛÆÍ/ÔÛÅÛ]{vib:³Ú},SABDA,,
act,³ÚÏèÍ[>¤ËÛÆÍ/¤ÅÛÆÛÍÌ]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/act
acted,³ÚÏèÍ[>¤ËÛÆÍ/ÔÛÅÛ]~{ed/en},SABDA,,
acting,³ÚÏèÍ[>¤ËÛÆÍ/ÔÛÅÛ]~{ing},SABDA,,
action's,³ÚÏèÍÔÚØÜ{vib:³Ú},SABDA,,
action,³ÚÏèÍÔÚØÜ{0},SABDA,,
actions',³ÚÏèÍÔÚØÜ{s}{vib:³Ú},SABDA,,
actions,³ÚÏèÍÔÚØÜ{s},SABDA,,
active's,×³èÏÛÍ-{vib:³Ú},SABDA,,
active,×³èÏÛÍ-[-],SABDA,,
actives',×³èÏÛÍ-{s}{vib:³Ú},SABDA,,
actives,×³èÏÛÍ-{s},SABDA,,
activist's,×³èÏÛÍ{vib:³Ú},SABDA,,
activist,×³èÏÛÍ{0},SABDA,,
activists',×³èÏÛÍ{s}{vib:³Ú},SABDA,,
activists,×³èÏÛÍ{s},SABDA,,
activities',³èÏÛÍÚ^³ÑÚÈ{s}{vib:³Ú},SABDA,,
