attorney-at-law	pramANiwa_aBikarwA
Sabbath	viSrAmaxivasa
Sable	sebala
Sado-masochism	xarxa_xekara_KuSI_pA
Sailboard	selaborda
Sailcloth	jahAja_ke_lie_prayukwa_hone_vAlA_motA_kapadA
Saint's_Day	sAXu-xivasa
Salad-Dressing	salAxa_kA_sajAva
Salt-petre	SorA
Salvage	ubAra
Salvo	wopoM_kA_bola
Sandwich_Course	eka_sAWa_kie_jAne_vAle_xo_SEkRika_pATyakramai
Santa_Clause	sEMtAkloja
Sash-Window	KidakI_kA_cOKata
Sashcord	seSa
Sassenach	aMgreja
Satsuma	sanwarA
Saturation	saMwqpwa
Scalding	garma
Scarchmark	KaroMca_ke_niSAna
Schwa	a_kA_hsva_rUpa
Scintillating	laGu_rUpa
Scoot	SIGra_pahuzca
Scoredraw	barAbara_pArI
Scoreless	rana_rahiwa
Scoreline	anwima_rana_sazKyA
Scot_free	binA_sajA_ke
Scotch_Egg	walA_aMdA
Scotsman	skOYta_nivAsI
Scotswoman	skOYta_nivAsinI
Scouse	lIvarapUla_kI_bolI
Scouser	lIvarapUla_nivAsI
Screen_writer	patakaWA_leKaka
Screw_ball	sanakI
Screw_topped	peMcaxAra_Dakkana
Screwed_up	muraJA
Screwy	bakavAsa
Scribe	lipika
Scrounge	udA_le
Scrunch	cIKa
Scurrilous	baxajabAna
Scurrilously	PUhadapana_se
Scurvy	masUdo_se_rakwa_bahane_kI_bImArI
Sea_Air	samuxrI_vAyu
Sealant	eka_prakAra_kA_sIla
Seam	sIvana_joda
Searching	Bexaka
Seat_belt	sIta_petI
Second_Cousin	cacere_kA_cacerA
Second_hand	sekaNda_kI_suI
Secret_Ballot	banxa_mawapetI
Secret_Police	pulisa
Secretary_Gereral	mahAsaciva
Sedulously	pariSrama_se
Selectively	cayana_karake
Self_Access	svayaM_nikAla
Self_adhesive	svayaM_cipakane_vAlA
Semi-skilled	arXa_kuSala
Senile_Dementia	jarAjanya_manoBraMSa
Senselessly	binA_soce
Sensitively	BAvukawA_se
Serendipity	AviRkaraNa_pravqwwi
Serum	sIrama
Settee	soPA
Shampoo	keSa_mArjana
Shanghai	SaMGAI
Shattering	hilAne_vAlA
Shebeen	avEXa_SarAba
Sheet_lightning	bijalI_kI_camaka
Sheeting	cAxara
Shell_shocked	manovikqwigraswa
Shindig	Sora_BarI_pArtI
Shire_horse	Kaccara
Shirt-sleeve	kamIja_kI_AswIna
Shirt-tail	kamIja_kA_kamara_kA_nIce_vAlA_BAga
Shooter	niSAnebAja
Shop_floor	kAryaSAlA
Shop_soiled	KarAba
Shoplift	uTAIgIrI_kara
Shoplifter	uTAIgIrA
Shopping	KarIxaxArI
Should	cAhiye
Shrivel	kumhalA
Shrunken	sikudA_huA
Shunt	baxala
Shutup	cupa_kara
Siamese_Twins	judavA_bacce_jo_Apasa_meM_jude_ho
Sickle_cell	lAla_KUna_kI_koSikA
Side-road	CotI_sadaka
Sided	pahalU
Sikh	sikKa
Sir	sara
Sit_on_the_fence	xUrI_banAye_raKanA
Sr	SrI
St	sanwa
Stone_Age	pARANa_kAla
Suffix	prawyaya
T	aMgrejI_varNamAlA_kA_eka_akRara
T-shirt	CotI_AswIna_vAlI_kamIja
The_Decencies	sAmAjika_jIvana_kA_SiRtAcAra
The_Deity	xevawA
The_Poor	garIba
The_apple_of_one's_eyes	AzKa_kA_wArA
The_fallen	SahIxa_hue_loga
The_hard_right	xakRiNa_paMWI_vyakwi
Tied_to_one's_mother's_apron_strings	uzgalI_pakadakara_cala
Tied_to_one's_wife's_apron_strings	uzgalI_pakadakara_cala
To_crop_someone's_feathers	kisI_ko_vinIwa_banA
To_perfection	parAkARTA
Uranius	uraNa
Urdu	^
Utopia	AxarSa-rAjya
V	'V'Akqwi
V-sign	vijaya_cihna
VC	kulapawi
VCR	vIdiyo_kesata_rikArdara
VD	mEWuna_sambanXI_roga
VDU	xqRtigawa_praxarSana_ekAMka
VHF	awi_ucca_wIvrawA
Vice-	upa
Voluble	vAcAla
X-ray	eksa-kiraNa
Xhosa	xa.aPrIkA_kI_janajAwi
Xmas	IsA_masIha_ke_janma_xina_kA_uwsava
YAK	surAgAya
Yale	eka_viSeRa_prakAra_kA_wAlA
Yang	jFAnI
Yankee	amarIkI
Yellow	maMgolI
Zeitgeist	yugacewa
Zen	jApAna_kA_bOxXa_Xarma
Zeppelin	badA_vAyuyAna
Zionism	siyonavAxa
Zionist	yahUxI_AnxolanakArI
Zip_code	pinakoda
Zulu	xakRiNI_aPrIkA_kI_janajAwI
a	eka
a_few	kuCa
a_fight_to_the_finish	nirNAyaka_ladAI
a_fly_in_the_ointment	kAma_bigAdane_vAlA
a_fly_on_the_wall	binA_mahawva_kA_vyakwi
a_la	kI_SElI_meM
a_la_carte	vyaMjana_sUcI_se
a_la_mode	PESana_priya
a_matter_of_course	svABAvika_bAwa
a_matter_of_openion	vicAraNIya_viRaya
a_thorn_in_one's_flesh	kaRta_xene_vAlA
a_thorn_in_one's_side	kaRta_xene_vAlA
abandon	Coda_xe
abandoned	CodA_huA
abashed	lajjiwa
abide	pAlana_kara
abiding	sWAI
able	samarWa
aboard	savAra
abolish	unmUlana_kara
about	cAro_ora
about-turn	palata
above	UzcA
above_board	ImAnaxAra
abrasive	cota_pahuzcAne_vAlA
abridge	saMkRepaNa_kara
abridged	saMkRipwa
abrupt	Akasmika
absent	anupasWiwa
absent-minded	Bulakkada
absent-mindedness	Bulakkadapa
absolute	pUrNawayA
absolute_majority	pUrNa_bahumawa
absolutely	pUrNawaH
absorb	soKa
absorbed	lIna
absorbing	xilacaspa
abstract	sArAMSa
abstracted	anyamanaska
academic	SEkRika
accede	svIkAra_kara
accent	svara_kA_caDAva_uwAra
access	pahuzca
acclaim	vAha_vAha_kara
acclimatize	xaSAnukUliwa_ho
accommodate	raha
accommodating	sahayoga_xe
accomplish	pUrA_kara
accomplished	nipuNa
accord	samaJOwA
according	ke_anusAra
account	KAwA
accuse	xoRa_lagA
accused	aBiyukwa
accusing	xoRa_lagAwe_hue
accustom	aByaswa_ho
accustomed	aByaswa
ace	ikkA
acetic-acid	sirakA_amla
ache	pIdA
acquaint	avagawa_kara
acquainted	pariciwa
acrid	ugra_svaBAva
across	ArapAra
acrylic	ekrilika
act	kArya
acting	kAryakArI
action	kriyA
active	sakriya
active_service	sakriya_sevA
active_voice	kawqvAcya
acute	wIkRNa
acute_angle	nyUnakoNa
ad_hoc	waxarWa
ad_infinitum	binA_anwa_ke
ad_lib	binA_wEyArI_ke
adam's_apple	kaMTamaNi
add	joda
add_on	jodA_gayA
addict	lawa_lagA_huA
addicted	vaSIBUwa
addled	vyAkula
address	pawA
adequate	paryApwa
adhere	pAlana_kara
adhesive	cipacipA
adjoin	saMyukwa_ho
adjudge	nirNaya_kara
admire	praSaMsA_kara
admiring	praSaMsA_yukwa
adopt	goxa_le
adore	ArAXanA_kara
adoring	pyAraBarA
adrift	wErawA_huA
adult	bAliga
advance	PElanA
advanced	unnawa
advantage	PAyaxA
adventure_playground	mExAna
advertise	vijFApana_xe
advertising	vijFApana_kI_praNAlI
advocate	vakAlawa_kara
aeon^also_eon^	yuga
aerial	eriyala
aero-	vAyu
aesthetic	sOMxarya_paraKa
affaire_de_coeur	xila_kA_mAmalA
affect	praBAva_dAla
affected	banAvatI
affecting	praBAvapUrNa
affiliate	sahabaxXa_kara
affix	saMyukwa_karanA
afflict	wraswa_ho
afflicted	saMwapwa
affrighted	BayAkula
affront	apamAna
affronted	apamAniwa
after	bAxa_meM
after-care	bAxa_kI_xeKa_BAla
after-effect	paScapraBAva
after-taste	ke_bAxa_kA_jAyakA
against	ke_viruxXa
age	vaya
aged	vqxXa
agent_provocateur	prawiniXi
aggravate	uwwejiwa_kara
aggravating	uwwejaka
aggregate	kula
aggrieve	xuKa_xe
aggrieved	vyaWiwa
agonize	awyanwa_pIdiwa_ho
agonizing	bahuwa_xuKI
agony_aunt	salAhakAra
agony_column	salAhakAra_kAlama
ahead	Age
aid	maxaxa
aide-de-camp	saMxeSavAhaka
ail	kaRta_xe
ailing	rogI
aim	lakRya
air	havA
air-bed	havA_BarA_gaxxA
air-brake	vAyu_breka
air-conditioned	vAwAnukUliwa
air-conditioning	vAwAnukUlana
air-cooled	vAyu-SIwiwa
air-sea_rescue	vAyu_mArga_xvArA_samuxra_ke_vyakwiyo_ko_bacAi
air-to-air	havAI-se-havAI
air_force	vAyu_se
air_hostess	vimAna_paricArikA
air_letter	havAI_pawra
air_pump	vAyu_pampa
air_raid	havAI_hamalA
air_rifle	eka_prakAra_kI_banxUka
air_speed	vAyuyAna_kI_gawi
air_terminal	eara_tarminala
aircraft_carrier	jahAja
airing_cupboard	kapado_ko_havA_xene_vAlI_alamArI
airlift	havAI_jahAja_xvArA_maxaxa_kara
airy-fairy	avyavahArika
alarm	Kaware_kA_saMkewa
alarm_clock	alArma_GadI
alarmed	BayaBIwa
alarming	Bayapraxa
alien	parAyA
alight	ujjvala
alike	samAna_rUpa_se
alimentary_canal	AhAra_nalI
all	saba
all-clear	saba_TIka_hE_kA_saMkewa
all-embracing	sabako_milAkara
all-fired	awyaXika
all-in	kula
all-purpose	bahu_prayojana
all-round	cOwaraPA
all-star	jisameM_bahuwa_sAre_praKyAwa_aBinewA
all_found	saba_milA_kara
all_out	Barasaka
allege	binA_sabUwa_ke_Aropa_lagA
alleged	Aropiwa
allegro	wvariwa_gawi
allied	sahabaxXa
alloy	miSraXAwu
allude	saMkewa_kara
allure	luBA
alluring	mohaka
ally	miwra
along	barAbara_barAbara
along_with	ke_sAWa
alpine	yUropa_kA_parvawIya_kRewra
also-ran	sAmAnya_praxarSana_karane_vAlA
alter_ego	anwaraMga_miwra
alternate	ekAnwarawa
alternating_current	prawyAvarwi_XArA
alternative	vikalpa
alternative_energy	vEkalpika_UrjA
alternative_medicine	vEkalpika_cikiwsA
alto	gAyana_meM_UzcA_AlApa
am	hUz
amaze	cakiwa_kara
amazed	acamBiwa
amazing	AScaryajanaka
ambush	GAwa
american_Indian	sWAnIya_amarIkI
american_football	amarIkI_ragabI
americanize_-ise	amarIkI_jEsA_bana
amino_acid	emino_rasAyana
amiss	galawa
amount	ke_barAbara_ho
amour_propre	svABimAna
amuse	manoraMjana_kara
amused	KuSa_hue
amusememt_arcade	juA_Gara
amusement_park	manovinoxa_kA_KulA_sWAna
amusing	vinoxI
an	eka
anabolic_steroid	mAMsa_peSiyAz_badAne_vAlI_xavA
anaemic	kamajora
and_that's_flat	anwima_nirNaya
and_what_is_more	Ora_BI
anger	kroXa
angle	koNa
angling	kAztA_lagAkara_maCalI_pakada
anglo-american	Azgla-amerIkI
anglo-catholic	IsAI
anglo-saxon	prAcIna_aMgrejI_jAwi_kA
anguish	mAnasika_vexanA
anguished	manovexanA_se_BarA
angular	xurbala
animal	paSu
animal_husbandry	paSu_cikiwsA
animal_magnetism	sammohiwa_karane_kI_Sakwi
animate	jIvana_saMcAra_karanA
animated	joSapUrNa
annoy	pareSAna_kara
annualized	varRaBara_meM_eka_bAra
anodyne	nIrasa
anon	jalxI
anorexic	BUKa_na_lagane_kI_bImArI
another	eka_Ora
answer	uwwara
ante-room	galiyArA
anthrop^o^-	mAnava
anthropoid	mAnavakAra
anti-_aircraft	havAmAra
anti-globalization	viSvavyApIkaraNa-viroXI
anti-hero	anAyaka
anti-people	janawA_viroXI
anti-semite	yahUxI_viroXI
anti-semitic	yahUxI_viroXI_BAva
anti-tank	wopanASaka
antique	purAnA
antisocial	asAmAjika
anxious	cinwiwa
any	kisI_BI_sWiwi_meM
anybody	koI_BI
anyone	koI_eka
anything	kuCa_BI
apart	pqWaka
apart_from	alAvA
appall	vismiwa_kara_xe
appalling	BayaMkara
appeal	apIla
appealing	AkarRaka
application	prArWanA_pawra
applied	vyAvahArika
apply	lAgU_kara
appoint	niyukwa_kara
appointed	niyawa
apprentice	apareMtisa
approach	pahuzca
appropriate	uciwa
approximate	lagaBaga
apt	upayukwa
aptitude-tests	yogyawA_parIkRaNa
arch	meharAba
arch-	praXAna
arch-enemy	mahASawru
arch-rival	pramuKa_Sawru
arch_way	meharAbaxAra_paWa
argy-bargy	ladAI_JagadA
arm	bAzha
armchair	ArAmakursI
armour	kavaca
armour_plated	kavaciwa
armoured	kavacavAlA
arms-race	haWiyAroM_kI_hoda
around	lagaBaga
array	suvyasWiwa_raKanA
arrest	giraPwAra_karanA
art_form	kalA
artful	cAlAka
articulate	spaRta
articulated	judA_huA
as	jEsA
as-much-again	xubArA
as-much-as-one-can-do	saMbAvanA_waka
as_follows	nimnaliKiwa
as_poor_as_a_church_mouse	bahuwa_garIba
as_the_crow_flies	sIXe_lakRya_meM
aside	raxxa_kara
ask	pUCa
asleep	sowA_huA
asphalt	dAmara
aspirant	mahawvAkAkRI
assail	bOCAra_ho
assault	XAvA
assay	paraKa
assent	maMjUrI
assort	CAzta
assorted	milAjulA
astride	pAzva_PElAkara
at	para
at-once	wuranwa
at_all_events	hara_hAlawa_meM
at_first_hand	prawyakRa_
at_one's_fingertips	jAnakArI_ho
at_the-outset	AraMBa_meM
athletic	hqRta-puRta
athwart	AdA
attack	XAvA
attempt	prayAsa
attend	hissA_le
attendant	sAWI
attire	pahanAvA
attractive	AkarRaka
attribute	guNa
auction	nIlAmI
auctioneer	nIlAma_karane_vAlA
audit	leKA_parIkRaNa
augment	baDA
augur	BaviRya_bawAne_vAlA
august	prawApI
author	racanA_kara
automatic	svacAliwa
autumnal-equinox	Saraxa_viRuva
auxiliary	sahAyaka
avail	lABa_uTAnA
average	Osawa
avoid	tAla
avoided	tAlA_huA
awake	jAga
awake_to	jAgarUka_ho
awaken	jAga_jA
awakening	jAgqwi
award	puraskAra
away	xUra
awe	vismayapUrNa_Axara
awe-inspiring	Axara
awry	gadabada
axe	kulhAdI
azure	AsamAnI
babble	badabadAnA
baby	SiSu
baby-carriage	baccA_gAdI
baby-hood	bacapana
baby-minder	AyA
baby-sit	bacce_kI_xeKaBAla_kara
baby-sitter	bacce_kI_xeKaBAla_karanevAlA
baby-snatcher	baccA_curAnevAlA
baby-talk	bacce_ke_samAna_bola
baby-tooth	xUXa_ke_xAzwa
back	pITa
back-bench	piCalI_sItsa
back-bencher	jisake_pAsa_koI_AXikArika_paxa_na_ho_EsA_sAMsaxa
back-breaking	kamarawoda
back-cloth	pqRTapata
back-door	pICe_kA_xvAra
back-drop	pqRTapata
back-formation	prawyAvarwI_raca
back-hand	bEka_hEMda
back-handed	parokRa
back-less	binA_pITa_vAlA
back-pedal	palata_jA
back-up	sahAyawA
back_slide	pawiwa_ho
backbite	pITa_pICe_niMxA_kara
backbiting	cigalaKorI
backing	samarWana
bad	KarAba
badger	bijjU
badly	burI_waraha_se
baffle	asamaMjasa_meM_dAla
bag	WElA
baggage-car	sAmAna_gAdI
baggage-room	sAmAna_kakRa
bail	jamAnawa
bait	sawA
bake	sezka
baking	seMkane_kI_kriyA
balance	warAjU
bale	gaTarI
ballot	mawa-pawra
ban	prawibaMXa
bandage	pattI
bank	kinArA
bank-book	jamA_puswikA
bank_roll	kisI_kI_ArWika_sahAyawA_kara
banking	mahAjanI
banquet	Boja
banqueting	Bojowsava
banter	hAsya
bantering	xillagI_kara
bar	argalA_se_baMxa_kara
bare	nirvaswra
bargain	lena-xena
bark	BOMka
barricade	moracA
barring	ke_alAvA
barter	axalA-baxalI
base	wucCa
basic	buniyAxI
bat	ballA
bath-tub	hOja
baton_round	nakalI_kArawUsa
batten	waKwA
batter	Gola
battered	kRawigraswa
battle	ladAI
battle-cruiser	eka_badA_yuxXa_powa
battle-cry	yuxXa_kA_nArA
bay	KAdI
bayonet	benata
be	ho
be_descended_from	kA_vaMSaja_ho
be_found_wanting	aBAva_ho
be_in_on_the_ground_floor	nicale_swara_se_kAma_SurU_kara
be_on_the_fiddle	beImAnI_kara
beach	samuxrawata
beach-ball	geMxa
beach_buggy	bIca_bagI
beam	warAjU_Axi_kA_daNdA
bear	BAlU
beard	xADI
beat	Xadakana
beaver	UxabilAva
beaver_away	kadI_mehanawa_kara
because	kyozki
beckon	iSAre_se_bulA
become	ho_jA
become_a_mother	mAwA_ho
becoming	yukwa
bed	biCOnA
beef	go_mAMsa
beep	eka_prakAra_kI_AvAja
beer-house	SarAbaGara
before	ke_pahale
befuddled	svayaM_ko_mUrKa_banA
beggar	BiKArI
begin	prAramBa_ho
behind	ke_pICe
beleaguered	GerA_huA
belligerent	yuxXakArI
bellow	XOMkanI
belly	peta
belly_out	PUla_uTa
beloved	priya
bend	muda
benefit	lABa
bent	teDA
berth	barWa
besides	ke_awirikwa
best	sarvowwama
bet	Sarwa
betrothed	sagAI_kiyA_huA
better	behawara
between	ke_bIca
bicker	JagadA
bidding	bolI
big	badA
big-bellied	baDe_hue_petavAlA
bind	bAzXa
binding	AvaSyaka
bite	kAta
biting	cuBawA_huA
bitter	kaduvA
black	kAlA
blacking	syAhIr
blackmail	blEkamela_kara
blame	xoRa
blanch	PIkA_pada
blanched	PIkA_padA
blank	korA
blast	visPota
blaze	xahaka
blend	miSraNa
bless	ASIrvAxa_xe
blessed	BAgyavAna
blessing	ASIrvAxa
blight	pAlA
blind	aMXA
blink	Japaka
bloat	PUlanA
block	blOYka
blockade	nAkAbanxI
blond	sunaharA
blonde	sunaharA
bloom	PUla
blossom	PUla
blot	xAga
blow	AGAwa
blow-dry	heyara_drAyara_se_bAla_sazvAra
blow-hole	vAyuCixra
blow-out	Aga_buJA
blow-up	badA_kara
blow-upon	ninxA_kara
blow_by_blow_account	kramasahiwa_saviswAra_varNana
blow_in	acAnaka_A
blow_out	buJA
blow_over	binA_kisI_viSeRa_asara_se_Gata_jA
blow_up	visPota_kara
blubber	hvela_maCalI_kI_carabI
blue	nIlA
blue_bell	GaNtI_ke_sAmAna_PUla
blue_berry	Pala
blue_bottle	makKI
blue_murder	uWala_puWala
blue_stone	wUwiyA
blue_water	viswqwa_samuxra
blue_whale	eka_prakAra_kI_sabase_badI_vhela_maCalI
bluff	JAzsA_xenA
blunder	cUka
blunder_away	kuprabanXase_naRta_ho_jA
blunder_out	binA_soce_bola_pada
blunt	BOMWarA
blur	XabbA
blurt	binA_soce-samaJe_bola
blush	lAlimA
blushing	lajjAraMjiwa
blushingly	lajjAraMjiwa_rUpa_se
bluster	XamakA
board	maMdala
board_at	Bojana
board_money	nOkara_kA_vewana
board_up	waKwe_lagA
boarding-school	AvAsIya_skUla
boarding_card	bordiMga_kArda
boarding_house	CAwrAvAsa
boast	dIMga_mAraaaa
boat	nAva
boat-_hook	nAva_kA_AzkudA
boat-_house	SikArA
boat_people	SaraNArWI_jo_nAva_xvArA_jAwe_hEM
boating	nOkA-vihAra_kara
bob	Cote_bAla_raKane_kA_kisma
bobbed	Cote_bAla_vAlI
bobby-pin	bAloM_meM_lagAne_vAlA_pina
bodied	viSeRa_prakAra_kA_SarIra_raKane_vAlA
bodily	saSarIra
body	SarIra
body_and_soul	pUrNa_rUpa_se
body_blow	jabaraxaswa_JatakA
boggle	SaMkA
boil	PodA
boisterous	uXamI
bold	xabaMga
bolster	masanaxa
bomb	bama
bombast	lambI_cOdI_bAwacIwa
